,Title,Publication_type,Journal,Abstract
12,Effects of landscape elements on the distribution of the rare bumblebee species Bombus muscorum in an agricultural landscape,Scientific article,Biodiversity and Conservation,"The regional distribution pattern of Bombus muscorum was studied in an agricultural
landscape of central Germany, one of two remaining areas with the occurrence of this nationally
endangered species in the Land Hesse. To determine the landscape characteristics that facilitate the
occurrence of B. muscorum, grid-based observation records were analysed in a GIS environment at
a regional scale. A significantly negative effect of the number of trees on the occurrence of
B. muscorum and a significantly positive one of the proportion of arable land, strongly support the
species preference for open landscapes. Yet, apart from open landscapes additional landscape
features were shown to be important. A significantly positive effect of ditches in the final model
revealed the importance of this landscape element for the occurrence of B. muscorum. This finding
was additionally supported by recordings of nest-searching queens, nests, and flower visits along
dithes. The positive effects of clover and fallow land indicate the species need for suitable food
resources throughout the season. Because B. muscorum exhibits small foraging ranges, it is essential
that landscape elements that provide nesting sites, foraging habitats and undisturbed hibernation
structures are next to each other. The low numbers of individuals of B. muscorum recorded indicate
that the supply of these habitat elements may have reached a critical threshold in the study region."
13,Impacts of an agri-environment field margin prescription on the flora and fauna of arable farmland in different landscapes,Scientific article,"Agriculture, Ecosystems and Environment","The hypothesis that sown 6 m grass margins strips at the edges of arable fields have a positive impact on farmland biodiversity was tested using a paired field approach in southern England. A total of 42 fields were investigated, half with at least 3-year-old margin strips created under the UK agri-environment scheme Countryside Stewardship and half nearby control sites. The sites were grouped on the basis of average field size into small, intermediate or open landscape locations to examine landscape structure effects. Assessments of the flora, bird and territory numbers, bees, spiders, Orthoptera and Carabidae were made in early to mid-summer 2003. There were positive impacts on diversity
or abundance for the flora, bees and Orthoptera. The herbaceous flora of the pre-existing boundary adjacent to sown 6 m strips was significantly more species-rich than controls, probably reflecting a buffer effect of the strip. Bees and Orthoptera, the latter of which were only found in field boundaries, were more abundant where strips were sited, reflecting added habitat resources. Bee numbers were significantly lower in field centres where there were no 6 m margin strips. There were no significant effects of sown strips on numbers of birds observed or bird territories, spiders or Carabidae, but also no negative impacts. Lycosid spiders were consistently more abundant in boundaries of small
fields with 6 m margin strips. Linyphiidae were more abundant within the crop area of smaller fields. Amongst birds, wrens (Troglodytes troglodytes) were also more abundant in small fields, while yellowhammers (Emberiza citrinella) were more abundant in open landscapes. The results confirm there are benefits to farmland biodiversity from introducing new margin strips at the edges of arable fields. More significantly, the success of agri-environment schemes, which will vary between taxa and species, can be dependent on landscape structure. Scheme administrators may need to address landscape structure and mean field size to achieve significant enhancement of populations of declining farmland species."
14,Are urban parks refuges for bumble bees Bombus spp. (Hymenoptera: Apidae)?,Scientific article,Biological Conservation,"Declines in bee populations have been documented in several parts of the world. Bees are
dependent upon flowering plants for resources, and flowering plants often depend upon
bees for pollination services. Bees can therefore serve as indicator species of habitat degradation
due to these relationships with flowering plants. This study investigates how the
bumble bee community in San Francisco has responded to urbanization and which urban
park characteristics are important for the current communitys structure. To answer these
questions we sampled bumble bees, in 18 urban parks and two nearby wild parks. We estimated
park characteristics and used multiple regression analysis to determine which characteristics
predicted bumble bee abundance and species richness. Bumble bee abundance
was positively associated with resource availability or proxies of resource availability; natural
area (areas that contain remnant fragments that have been largely unchanged by
human activity) in 2003 and nest site abundance and openness of the surrounding matrix
in both 2003 and 2004. Bumble bee species richness was negatively associated with abundance
of a dominant species, Bombus vosnesenskii, in 2004. The importance of the surrounding
matrix suggests that these parks do not act as islands. Accordingly, area of park did not
explain species richness, while abundance of the dominant competitor did. The species
that was most influenced by competition, Bombus sitkensis, uses rodent holes as nest sites
and is possibly excluded from nest sites by the early emerging B. vosnesenskii, another subterranean
nester. The species least influenced by competition, Bombus melanopygus, is able
to use both rodent holes and abandoned bird nests as nest sites"
15,"Patch and landscape factors shape community assemblage of bumble bees, Bombus spp. (Hymenoptera: Apidae), in montane meadows",Scientific article,Biological Conservation,"Understanding the scale at which habitat influences species richness in terrestrial ecosystems
is central to both ecology and conservation biology [Wettstein, W., Schmid, B., 1999.
Conservation of arthropod diversity in montane wetlands: effect of altitude, habitat quality
and habitat fragmentation on butterflies and grasshoppers. Journal of Applied Ecology, 36,
363373]. Community composition may be influenced by habitat variation at patch and/or
landscape-scales depending on the body size, home range area, and dispersal distances of
the focal taxa [Calder III, W.A., 1984. Size, function, and life history. Harvard University
Press, Cambridge, MA; Haskell, J.P., Ritchie, M.E., Olff, H., 2002. Fractal geometry predicts
varying body size scaling relationships for mammal and bird home ranges. Nature 418,
527530; Thomas, C.D., 2000. Dispersal and extinction in fragmented landscapes. Proceedings
of the Royal Society Biological Sciences Series B 267, 139145], not merely their phylogenetic
affinity. We investigated the importance of habitat variables at different scales on
the richness and abundance of bumble bees both annually and seasonally in Sierran montane
meadows over two years. We found that both patch and landscape factors influence
the species richness and abundance of bumble bees and these factors have a seasonal component
to their importance. The proportion of meadow in the surrounding habitat was the
most consistent positive influence on both species richness and abundance across years. In
the second year, 2003, patch factors, plant species richness and current livestock grazing
also influenced bumblebee species richness; plant species richness was positively correlated
and current livestock grazing was negatively correlated with bumble bee species richness.
Bumble bee abundance was positively influenced by meadow wetness and proportion
of meadow in the surrounding habitat in both years. These data suggest conservation of
pollinators depends on conservation planning with attention to the quality and context
of the landscape."
16,Genetic diversity and mass resources promote colony size and forager densities of a social bee (Bombus pascuorum) in agricultural landscapes,Scientific article,Molecular Ecology,"Although habitat fragmentation and agricultural intensification are known as threads to
pollinator diversity, little is known about consequences for population size and genetic
diversity. Here, we combined detailed field observations, molecular approaches and
GIS-based quantification of landscape structure (measured by proportions of seminatural
habitats and proportions of mass flowering crops) to get new insights into driving forces
of population dynamics of the bumblebee species
Bombus pascuorum
. Comparing 13 agriculturally
dominated landscape sectors, we found the proportion of mass flowering crops
to positively influence bumblebee abundance whereas the proportion of seminatural
habitats was of minor importance. We used microsatellites to quantify landscape-related
colony densities, inbreeding and population substructure. Detected colony densities did
not correlate with landscape parameters or with local worker abundance, measured by
field observations. These results indicate that increased worker abundances within
landscapes are rather due to greater colony sizes than due to an increased number of nests.
We found significant population substructure, measured by
FST and seven landscapesectors to bear significantly increased inbreeding values (FIS).FIS was strongly varyingbetween sectors but did not correlate with landscape structure. Moreover,FIS had asignificantly negative effect on colony size, demonstrating the importance of genetic
diversity on population fitness at a landscape scale. We suggest that inbreeding levels
might be related to the temporal variation of food resources and population sizes in
agricultural landscapes."
17,"Patch size and landscape effects on pollinators and seed set of the Horseshoe Vetch, Hippocrepis comosa, in an agricultural landscape of Central Europe",Scientific article,Entomologia Generalis,"Agricultural land use intensifi cation has caused a considerable decline of once common semi-natural 
habitats leaving only small and isolated habitat remnants within a homogeneous landscape matrix. 
Populations of fl owering plant species in these remaining habitat fragments are also declining and 
can not offer suffi cient resources for potential pollinators. The loss of pollinators and consequential 
pollination limitation is especially severe for obligately out-crossing plant species. In this study, pollination and reproductive success of Hippocrepis comosa was examined. Hippocrepis comosa L is a 
self-incompatible, declining plant species occurring on fragmented remnants in semi-natural calcareous 
grassland habitats in an agricultural landscape in Southern Lower Saxony, Germany. Plant-pollinator 
interactions were analysed in small, medium, and large plant patches in 15 differently sized calcareous 
grassland fragments surrounded by landscape matrices of differing complexity. Flower visitors were 
observed during three 15-minute observations, pollen supplementation experiments were performed 
to test for pollination limitation, and fruits from the plant patches were collected to calculate seed 
set. Hippocrepis comosa showed evidence of pollination limitation because hand-pollinated fl owers 
set more seeds per infl orescence than open-pollinated fl owers and seed set was strongly reduced by 
decreased visitation rates. Pollinators were most abundant in large patches and in diverse landscapes. 
Visitation rate was not affected by patch size. Hence, in order to maintain plant-pollinator interactions in an agricultural landscape, conservation efforts should include the preservation of calcareous 
grasslands that can support suffi ciently large patches of a plant species and offer ample rewards for 
pollinators and the establishment of a diverse agricultural landscape around the semi-natural habitats 
that will further enhance pollinator abundance."
18,Semi-natural grasslands as population sources for pollinating insects in agricultural landscapes,Scientific article,Journal of Applied Ecology,"1.
In intensively farmed agricultural landscapes, many species are confined to very
small uncultivated areas such as field margins. However, it has been suggested that these
small habitat elements cannot support viable populations of all the species observed
there. Instead, species richness and abundance in these small habitat fragments may, at
least partly, be dependent on dispersal from larger semi-natural grassland fragments.
2.
We tested this hypothesis for butterflies and bumble bees in 12 independent landscapes
in a region of intense agriculture in southern Sweden. In each landscape we surveyed
abundance and species richness in one semi-natural grassland, one linear habitat
(uncultivated field margin) adjacent to this (called proximate) and one similar linear
habitat (called distant) situated at least 1000 m from the semi-natural grassland patch.
3.
Both species richness and density (individuals per unit area) of butterflies and bumble
bees were significantly higher in proximate linear habitats than in distant ones. Moreover,
butterfly species richness was higher for a given area in grasslands than in any of the
linear habitat types. Butterfly density in grasslands did not differ from that in proximate
linear habitats but was lower in distant linear habitats. The effect of isolation on density
was stronger for less mobile butterfly species. For bumble bees there was no difference
in species richness between grasslands and proximate linear habitats.
4.
For at least some of the butterfly species even these relatively small fragments of
semi-natural grasslands act as population sources from which individuals disperse to
the surrounding habitats and thereby contribute to higher densities and species richness
in adjacent areas. For bumble bees, it is more likely that the grasslands contain a higher
density of nests than the surrounding intensively cultivated landscape, and that the
density of foraging bumble bees decreases with increasing distance from the nest.
5.
 Habitat fragmentation and intensified agricultural
practices are considered to be a threat against services provided by pollinators. In order
to sustain the abundance and diversity of insect pollinators in intensively farmed
agricultural landscapes, we suggest that preservation of the remaining semi-natural
grasslands or re-creation of flower-rich grasslands is essential."
19,Effect of human disturbance on bee communities in a forested ecosystem,Scientific article,Conservation Biology,"It is important for conservation biologists to understand how well species persist in humandominated
ecosystems because protected areas constitute a small fraction of the Earths surface and because
anthropogenic habitats may offer more opportunities for conservation than has been previously thought. We
investigated how an important functional group, pollinators (bees; Hymenoptera: Apiformes), are affected by
human land use at the landscape and local scales in southern New Jersey (U.S.A.). We established 40 sites
that differed in surrounding landscape cover or local habitat type and collected 2551 bees of 130 species. The
natural habitat in this ecosystem is a forested, ericaceous heath. Bee abundance and species richness within
forest habitat decreased, not increased, with increasing forest cover in the surrounding landscape. Similarly,
bee abundance was greater in agricultural fields and suburban and urban developments than in extensive
forests, and the same trend was found for species richness. Particular species groups that might be expected
to show greater sensitivity to habitat loss, such as floral specialists and bees of small or large body size, did
not show strong positive associations with forest habitat. Nevertheless, 18 of the 130 bee species studied were
positively associated with extensive forest. One of these species is a narrow endemic that was last seen in 1939.
Our results suggest that at least in this system, moderate anthropogenic land use may be compatible with the
conservation of many, but not all, bee species."
20,Indicators for biodiversity in agricultural landscapes: a pan-European study,Scientific article,Journal of Applied Ecology,"1.
In many European agricultural landscapes, species richness is declining considerably. Studies
performed at a very large spatial scale are helpful in understanding the reasons for this decline and
as a basis for guiding policy. In a unique, large-scale study of 25 agricultural landscapes in seven
European countries, we investigated relationships between species richness in several taxa, and the
links between biodiversity and landscape structure and management.
2.
We estimated the total species richness of vascular plants, birds and five arthropod groups in
each 16-km
2
landscape, and recorded various measures of both landscape structure and intensity
of agricultural land use. We studied correlations between taxonomic groups and the effects of
landscape and land-use parameters on the number of species in different taxonomic groups. Our
statistical approach also accounted for regional variation in species richness unrelated to landscape
or land-use factors.
3.
The results reveal strong geographical trends in species richness in all taxonomic groups. No
single species group emerged as a good predictor of all other species groups. Species richness of all
groups increased with the area of semi-natural habitats in the landscape. Species richness of birds
and vascular plants was negatively associated with fertilizer use.
4.
Synthesis and applications.
We conclude that indicator taxa are unlikely to provide an effective
means of predicting biodiversity at a large spatial scale, especially where there is large biogeographical
variation in species richness. However, a small list of landscape and land-use parameters can be used
in agricultural landscapes to infer large-scale patterns of species richness. Our results suggest that
to halt the loss of biodiversity in these landscapes, it is important to preserve and, if possible,
increase the area of semi-natural habitat."
21,How can we preserve and restore species richness of pollinating insects on agricultural land?,Scientific article,Ecography,"During recent decades, concern about the loss of biodiversity on agricultural land has increased, and semi-natural
grasslands have been highlighted as critical habitats. Temperate European agricultural landscapes require distinct and
appropriate management to prevent further impoverishment of the flora and fauna. This is especially urgent for
pollinating insects that provide important ecosystem services. Our aim was to examine how species richness of three
important groups of pollinating insects; solitary bees, butterflies and burnet moths are related to different farm
characteristics, and if there are any differences between these three groups. A further aim was to test if red-listed species
are related to any farm characteristics. Species richness of solitary bees, butterflies and burnets was measured on all seminatural grasslands at 16 farms in a forest-dominated area of 50 km^2 in southern Sweden, using systematic transect walks in April to September 2003 (only butterflies and burnets) and 2005. Species richness of solitary bees and butterflies was intercorrelated, both before and after controlling for the area of semi-natural grassland. Species richness of solitary bees
increased with the area of semi-natural grassland. After controlling for the effect of the area of semi-natural grassland
species richness was strongly positively related with the density of the plant Knautia arvensis and negatively related with
the proportion of grazed grassland. The results were similar for solitary bees and butterflies. The number of red-listed
solitary bees was positively related to the proportion of meadows with late harvest (after mid-July) and decreased with
increased farm isolation. The number of burnet species (all red-listed) was positively related to vegetation height, flower
density and the proportion of meadows with late harvest on a farm. Areas with a high density of K. arvensis and with
traditional hay-meadow with late harvest present, harbour most species. Promoting traditional hay-meadows, late
extensive grazing and the herb K. arvensis, people managing agricultural biodiversity can encompass high species richness
of pollinating insects and support red-listed species. Further, we suggest that the density of K. arvensis at a farm can be
used as a biodiversity indicator, at least for pollinating insects."
22,"Diet breadth, coexistence and rarity in bumblebees",Scientific article,Biodiversity and Conservation,"Factors that determine the relative abundance of bumblebee species remain
poorly understood, rendering management of rare and declining species difficult. Studies of
bumblebee communities in the Americas suggest that there are strong competitive interactions
between species with similar length tongues, and that this competition determines
the relative abundance of species. In contrast, in Europe it is common to observe several
short-tongued species coexisting with little or no evidence for competition shaping community
structure. In this study we examine patterns of abundance and distribution in one of
the most diverse bumblebee communities in Europe, found in the mountains of southern
Poland. We quantify forage use when collecting nectar and pollen for 23 bumblebee
species, and examine patterns of co-occurrence and niche overlap to determine whether
there is evidence for inter-specific competition. We also test whether rarity can be
explained by diet breadth. Up to 16 species were found coexisting within single sites, with
species richness peaking in mountain pasture at *1,000 m altitude. Results concur with
previous studies indicating that the majority of pollen collected by bumblebees is from
Fabaceae, but that some bee species (e.g. B. ruderatus) are much more heavily dependent
on Fabaceae than others (e.g. B. lucorum). Those species that forage primarily on Fabaceae
tended to have long tongues. In common with studies in the UK, diet breadth was correlated
with abundance: rarer species tended to visit fewer flower species, after correcting
for differences in sample size. No evidence was found for similarity in tongue length or
dietary overlap influencing the likelihood of co-occurrence of species. However, the most
abundant species (which co-occurred at most sites) occupied distinct dietary niche space.
While species with tongues of similar length tended, overall, to have higher dietary niche
overlap, among the group of abundant short-tongued species that commonly co-occurred
there was marked dietary differentiation which may explain their coexistence."
