,Author,Title,Abstract,Journal,,,,,,,
10,"Ławicki, L and Czeraszkiewicz, R and Guentzel, S and Jasiński, M and Kajzer, Z and Kaliciuk, J and Oleksiak, A",Zimowanie ptak\'{o}w wodnych na Pomorzu Zachodnim w latach 2002--2002,,Notatki Ornitologiczne,,,,,,,
11,"Hays, Graeme C",Good news for sea turtles,,Trends in Ecology and Evolution,,,,,,,
12,"Schekkerman, Hans and Teunissen, Wolf and Oosterveld, Ernst",The effect of 'mosaic management' on the demography of black-tailed godwit Limosa limosa on farmland,"1. Like many farmland birds, the largest European population of the black-tailed godwit Limosa limosa, in The Netherlands, has been declining for decades despite conservation measures including agri-environment schemes (AES). In a new experimental AES aiming to reverse this decline, collectives of farmers implemented spatially coordinated site-level habitat management ('mosaic management') including delayed and staggered mowing of fields, refuge strips and active nest protection.2. We evaluated the effectiveness of mosaic management by measuring godwit breeding success in six experimental sites and paired controls. Productivity was higher in mosaics than in controls due to fewer agricultural nest losses. Chick fledging success was poor in both treatments. Productivity compensated for adult mortality in only one AES site.3. Although creating chick habitat was a major management goal, the availability of tall grass during the fledging period did not differ between treatments, mainly because rainfall delayed mowing in all sites and study years. However, chick survival increased with the availability of tall grass among sites. Higher chick survival will thus enhance the positive effect of mosaic management in drier years, but sensitivity to weather represents a weakness of the AES design.4. Available estimates of productivity in Dutch godwits suggest a strong reduction over the past 20 years and implicate chick survival as the main driver of their decline. Earlier mowing of grassland is the main causal mechanism, but changes in vegetation structure and composition, and increased predation may also have contributed.5. Synthesis and applications. Demographic rates like breeding success are useful parameters for evaluating effects of management. Mosaic management increases the productivity of black-tailed godwits, but does not ensure long-term population viability for this flagship species of wet grassland bird communities. More stringent management prescriptions need to improve both the area and the quality (vegetation structure) of grassland mown late. Management efforts should be concentrated in areas with favourable pre-conditions in order to improve overall effectiveness.",Journal of Applied Ecology,,,,,,,
13,"Webb, Jonathan K and Pike, David A and Shine, Richard","Population ecology of the velvet gecko, Oedura lesueurii in south eastern Australia: Implications for the persistence of an endangered snake","Ecological specialization, such as major dependence upon a single-prey species, can render a predator taxon vulnerable to extinction. In such cases, understanding the population dynamics of that prey type is important for conserving the predator that relies upon it. In eastern Australia, the endangered broad-headed snake Hoplocephalus bungaroides feeds largely on velvet geckos (Oedura lesueurii). We studied growth, longevity and reproduction in a population of velvet geckos in Morton National Park in south-eastern Australia. We marked 458 individual geckos over a 3-year period (1992--1992) and made yearly visits to field sites from 1995--1995 to recapture marked individuals. Female geckos grew larger than males, and produced their first clutch at age 4 years. Males can mature at 2 years, but male-male combat for females probably forces males to delay reproduction until age 3 years. Females lay a single clutch of two eggs in communal nests in November, and up to 22 females deposited eggs in a single nest. Egg hatching success was high (100\%), and juveniles had high survival (76\%) during their first 6 months of life. Velvet geckos are long-lived, and the mean age of marked animals recaptured after 1995 was 6.1 years (males) and 8.4 years (females). Older females (7.5--5.5 years) were all gravid when last recaptured. Like other temperate-climate gekkonids, O. lesueurii has a 'slow' life history, and population viability could be threatened by any factors that increase egg or adult mortality. Two such factors - the removal of 'bush rocks' for urban gardens, and the overgrowth of rock outcrops by vegetation - could render small gecko populations vulnerable to extinction. In turn, the reliance of predatory broad-headed snakes on this slow-growing lizard species may increase its vulnerability to extinction.",Austral Ecology,,,,,,,
14,"Serrouya, R and McLellan, B and Boutin, S and Seip, D and Nielsen, S",Developing a population target for an overabundant ungulate for ecosystem restoration,,Journal of Applied Ecology,,,,,,,
15,"Thompson, Grant and Ianelli, Jim and Dorn, Martin and Nichol, Dan and Gaichas, Sarah and Aydin, Kerim",Chapter 2: Assessment of the Pacific Cod Stock in the Eastern Bering Sea and Aleutian Islands Area,,,,,,,,,
16,"Sinclair, A R E and Mduma, S A R and Grant, J and Hopcraft, C and Fryxell, J M and Hilborn, R and Thirgood, S",Long-Term Ecosystem Dynamics in the Serengeti:Lessons for Conservation,,Conservation Biology,,,,,,,
17,"Solorzano, Sofia and Castillo, Silvia and Valverde, Teresa and Avila, Lourdes",Quetzal abundance in relation to fruit availability in a cloud forest in southeastern Mexico,"The Resplendent Quetzal (Pharomachrus mocinno) is an altitudinal migrant that nests in high elevation cloud forests and migrates toward lower areas during the summer rainy season. It has been suggested that its migratory movements are related to the abundance of ripe Lauraceae fruits. We studied the quetzal diet during two consecutive years, as well as changes in fruit abundance of the plant species on which the bird feeds at El Triunfo Biosphere Reserve, southeastern Mexico. The quetzal was observed feeding on 32 plant species; of these, 24 are new records in its diet. We chose 20 of these 32 species and studied their fruit phenology for two years in order to describe the relationship between fruit and quetzal abundance. Our results showed that quetzal abundance in the breeding area was correlated with the total number of fruiting species, whereas the correlation between quetzal abundance and the number of fruiting Lauraceae species was only marginal. Additionally, a correlation test showed that quetzal abundance was marginally correlated with total fruit availability (total no. of fruits per month); however, the correlation between quetzal abundance and the number of fruits in the Lauraceae was not significant. Our results suggest that the dynamics of food resources may be playing a major role in the quetzal's migratory behavior. Knowing the bird's diet may aid in characterizing the type of habitat adequate for its conservation. Our observations in this respect suggest that conservation efforts to preserve this bird species should concentrate on the protection of its habitat, including both breeding and nonbreeding (migration) locations.",Biotropica,,,,,,,
18,"Pierson, E D and Elmqvist, T and Rainey, W E and Cox, P A",Effects of Tropical Cyclonic Storms on Flying Fox Populations on the South Pacific Islands of Samoa,,Conservation Biology,,,,,,,
19,"Fritz, L W and Stinchcomb, C","Aerial, Ship, and Land-based Surveys of Steller Sea Lions (Eumetopias jubatus) in the Western Stock in Alaska, June and July 2003 and 2004",,,,,,,,,
20,"Heinen, J T and Kandel, R",Threats to a small population: a census and conservation recommendations for wild buffalo Bubalus arnee in Nepal,,Oryx,,,,,,,
21,"Eaton, B R and Tonn, W M and Paszkowski, C A and Danylchuk, A J and Boss, S M",Indirect effects of fish winterkills on amphibian populations in boreal lakes,,Canadian Journal of Zoology,,,,,,,
22,"Pusey, A E and Pintea, L and Wilson, M L and Kamenya, S and Goodall, J",The Contribution to Long-Term Research at Gombe National Park to Chimpanzee Conservation,,Conservation Biology,,,,,,,
23,"Klose, O and Koop, B","Brutbestand,Verbreitung und Siedlungsdichte des Uhus (Bubo bubo) in Schleswig-Holstein",,Corax,,,,,,,
24,"Tetley, M J and Mitchelson-Jacob, E G and Robinson, K P","The summer distribution of coastal minke whales (Balaenoptera acutorostrata) in the southern outer Moray Firth, NE Scotland, in relation to co-occurring mesoscale oceanographic features",,Remote Sensing of Environment,,,,,,,
25,"Gr\""{u}ll, A and Frey, H","Bestandsentwicklung, Bruterfolg und Nahrungszusammensetzung des Uhus (Bubo bubo) im Burgenland von 1981 bis 1991",,Egretta,,,,,,,
26,"LaCommare, K S and Brault, S and Self-Sullivan, C and Hines, E M",Trend detection in a boat-based method of monitoring sirenians: Antillean manatee case study,,Biological Conservation,,,,,,,
27,"Kr\""{u}ger, O and Gr\""{u}nkorn, T and Struwe-Juhl, B",The return of the white-tailed eagle (Haliaeetus albicilla) to northern Germany: Modelling the past to predict the future,,Biological Conservation,,,,,,,
28,"Seavy, Nathaniel E and Reynolds, Michelle H",Is statistical power to detect trends a good assessment of population monitoring?,,Biological Conservation,,,,,,,
29,"Watson, Adam and Moss, Robert and Rothery, Peter and Parr, Raymond",Demographic Causes and Predictive Models of Population Fluctuations in Red Grouse,,Journal of Animal Ecology,,,,,,,
30,"Zhang, M and Wang, K and Wang, Y and Guo, C and Li, B and Huang, H",Recovery of a rodent community in an agro-ecosystem after flooding,,Journal of Zoology,,,,,,,
31,"Tiepolo, Liliani M and Tomas, Walfrido M and Lima-Borges, Paulo A","Levantamento populacional do cervo-do-pantanal Blastocerus dichotomus (Mammalia, Cervidae) no Parque Nacional de Ilha Grande e entorno: implica\c{c}\~{o}es para a conserva\c{c}\~{a}o",,Iheringia. S\'{e}rie Zoologia,,,,,,,
32,"Louren\c{c}o, L S and Fernandes, I M and Penha, J and Mateus, L A F",Persistence and stability of cichlid assemblages in neotropical floodplain lagoons,,Environmental Biology of Fishes,,,,,,,
33,"Greenwood, M F D","Trawls and cooling-water intakes as estuarine fish sampling tools: Comparisons of catch composition, trends in relative abundance, and length selectivity",,Estuarine Coastal and Shelf Science,,,,,,,
34,"Livingston, P A","Importance of predation by groundfish, marine mammals and birds on walleye pollock Theragra chalcogramma and Pacific herring Clupea pallasi in the eastern Bering Sea.",,Marine Ecology Progress Series,,,,,,,
35,"Gerber, L R and DeMaster, D P and Kareiva, P M",Gray Whales and the value of monitoring data in implementing the U.S. Endangered Species Act,,Conservation Biology,,,,,,,
36,"Kallianiotis, A and Vidoris, P and Sylaios, G","Fish species assemblages and geographical sub-areas in the North Aegean Sea, Greece",,Fisheries Research,,,,,,,
37,"Dey, A D and Niles, L J and Sitters, H P and Kalasz, K and Morrison, R I G","Update to the status of the Red knot Calidris canutus in the western hemisphere, April 2011",,,,,,,,,
38,"Laber, J and Pellinger, A","Die durchziehenden und \""{u}berwinternden G\""{a}nsebest\""{a}nde der Gattung Anser und Branta im Nationalpark Neusiedler See – Seewinkel",,Egretta,,,,,,,
39,"Kittlein, M J",Population dynamics of pampas mice (Akodon azarae): signatures of competition and predation exposed through time-series modeling,,Population Ecology,,,,,,,
40,"Vargas, H and Lougheed, C and Snell, H",Population size and trends of the Galapagos Penguin Spheniscus mendiculus.,,Ibis.,,,,,,,
41,"Vigne, L and Martin, E B",Assam's rhinos face new poaching threats.,,Oryx,,,,,,,
42,"McGowan, A and Broderick, A C and Frett, G and Gore, S and Hastings, M and Pickering, A and D.Wheatley and J.White and Witt, M J and Godley, B J",Down but not out: marine turtles of the British Virgin Islands,,Animal Conservation,,,,,,,
43,"Krasnov, Y V and Barrett, Robert T and Nikolaeva, Natalie G","Status of black-legged kittiwakes (Rissa tridactyla), common guillemots (Uria aalge) and Br\""{u}nnich’s guillemots (U. lomvia) in Murman, north-west Russia, and Varanger, north-east Norway",,Polar Research,,,,,,,
44,"Giordano, Paola F and Bellis, Laura M and Navarro, Joaquin L and Martella, Monica B",Abundance and spatial distribution of Greater Rhea Rhea americana in two sites on the pampas grasslands with different land use,,Bird Conservation International,,,,,,,
45,"Parren, Marc P E and de Leede, Bertken M and Bongers, Frans",A proposal for a transnational forest network area for elephants in Cote d’Ivoire and Ghana,,Oryx,,,,,,,
46,"McGourty, C R and Hobbs, J A and Bennett, W A and Green, P G and Hwang, H and Ikemiyagi, N and Lewis, L and Cope, J M",Likely Population-Level Effects of Contaminants on a Resident Estuarine Fish Species: Comparing Gillichthys mirabilis Population Static Measurements and Vital Rates in San Francisco and Tomales Bays,,Estuaries and Coasts,,,,,,,
47,"Marshall, A D and Dudgeon, C L and Bennett, M B",Size and structure of a photographically identified population of manta rays Manta alfredi in southern Mozambique,,Marine Biology,,,,,,,
48,"Lorvelec, O and Pascal, M and Pavis, C and Feldmann, P","Amphibians and reptiles of the French West Indies: Inventory, threats and conservation",,Applied Herpetology,,,,,,,
49,"Robinson, Hugh S and Wielgus, Robert B and Gwilliam, John C",Cougar predation and population growth of sympatric mule deer and white-tailed deer,,Canadian Journal of Zoology,,,,,,,
50,"Thirgood, S and Redpath, S and Newton, I and Hudson, P",Raptors and Red Grouse: Conservation Conflicts and Management Solutions,,Conservation Biology,,,,,,,
51,"Martin-Smith, K M and Vincent, A C J","Seahorse declines in the Derwent estuary, Tasmania in the absence of fishing pressure",,Biological Conservation,,,,,,,
52,"Meissner, W and Strzałkowska, M",Autumn migration dynamics of the Dunlin (Calidris alpina) at the Reda Mouth (southern Baltic),,Ring,,,,,,,
53,"L\'{o}pez-L\'{o}pez, Pascual and Ferrer, Miguel and Madero, Agust\'{\i}n and Casado, Eva and McGrady, Michael",Solving Man-Induced Large-Scale Conservation Problems: The Spanish Imperial Eagle and Power Lines,"<sec> <title>Background</title> <p>Man-induced mortality of birds caused by electrocution with poorly-designed pylons and power lines has been reported to be an important mortality factor that could become a major cause of population decline of one of the world rarest raptors, the Spanish imperial eagle (<italic>Aquila adalberti</italic>). Consequently it has resulted in an increasing awareness of this problem amongst land managers and the public at large, as well as increased research into the distribution of electrocution events and likely mitigation measures.</p> </sec> <sec> <title>Methodology/Principal Findings</title> <p>We provide information of how mitigation measures implemented on a regional level under the conservation program of the Spanish imperial eagle have resulted in a positive shift of demographic trends in Spain. A 35 years temporal data set (1974--1974) on mortality of Spanish imperial eagle was recorded, including population censuses, and data on electrocution and non-electrocution of birds. Additional information was obtained from 32 radio-tracked young eagles and specific field surveys. Data were divided into two periods, before and after the approval of a regional regulation of power line design in 1990 which established mandatory rules aimed at minimizing or eliminating the negative impacts of power lines facilities on avian populations. Our results show how population size and the average annual percentage of population change have increased between the two periods, whereas the number of electrocuted birds has been reduced in spite of the continuous growing of the wiring network.</p> </sec> <sec> <title>Conclusions</title> <p>Our results demonstrate that solving bird electrocution is an affordable problem if political interest is shown and financial investment is made. The combination of an adequate spatial planning with a sustainable development of human infrastructures will contribute positively to the conservation of the Spanish imperial eagle and may underpin population growth and range expansion, with positive side effects on other endangered species.</p> </sec>",PLoS ONE,,,,,,,
54,"Kauhala, K and Helle, P",The interactions of predator and hare populations in Finland - a study based on wildlife monitoring counts.,,Annales Zoologici Fennici,,,,,,,
55,"Saltz, D",A long-term systematic approach to planning reintroductions: the Persian fallow deer and the Arabian oryx in Israel,,Animal Conservation,,,,,,,
56,"Hissmann, K and Fricke, H and Scauer, J",Population monitoring of the coelacanth (Latimeria chalumnae).,,Conservation Biology,,,,,,,
57,"Mittermeier, R A",Group Activity and Population Dynamics of the Howler Monkey on Barro Colorado Island,,Primates,,,,,,,
58,"Stirling, Ian and Lunn, Nicholas J and Iacozza, John",Long-term trends in the population ecology of Polar bears in western Hudson Bay in relation to climatic change,,Arctic,,,,,,,
59,"Hurst, T P and McKown, K A and Conover, D O",Interannual and long-term variation in the nearshore fish community of the mesohaline Hudson river estuary,,Estuaries,,,,,,,
60,"Lorenzo, C and Rioja, T M and Carrillo, A","Population fluctuations of Lepus flavigularis (Lagomorpha: Leporidae) at Tehuantepec Isthmus, Oaxaca, Mexico",,Acta Zool\'{o}gia Mexicana,,,,,,,
61,"Pellet, J and Schmidt, B R and Fivaz, F and Perrin, N and Grossenbacher, K","Density, climate and varying return points: an analysis of long-term population fluctuations in the threatened European tree frog",,Oecologia,,,,,,,
62,"Whitaker, R and of the GMTF, Members",The Gharial: Going Extinct Again,,Iguana,,,,,,,
63,"Read, J L and Kovac, K and Brook, Barry W and Fordham, D A",Booming during a bust: Asynchronous population responses of arid zone lizards to climatic variables,,Acta Oecologica,,,,,,,
64,"Slooten, E and Dawson, S M",Assessing the effectiveness of conservation management decisions:likely effects of new protection measures for Hector’s dolphin (Cephalorhynchus hectori),,Aquatic Conservation: Marine and Freshwater Ecosystems,,,,,,,
65,"Ferrer, M and Newton, I and Muriel, R",Rescue of a small declining population of Spanish imperial eagles,,Biological Conservation,,,,,,,
66,"Fish, U S and Service, Wildlife",Railroad Valley Springfish (Crenichthys nevadae) Recovery Plan.,,,,,,,,,
67,"Orlov, Alexei M and Tokranov, Alexei M",Distribution and some biological features of four poorly studied deep benthic flatfishes (pleuronectiformes: pleuronectidae) in the northwestern pacific ocean,,The Raffles Bulletin of Zoology,,,,,,,
68,"Vucetich, J A and Peterson, R O",The influence of prey consumption and demographic stochasticity on population growth rate of Isle Royale wolves Canis lupus,,Oikos,,,,,,,
69,"Tribuzio, Cindy A and Rodgveller, Cara and Heifetz, Jon and Courtney, Dean and Goldman, Kenneth J",Assessment of the shark stocks in the Bering Sea,,,,,,,,,
70,"Allen, B M and Angliss, R P","Alaska Marine Mammal Stock Assessments, 2009",,,,,,,,,
71,"Ormseth, Olav and TenBrink, Todd T",Bering Sea / Aleutian Islands sculpins,,,,,,,,,
72,"Ryabtsev, Vitaliy V and Katzner, Todd E","Severe declines of Eastern Imperial Eagle Aquila heliaca populations in the Baikal region, Russia: a modern and historical perspective",,Bird Conservation International,,,,,,,
73,"Goszczy\~{n}ski, J and Misiorowska, M and Juszko, S",Changes in the density and spatial distribution of red fox dens and cub numbers in central Poland following rabies vaccination.,,Acta Theriologica,,,,,,,
74,"Sullivan, T P and Sullivan, D S and Lindgren, P M F",Influence of repeated fertilization and cattle grazing on forest ecosystems: Abundance and diversity of forest-floor small mammals,,Forest Ecology and Management,,,,,,,
75,"Siebert, Ursula and Gilles, Anita and Lucke, Klaus and Ludwig, Martje and Benke, Harald and Kock, Karl-Hermann and Scheidat, Meike","A decade of harbour porpoise occurrence in German waters--Analyses of aerial surveys, incidental sightings and strandings",,Journal of Sea Research,,,,,,,
76,"Mizera, T and Szymkiewicz, M","Trends, status and management of the white tailed sea eagle Haliaeetus albicilla in Poland",,Birds of Prey Bulletin,,,,,,,
77,"Hebblewhite, M and White, C and Musiani, M",Revisiting extinction in National Parks: Mountain caribou in Banff,,Conservation Biology,,,,,,,
78,"L\'{o}pez-Mart\'{\i}n, J M and Casanovas, R and Garcia-Petit, J and Xifr\`{a}, J and Curi\`{a}, J and Canut, J",Estatus y gesti\'{o}n del sarrio en el Pirineo catal\'{a}n,,,,,,,,,
79,"Meneghesso, C and Riginella, E and {La Mesa}, M and Donato, F and Mazzoldi, C",Life-history traits and population decline of the Atlantic mackerel Scomber scombrus in the Adriatic Sea,,Journal of Fish Biology,,,,,,,
80,"Janaus, M and Stipniece, A","Preliminary results of the White Stork Ciconia ciconia census in Latvia, 1994",,"Bird Numbers 1995, Proceedings of the International Conference and 13th Meeting of the European Bird Census Council",,,,,,,
81,"Heithaus, M R","The biology of tiger sharks, Galeocerdo cuvier, in Shark Bay, Western Australia: sex ratio, size distribution, diet, and seasonal changes in catch rates",,Environmental Biology of Fishes,,,,,,,
82,"Jones, R E",The Delta Marsh Christmas bird count: 1975--1975,,,,,,,,,
83,"Moyle, P E and Daniels, R A and Herbold, B and Baltz, D M",Patterns in distribution and abundance of a noncoevolved assemblage of estuarine fishes in California,,Fishery Bulletin,,,,,,,
84,"Kelly, M J and Laurenson, M K and FitzGibbon, C D and Collins, D A and Durant, S M and Frame, G W and Bertram, B C R and Caro, T M",Demography of the Serengeti cheetah (Acinonyx jubatus) population: the first 25 years,,Journal of Zoology,,,,,,,
85,"Kanga, Erustus M and Ogutu, Joseph O and Olff, Han and Santema, Peter",Population trend and distribution of the vulnerable common hippopotamus Hippopotamus amphibius in the Mara Region of Kenya,"The common hippopotamus Hippopotamus amphibius can significantly influence the dynamics of ecosystems and engender serious conflicts with people but, in Kenya, one of the species strongholds, it has been little studied or monitored. We surveyed the hippopotamus population in the Masai Mara National Reserve and the adjoining pastoral ranches in 2006 using foot counts along 155.3 km of the main rivers. We counted 4,170 hippopotamuses in 171 schools. Comparisons with earlier surveys suggest that this population increased by 169.6\% between 1971 and 1980 within the reserve and, although it did not increase within the reserve during 1980[long dash]2006, it increased by 359.4\% outside the reserve during this period against a background of deteriorating habitat conditions. The overall density in 2006 was 26.9 hippopotamuses km-1 of river, equivalent to a biomass of 26,677 kg km-1 of river. The ratio of calves to 100 adults was 9:100 inside the reserve, 10:100 outside the reserve and 6:100 along tributaries of the Mara River, implying that the population is either increasing or that its spatial distribution is being compressed because of range contraction. The apparent increase in the hippopotamus population contrasts with marked contemporaneous declines in the populations of most other large mammalian herbivore species in the Reserve. We discuss possible reasons underlying the increase in the hippopotamus population.",Oryx,,,,,,,
86,"Olsson, Ola",Genetic Origin and Success of Reintroduced White Storks,,Conservation Biology,,,,,,,
87,"Shilton, L A and Latch, P J and McKeown, A and Pert, P and Westcott, D A","Landscape-scale redistribution of a highly mobile threatened species, Pteropus conspicillatus (Chiroptera, Pteropodidae), in response to Tropical Cyclone Larry.",,Austral Ecology,,,,,,,
88,"Stephens, P A and D'Sa, C A and Sillero-Zubiri, C and Leader-Williams, N","Impact of livestock and settlement on the large mammalian wildlife of Bale Mountains National Park, southern Ethiopia.",,Biological Conservation,,,,,,,
89,"Olivier, P and Ferreira, S M and J., van Aarde R",Dung survey bias and elephant population estimates in southern Mozambique,,African Journal of Ecology,,,,,,,
90,"Stewart, John and Hughes, Julian M","Biological and fishery characteristics of rubberlip morwong Nemadactylus douglasii (Hector, 1875) in eastern Australia",,Fisheries Research,,,,,,,
91,"Garrote, German and de Ayala, Ramon and Pereira, Pablo and Robles, Francisco and Guzman, Nicolas and Garc\'{\i}a, Francisco and Iglesias, Maria and Herv\'{a}s, Jaime and Fajardo, I\~{n}igo and Sim\'{o}n, Manuel and Barroso, Jose","Estimation of the Iberian lynx (\&lt;i\&gt;Lynx pardinus\&lt;/i\&gt;) population in the Do\~{n}ana area, SW Spain, using capture–recapture analysis of camera-trapping data",,European Journal of Wildlife Research,,,,,,,
92,"Platteeuw, M and Kiss, B J and Zhmud, M Y and Sadoul, N",Colonial waterbirds and their habitat use in the Danube Delta as an example of a large-scale natural wetland. RIZA report 2004.002,,,,,,,,,
93,"Vogrin, M",Geese Anser spp. in northeastern Slovenia during autumn and winter,,Berkut,,,,,,,
94,"Power, M and Attrill, M J",Long-term trends in the estuarine abundance of Nilsson’s pipefish (Syngnathus rostellatus Nilsson),,Estuarine Coastal and Shelf Science,,,,,,,
95,"Edmonds, J H and Brooks, R J","Demography, sex ratio, and sexual size dimorphism in a northern population of common musk turtles (Sternotherus odoratus)",,Canadian Journal of Zoology,,,,,,,
96,"Meyer, Carl G and Dale, Jonathan J and Papastamatiou, Yannis P and Whitney, Nicholas M and Holland, Kim N",Seasonal cycles and long-term trends in abundance and species composition of sharks associated with cage diving ecotourism activities in Hawaii,"Shark cage diving is both popular and controversial, with proponents citing educational value and non-extractive use of natural resources and opponents raising concerns about public safety and ecological impacts. Logbook data collected 2004--2004 from two Oahu (Hawaii) shark cage diving operations were analysed to determine whether such voluntary records provide useful insights into shark ecology or ecotourism impacts. Operators correctly identified common shark species and documented gross seasonal cycles and long-term trends in abundance of Galapagos (Carcharhinus galapagensis), sandbar (Carcharhinus plumbeus) and tiger sharks (Galeorcerdo cuvier). Annual cycles in shark abundance may indicate seasonal migrations, whereas long-term trends suggest gradual exclusion of smaller sandbar sharks from cage diving sites. Numerically dominant (> 98\%) Galapagos and sandbar sharks are rarely implicated in attacks on humans. Negligible impact on public safety is supported by other factors such as: (1) remoteness of the sites, (2) conditioning stimuli that are specific to the tour operations and different from inshore recreational stimuli and (3) no increase in shark attacks on the north coast of Oahu since cage diving started. Tracking studies are required to validate logbook data and to determine whether sharks associated with offshore cage diving travel into inshore areas used for in-water recreation.",Environmental Conservation,,,,,,,
97,"Karnauskas, M and McClellan, D B and Wiener, J W and Miller, M W and Babcock, E A","Inferring trends in a small-scale, data-limited tropical fishery based on fishery-independent data",,Fisheries Research,,,,,,,
