,Abstract,Journal,Title
10,the regional distribution pattern of bombus muscorum was studied in an agricultural landscape of central germany one of two remaining areas with the occurrence of this nationally endangered species in the land hesse to determine the landscape characteristics that facilitate the occurrence of b muscorum grid based observation records were analysed in a gis environment at a regional scale a significantly negative effect of the number of trees on the occurrence of b muscorum and a significantly positive one of the proportion of arable land strongly support the species preference for open landscapes yet apart from open landscapes additional landscape features were shown to be important a significantly positive effect of ditches in the final model revealed the importance of this landscape element for the occurrence of b muscorum this finding was additionally supported by recordings of nest searching queens nests and flower visits along dithes the positive effects of clover and fallow land indicate the species need for suitable food resources throughout the season because b muscorum exhibits small foraging ranges it is essential that landscape elements that provide nesting sites foraging habitats and undisturbed hibernation structures are next to each other the low numbers of individuals of b muscorum recorded indicate that the supply of these habitat elements may have reached a critical threshold in the study region,Biodiversity and Conservation,effects of landscape elements on the distribution of the rare bumblebee species bombus muscorum in an agricultural landscape
11,the hypothesis that sown m grass margins strips at the edges of arable fields have a positive impact on farmland biodiversity was tested using a paired field approach in southern england a total of fields were investigated half with at least year old margin strips created under the uk agri environment scheme countryside stewardship and half nearby control sites the sites were grouped on the basis of average field size into small intermediate or open landscape locations to examine landscape structure effects assessments of the flora bird and territory numbers bees spiders orthoptera and carabidae were made in early to mid summer there were positive impacts on diversity or abundance for the flora bees and orthoptera the herbaceous flora of the pre existing boundary adjacent to sown m strips was significantly more species rich than controls probably reflecting a buffer effect of the strip bees and orthoptera the latter of which were only found in field boundaries were more abundant where strips were sited reflecting added habitat resources bee numbers were significantly lower in field centres where there were no m margin strips there were no significant effects of sown strips on numbers of birds observed or bird territories spiders or carabidae but also no negative impacts lycosid spiders were consistently more abundant in boundaries of small fields with m margin strips linyphiidae were more abundant within the crop area of smaller fields amongst birds wrens troglodytes troglodytes were also more abundant in small fields while yellowhammers emberiza citrinella were more abundant in open landscapes the results confirm there are benefits to farmland biodiversity from introducing new margin strips at the edges of arable fields more significantly the success of agri environment schemes which will vary between taxa and species can be dependent on landscape structure scheme administrators may need to address landscape structure and mean field size to achieve significant enhancement of populations of declining farmland species,"Agriculture, Ecosystems and Environment",impacts of an agri environment field margin prescription on the flora and fauna of arable farmland in different landscapes
12,declines in bee populations have been documented in several parts of the world bees are dependent upon flowering plants for resources and flowering plants often depend upon bees for pollination services bees can therefore serve as indicator species of habitat degradation due to these relationships with flowering plants this study investigates how the bumble bee community in san francisco has responded to urbanization and which urban park characteristics are important for the current communitys structure to answer these questions we sampled bumble bees in urban parks and two nearby wild parks we estimated park characteristics and used multiple regression analysis to determine which characteristics predicted bumble bee abundance and species richness bumble bee abundance was positively associated with resource availability or proxies of resource availability natural area areas that contain remnant fragments that have been largely unchanged by human activity in and nest site abundance and openness of the surrounding matrix in both and bumble bee species richness was negatively associated with abundance of a dominant species bombus vosnesenskii in the importance of the surrounding matrix suggests that these parks do not act as islands accordingly area of park did not explain species richness while abundance of the dominant competitor did the species that was most influenced by competition bombus sitkensis uses rodent holes as nest sites and is possibly excluded from nest sites by the early emerging b vosnesenskii another subterranean nester the species least influenced by competition bombus melanopygus is able to use both rodent holes and abandoned bird nests as nest sites,Biological Conservation,are urban parks refuges for bumble bees bombus spp hymenoptera apidae
13,understanding the scale at which habitat influences species richness in terrestrial ecosystems is central to both ecology and conservation biology wettstein w schmid b conservation of arthropod diversity in montane wetlands effect of altitude habitat quality and habitat fragmentation on butterflies and grasshoppers journal of applied ecology  community composition may be influenced by habitat variation at patch and or landscape scales depending on the body size home range area and dispersal distances of the focal taxa calder iii w a size function and life history harvard university press cambridge ma haskell j p ritchie m e olff h fractal geometry predicts varying body size scaling relationships for mammal and bird home ranges nature  thomas c d dispersal and extinction in fragmented landscapes proceedings of the royal society biological sciences series b  not merely their phylogenetic affinity we investigated the importance of habitat variables at different scales on the richness and abundance of bumble bees both annually and seasonally in sierran montane meadows over two years we found that both patch and landscape factors influence the species richness and abundance of bumble bees and these factors have a seasonal component to their importance the proportion of meadow in the surrounding habitat was the most consistent positive influence on both species richness and abundance across years in the second year patch factors plant species richness and current livestock grazing also influenced bumblebee species richness plant species richness was positively correlated and current livestock grazing was negatively correlated with bumble bee species richness bumble bee abundance was positively influenced by meadow wetness and proportion of meadow in the surrounding habitat in both years these data suggest conservation of pollinators depends on conservation planning with attention to the quality and context of the landscape,Biological Conservation,patch and landscape factors shape community assemblage of bumble bees bombus spp hymenoptera apidae in montane meadows
14,although habitat fragmentation and agricultural intensification are known as threads to pollinator diversity little is known about consequences for population size and genetic diversity here we combined detailed field observations molecular approaches and gis based quantification of landscape structure measured by proportions of seminatural habitats and proportions of mass flowering crops to get new insights into driving forces of population dynamics of the bumblebee species bombus pascuorum comparing agriculturally dominated landscape sectors we found the proportion of mass flowering crops to positively influence bumblebee abundance whereas the proportion of seminatural habitats was of minor importance we used microsatellites to quantify landscape related colony densities inbreeding and population substructure detected colony densities did not correlate with landscape parameters or with local worker abundance measured by field observations these results indicate that increased worker abundances within landscapes are rather due to greater colony sizes than due to an increased number of nests we found significant population substructure measured by fst and seven landscapesectors to bear significantly increased inbreeding values fis fis was strongly varyingbetween sectors but did not correlate with landscape structure moreover fis had asignificantly negative effect on colony size demonstrating the importance of genetic diversity on population fitness at a landscape scale we suggest that inbreeding levels might be related to the temporal variation of food resources and population sizes in agricultural landscapes,Molecular Ecology,genetic diversity and mass resources promote colony size and forager densities of a social bee bombus pascuorum in agricultural landscapes
15,agricultural land use intensifi cation has caused a considerable decline of once common semi natural habitats leaving only small and isolated habitat remnants within a homogeneous landscape matrix populations of fl owering plant species in these remaining habitat fragments are also declining and can not offer suffi cient resources for potential pollinators the loss of pollinators and consequential pollination limitation is especially severe for obligately out crossing plant species in this study pollination and reproductive success of hippocrepis comosa was examined hippocrepis comosa l is a self incompatible declining plant species occurring on fragmented remnants in semi natural calcareous grassland habitats in an agricultural landscape in southern lower saxony germany plant pollinator interactions were analysed in small medium and large plant patches in differently sized calcareous grassland fragments surrounded by landscape matrices of differing complexity flower visitors were observed during three minute observations pollen supplementation experiments were performed to test for pollination limitation and fruits from the plant patches were collected to calculate seed set hippocrepis comosa showed evidence of pollination limitation because hand pollinated fl owers set more seeds per infl orescence than open pollinated fl owers and seed set was strongly reduced by decreased visitation rates pollinators were most abundant in large patches and in diverse landscapes visitation rate was not affected by patch size hence in order to maintain plant pollinator interactions in an agricultural landscape conservation efforts should include the preservation of calcareous grasslands that can support suffi ciently large patches of a plant species and offer ample rewards for pollinators and the establishment of a diverse agricultural landscape around the semi natural habitats that will further enhance pollinator abundance,Entomologia Generalis,patch size and landscape effects on pollinators and seed set of the horseshoe vetch hippocrepis comosa in an agricultural landscape of central europe
16,in intensively farmed agricultural landscapes many species are confined to very small uncultivated areas such as field margins however it has been suggested that these small habitat elements cannot support viable populations of all the species observed there instead species richness and abundance in these small habitat fragments may at least partly be dependent on dispersal from larger semi natural grassland fragments we tested this hypothesis for butterflies and bumble bees in independent landscapes in a region of intense agriculture in southern sweden in each landscape we surveyed abundance and species richness in one semi natural grassland one linear habitat uncultivated field margin adjacent to this called proximate and one similar linear habitat called distant situated at least m from the semi natural grassland patch both species richness and density individuals per unit area of butterflies and bumble bees were significantly higher in proximate linear habitats than in distant ones moreover butterfly species richness was higher for a given area in grasslands than in any of the linear habitat types butterfly density in grasslands did not differ from that in proximate linear habitats but was lower in distant linear habitats the effect of isolation on density was stronger for less mobile butterfly species for bumble bees there was no difference in species richness between grasslands and proximate linear habitats for at least some of the butterfly species even these relatively small fragments of semi natural grasslands act as population sources from which individuals disperse to the surrounding habitats and thereby contribute to higher densities and species richness in adjacent areas for bumble bees it is more likely that the grasslands contain a higher density of nests than the surrounding intensively cultivated landscape and that the density of foraging bumble bees decreases with increasing distance from the nest habitat fragmentation and intensified agricultural practices are considered to be a threat against services provided by pollinators in order to sustain the abundance and diversity of insect pollinators in intensively farmed agricultural landscapes we suggest that preservation of the remaining semi natural grasslands or re creation of flower rich grasslands is essential,Journal of Applied Ecology,semi natural grasslands as population sources for pollinating insects in agricultural landscapes
17,it is important for conservation biologists to understand how well species persist in humandominated ecosystems because protected areas constitute a small fraction of the earths surface and because anthropogenic habitats may offer more opportunities for conservation than has been previously thought we investigated how an important functional group pollinators bees hymenoptera apiformes are affected by human land use at the landscape and local scales in southern new jersey u s a we established sites that differed in surrounding landscape cover or local habitat type and collected bees of species the natural habitat in this ecosystem is a forested ericaceous heath bee abundance and species richness within forest habitat decreased not increased with increasing forest cover in the surrounding landscape similarly bee abundance was greater in agricultural fields and suburban and urban developments than in extensive forests and the same trend was found for species richness particular species groups that might be expected to show greater sensitivity to habitat loss such as floral specialists and bees of small or large body size did not show strong positive associations with forest habitat nevertheless of the bee species studied were positively associated with extensive forest one of these species is a narrow endemic that was last seen in our results suggest that at least in this system moderate anthropogenic land use may be compatible with the conservation of many but not all bee species,Conservation Biology,effect of human disturbance on bee communities in a forested ecosystem
18,in many european agricultural landscapes species richness is declining considerably studies performed at a very large spatial scale are helpful in understanding the reasons for this decline and as a basis for guiding policy in a unique large scale study of agricultural landscapes in seven european countries we investigated relationships between species richness in several taxa and the links between biodiversity and landscape structure and management we estimated the total species richness of vascular plants birds and five arthropod groups in each km landscape and recorded various measures of both landscape structure and intensity of agricultural land use we studied correlations between taxonomic groups and the effects of landscape and land use parameters on the number of species in different taxonomic groups our statistical approach also accounted for regional variation in species richness unrelated to landscape or land use factors the results reveal strong geographical trends in species richness in all taxonomic groups no single species group emerged as a good predictor of all other species groups species richness of all groups increased with the area of semi natural habitats in the landscape species richness of birds and vascular plants was negatively associated with fertilizer use synthesis and applications we conclude that indicator taxa are unlikely to provide an effective means of predicting biodiversity at a large spatial scale especially where there is large biogeographical variation in species richness however a small list of landscape and land use parameters can be used in agricultural landscapes to infer large scale patterns of species richness our results suggest that to halt the loss of biodiversity in these landscapes it is important to preserve and if possible increase the area of semi natural habitat,Journal of Applied Ecology,indicators for biodiversity in agricultural landscapes a pan european study
19,during recent decades concern about the loss of biodiversity on agricultural land has increased and semi natural grasslands have been highlighted as critical habitats temperate european agricultural landscapes require distinct and appropriate management to prevent further impoverishment of the flora and fauna this is especially urgent for pollinating insects that provide important ecosystem services our aim was to examine how species richness of three important groups of pollinating insects solitary bees butterflies and burnet moths are related to different farm characteristics and if there are any differences between these three groups a further aim was to test if red listed species are related to any farm characteristics species richness of solitary bees butterflies and burnets was measured on all seminatural grasslands at farms in a forest dominated area of km in southern sweden using systematic transect walks in april to september only butterflies and burnets and species richness of solitary bees and butterflies was intercorrelated both before and after controlling for the area of semi natural grassland species richness of solitary bees increased with the area of semi natural grassland after controlling for the effect of the area of semi natural grassland species richness was strongly positively related with the density of the plant knautia arvensis and negatively related with the proportion of grazed grassland the results were similar for solitary bees and butterflies the number of red listed solitary bees was positively related to the proportion of meadows with late harvest after mid july and decreased with increased farm isolation the number of burnet species all red listed was positively related to vegetation height flower density and the proportion of meadows with late harvest on a farm areas with a high density of k arvensis and with traditional hay meadow with late harvest present harbour most species promoting traditional hay meadows late extensive grazing and the herb k arvensis people managing agricultural biodiversity can encompass high species richness of pollinating insects and support red listed species further we suggest that the density of k arvensis at a farm can be used as a biodiversity indicator at least for pollinating insects,Ecography,how can we preserve and restore species richness of pollinating insects on agricultural land
20,factors that determine the relative abundance of bumblebee species remain poorly understood rendering management of rare and declining species difficult studies of bumblebee communities in the americas suggest that there are strong competitive interactions between species with similar length tongues and that this competition determines the relative abundance of species in contrast in europe it is common to observe several short tongued species coexisting with little or no evidence for competition shaping community structure in this study we examine patterns of abundance and distribution in one of the most diverse bumblebee communities in europe found in the mountains of southern poland we quantify forage use when collecting nectar and pollen for bumblebee species and examine patterns of co occurrence and niche overlap to determine whether there is evidence for inter specific competition we also test whether rarity can be explained by diet breadth up to species were found coexisting within single sites with species richness peaking in mountain pasture at m altitude results concur with previous studies indicating that the majority of pollen collected by bumblebees is from fabaceae but that some bee species e g b ruderatus are much more heavily dependent on fabaceae than others e g b lucorum those species that forage primarily on fabaceae tended to have long tongues in common with studies in the uk diet breadth was correlated with abundance rarer species tended to visit fewer flower species after correcting for differences in sample size no evidence was found for similarity in tongue length or dietary overlap influencing the likelihood of co occurrence of species however the most abundant species which co occurred at most sites occupied distinct dietary niche space while species with tongues of similar length tended overall to have higher dietary niche overlap among the group of abundant short tongued species that commonly co occurred there was marked dietary differentiation which may explain their coexistence,Biodiversity and Conservation,diet breadth coexistence and rarity in bumblebees
21,over the last decades biodiversity in agricultural landscapes has declined drastically initiatives to enhance biodiversity such as agri environment schemes often have little effect especially in intensively farmed landscapes the effectiveness of conservation management may be improved by scheme implementation near high quality habitats that can act as a source of species we evaluated up to what distance high quality habitats nature reserves and artificially created flower rich patches fect the diversity of forbs and pollinators in intensively farmed landscapes of the netherlands we surveyed forbs inflorescences bees and hover flies and estimated pollination services in ansects along ditch banks extending m from four nature reserves forming small islands in landscapes dominated by agriculture in a separate experiment we surveyed inflorescences bees and hover flies in m long transects on farmland adjacent to five newly introduced flower rich patches and in five control transects species density of forbs declined over the first m and species density and abundance of hover flies declined over the first m beyond the nature reserves beyond these distances no further declines were observed the effects of flower rich patches were spatially limited the species density and abundance of bees and hover flies were significantly enhanced in the flower rich patch but only the abundance of hover flies was enhanced up to m beyond the patch in intensively farmed areas remnant high quality habitats sustain more undant and diverse pollinator and forb communities than the surrounding countryside they do enhance biodiversity on nearby farmland but increases are spatially restricted m and relatively small these habitats may therefore function only as dispersal sources for ecological restoration sites or gricultural fields under extensification schemes that are located in close proximity habitat restoration in intensivelyused farmlandshould thereforebe implemented preferentiallyin the immediate vicinity of high quality habitats in the short term newly created flower rich habitats are no alternative to pre existing seminatural habitats for the promotion of pollinators on nearby farmland,Journal of Applied Ecology,at what spatial scale do high quality habitats enhance the diversity of forbs and pollinators in intensively farmed landscapes
22,this study examined bee communities by sweep net and pan trap sampling and quantified the number of ramets of floral resources in native tallgrass prairie fragments and nearby ruderal areas within km in iowa usa in the summer of bee communities in ruderal areas were significantly less diverse than those in native tallgrass prairie remnants with about half as many species and approximately a third as many bees diversity abundance and richness of floral resources were also significantly less in ruderal grasslands than in native prairies indicating that poor floral resource levels may substantially depauperate their bee communities common bees dominated the composition of the ruderal grasslands only one rare species in this study was found at a ruderal site indicating that high quality prairie remnants are important reservoirs of bee diversity abundance of flowering ramets of a plant species was a significant predictor of the abundance of bees found on that plant there was also a preference for human yellow flowers after adjusting for ramet abundance and there were significantly more bees caught in yellow pan traps than blue or white ones the abundance but not the richness of small bee species length  mm was less than expected at ruderal sites when compared to prairies implying the presence of local nesting opportunities in ruderal grasslands for small bees but insufficient resources to support large populations,"Agriculture, Ecosystems and Environment",diversity and abundance of bees hymenoptera apiformes in native and ruderal grasslands of agriculturally dominated landscapes
23,habitat loss and fragmentation lead to changes in species richness and composition which may affect ecosystem services yet few studies distinguish between the effects of habitat loss and isolation or how multiple ecosystem services may be affected simultaneously we investigated the effects of variation in cover of woody and open semi natural habitats and isolation from forest on the relative functioning of pollination seed predation and insect scavenging in agricultural landscapes we established sites in grassland locations in the swiss plateau around berne the sites varied independently in their isolation from forest edges in the percentage of woody habitats and in the percentage of open seminatural habitats in the surrounding landscape m radius we experimentally exposed primroses sunflower seeds and cricket corpses during spring none of the three studied services was affected by variation in woody or open semi natural habitat cover however the proportion of flowers setting seed was significantly reduced by isolation from forest further seed predation and insect scavenging were significantly lower at isolated sites than at sites connected to woody habitat this pattern was particularly pronounced for seeds and insect corpses that were enclosed by wire netting and thus inaccessible to vertebrates thus all three studied services responded quite similarly to the landscape context the observed small scale determination of seed set seed predation and insect scavenging contrasts with larger scale determination of pollination and insect pest control found in other studies,Landscape Ecology,isolation from forest reduces pollination seed predation and insect scavenging in swiss farmland
