Abstract,Journal,PMID,Title
diet and habitat use of the closely related and size overlapping sympatric cynopterus brachyotis and c sphinx were established in lowland dry evergreen forest thailand betweenmarch andmarch feces fromnetted bats were analyzed and the recapture rate determined although both species share a set of food plants and fruits from early successional forest contribute about half of their diet c brachyotis the smaller of the two species ate a significantly greater proportion of fruits from early successional forest than c sphinx the latter ate a significantly greater proportion of fruit species in larger size classes more c brachyotis were captured in early successional forest in almost every month while c sphinx is more common in old growth forest however the capture rate of c sphinx increased in early successional forest in the mid dry season when its preferred fruits become available the recapture rate of c brachyotis in early successional forest was significantly higher than that of c sphinx and the reverse situation was observed in old growth forest male c sphinx had a significantly higher recapture rate in early successional forest than females fruit size and habitat use are the major determinants of resource partitioning between these size overlapping congeners,Biotropica,,resource partitioning in sympatric cynopterus bats in lowland tropical rain forest thailand
this study reports years of the population dynamics and reproduction of a small mammal community using the removal method the study was conducted in a rural area of the atlantic forest in sumidouro rio de janeiro state brazil the population sizes age structure and reproduction were studied for the four most common species in the study area the overall diversity was and ranged between to the species richness was considering the whole study the most abundant species were the rodents nectomys squamipes n akodon cursor n oligoryzomys nigripes n and the marsupials didelphis aurita n and philander frenatus n seven other rodents were captured once necromys lasiurus akodon montensis sooretamys angouya oecomys catherine oxymycterus judex euryzygomatomys spinosus and trinomys iheringi there were higher peaks for diversity and species richness during the winter dry months probably due to higher food availability the marsupials had a seasonal reproduction with highest population sizes at the end of the rainy seasons nectomys squamipes reproduced mostly during rainy periods akodon cursor reproduced predominantly in the winter with the highest population peaks occurring during this season the analysis of the population dynamics of the rodent species indicated that no species behaved as an agricultural pest probably due to the heterogeneous landscape of high rotativity of vegetable cultivation rodent populations were more susceptible to the removal procedure than marsupial ones,Brazilian journal of biology = Revista brasleira de biologia,,small mammal populations of an agroecosystem in the atlantic forest domain southeastern brazil
the uk bat monitoring programme began in and is run by the bat conservation trust with the joint nature conservancy council the main governmental funder summer colony field and hibernation surveys form the main monitoring methods heterodyne frequency division detectors were introduced onto field surveys in allowing a more objective assessment of species identification power statistics demonstrate a confidence in meeting rucn alert targets for population declines based on present annual data collection levels for most species surveys population indices are constructed for each species survey the programme delivers c hours of volunteer effort throughout the uk annually and volunteer management is identified as critical to the success of the programme volunteer turnover requires constant recruitment to maintain present survey levels in the pilot sunrise survey requiring no equipment previous bat experience for participation opened the programme to novice surveyors workshops are run throughout the uk to increase existing surveyor effectiveness especially on detector based field surveys,Bat Research News,,the uk s national bat monitoring programme nbmp
sea otter enhydra lutris populations were exploited to near extinction and began to re cover after the cessation of commercial hunting in remnant colonies of sea otters in the aleutian archipelago were among the first to recover they continued to increase through the s but declined abruptly during the s we conducted an aerial survey of the aleutian archipelago in and compared results with similar surveys conducted in and the number of sea otters counted decreased by between and for islands at equilibrial density in the population decline likely began in the mid s and declined at a rate of year in the s the minimal population estimate was sea otters in the population declined to a uniformly low density in the archipelago suggesting a common and geographically widespread cause these data are in general agreement with the hypothesis of increased predation on sea otters these data chronicle one of the most widespread and precipitous population declines for a mammalian carnivore in recorded history,Journal of Mammalogy,,sea otter population declines in the aleutian archipelago
identifying demographic changes is important for understanding population dynamics however this requires long term studies of definable populations of distinct individuals which can be particularly challenging when studying mobile cetaceans in the marine environment we collected photo identification data from years to assess the dynamics of a population of bottlenose dolphins tursiops truncatus restricted to the shallow m waters of little bahama bank northern bahamas this population was known to range beyond our study area so we adopted a bayesian mixture modeling approach to mark recapture to identify clusters of individuals that used the area to different extents and we specifically estimated trends in survival recruitment and abundance of a resident population with high probabilities of identification there was a high probability p of a long term decrease in the size of this resident population from a maximum of dolphins highest posterior density intervals hpdi in to a minimum of just dolphins hpdi in a decline of hpdi to this was driven by low per capita recruitment average that could not compensate for relatively low apparent survival rates average notably there was a significant increase in apparent mortality apparent mortalities vs on average in when two intense hurricanes passed over the study area with a high probability p of a drop below the average survival probability in on average as such our mark recapture approach enabled us to make useful inference about local dynamics within an open population of bottlenose dolphins this should be applicable to other studies challenged by sampling highly mobile individuals with heterogeneous space use,Ecological Applications,,photographic mark recapture analysis of local dynamics within an open population of dolphins
the success of mpas in conserving fishing resources and protecting marine biodiversity relies strongly on how well they meet their planned or implicit management goals from a review of empirical studies aiming at assessing the ecological effects of mediterranean and macaronesian mpas we conclude that establishing an mpa is successful for i increasing the abundance biomass ii increasing the proportion of larger older individuals and iii enhancing the fecundity of commercially harvested populations also mpas demonstrated to be effective for iv augmenting local fishery yields through biomass exportation from the protected area and v inducing shifts in fish assemblage structure by increasing the dominance of large predator species however the attraction for tourism and diving due to ecological benefits of protection can cause damages likely to reverse some of the mpa effects other expected effects are more subject to uncertainty and hence need more research such as vi causing density dependent changes in life history traits and vii protecting the recruitment of commercially important species viii protecting marine biodiversity including genetic diversity ix causing ecosystem wide effects such as trophic cascades and x increasing community and ecosystem stability thus promoting resilience and faster recovery from disturbance meta analysis of data arising from these case studies are used to establish the overall effect of mpas and its relationship to mpa features such as size of no take area or time since protection based on the review and the meta analyses specific recommendations are provided for mpa management regarding the establishment of goals and objectives site selection mpa design and zoning planning and monitoring finally a series of recommendations for mpa research are offered to drive future research in mpa issues in the mediterranean and macaronesia,Journal for Nature Conservation,,effectiveness of european atlanto mediterranean mpas do they accomplish the expected effects on populations communities and ecosystems
oil that spilled after the grounding of the exxon valdez in killed large numbers of sea otters in western prince william sound alaska usa however our boat based counts of sea otters during at oiled sites were as high or higher than boat based counts in the same area in the early s another study reported a significant decline in sea otter numbers after the spill but our reanalysis of that data produced results very similar to ours counts of otters were higher than pre spill counts in the oiled area the only detectable decline was in the northern part of the sound outside the area of oiling we suggest that otter numbers in the western sound may have been increasing during the late s masking the loss due to the spill direct evidence for such an increase is lacking because no counts were conducted during this period however for several years after the spill pup production was higher than normal which if characteristic of the period immediately pre spill could have spurred a population increase heightened pup production may have been caused by increased food supplies after the spill otters obtained more and larger clams per dive and spent less time feeding per day than in the early s we postulate that in the early s clams were still recovering from the uplift caused by the earthquake which resulted in massive clam mortality and habitat change in the western sound lingering effects of previous catastrophic events like the earthquake and even th century fur harvests have hampered attempts to assess the impacts of the oil spill on sea otter population dynamics the effects of uncontrolled and unreplicated environmental incidents even major disasters may be difficult to assess because of con founding factors,Journal of Applied Ecology,,sea otter population dynamics and the exxon valdez oil spill disentangling the confounding effects
the distribution range of the largest iberian lynx lynx pardinus population of eastern sierra morena was assessed between and the past distribution was evaluated using field interviews the present range was determined by sign searching scats in x km and x km utm quadrats and the annual population size was estimated by camera trapping our results indicate that lynx distribution has been limited to granite areas and since the middle of the th century lynx occupation was detected in only x km utm quadrats an important decline in lynx numbers has been registered since the early s resulting in only utm x km occupied quadrats between and with two subpopulations separated by a km distance occupying and quadrats each considering x km utm quadrats the distribution range increased from km in to km in also between and the number of female territories increased from to the population size was assessed since increasing from detected individuals adults to individuals in adults the positive dynamics observed during the study was partially related to the development of a major conservation program the lynx distribution was correlated with rabbit distribution and abundance therefore conservation measures must be based on rabbit management in order to recover habitat carrying capacity since the most important iberian lynx population is still too small,Wildlife Biology in Practice,,current status of the iberian lynx lynx pardinus in eastern sierra morena southern spain
during a year period the density of badgers in central poland increased from individuals per km of forest area in to in this increase was associated with formation of new families the mean number of young per breeding female was estimated at three and the annual recruitment of young at per adult animal the average family size was approximately young and adults or only adults individuals,Miscellania Zoologica,,density estimation family group size and recruitment in a badger population near rog w central poland
conservation of naturally sympatric endangered species requires unique considerations while impacts of invasive species garner much attention interactions between endangered species must also be managed the endangered leon springs pupfish cyprinodon bovinus has suffered a population decline due to decreasing natural habitat as breeding habitat is lost c bovinus is also adversely affected by the sympatric endangered pecos gambusia gambusia nobilis here we document interactions between these species finding significantly more g nobilis accumulated at pupfish spawning events than randomly distributed on breeding grounds in the absence of spawning as a known egg predator our results suggest that g nobilis presence at spawnings may further decrease pupfish numbers while also altering the evolutionary dynamics of c bovinus breeding tactics habitat restoration may decrease gambusia concentrations or influence c bovinus breeding behaviour and increase the number of territorial males resulting in viable population sizes for both critically endangered fishes,Biology letters,,conservation and conflict between endangered desert fishes
we extend a predator prey model previously parameterized for voles and weasels to two prey species a microrus field vole type which is competitively superior to but more vulnerable to predation than a clethrionomys bank vole type the model explains four patterns in the dynamics of multispecies rodent assemblages in fennoscandia a predictable shift in the relative abundances of different prey species during one multiannual population cycle long term supracyclic variation in relative prey abundances an association between the amplitude of population oscillations and the type of the numerically dominant prey species and increasing rodent species number with increasing latitude the model results illustrate the complex and often unexpected behaviour of strongly connected multispecies assemblages of which the fennoscandian rodent predator community is a prime example since the mid s rodent oscillations in many though not all parts of northern fennoscandia have become distinctly less regular non cyclic a change which is reflected in the entire animal community linked to the keystone species the arvicoline rodents we demonstrate that such long term changes in the amplitude and regularity of rodent oscillations are not unexpected in multispecies prey predator assemblages,Journal of Animal Ecology,,predation on competing rodent species a simple explanation of complex patterns
we present a new approach to modeling two sex populations using periodic nonlinear two sex matrix models the models project the population growth rate the population structure and any ratio of interest e g operational sex ratio the periodic formulation permits inclusion of highly seasonal behavioral events a periodic product of the seasonal matrices describes annual population dynamics the model is nonlinear because mating probability depends on the structure of the population to study how the vital rates influence population growth rate population structure and operational sex ratio we used sensitivity analysis of frequency dependent nonlinear models in nonlinear two sex models the vital rates affect growth rate directly and also indirectly through effects on the population structure the indirect effects can sometimes overwhelm the direct effects and are revealed only by nonlinear analysis we find that the sensitivity of the population growth rate to female survival is negative for the emperor penguin a species with highly seasonal breeding behavior this result could not occur in linear models because changes in population structure have no effect on per capita reproduction our approach is applicable to ecological and evolutionary studies of any species in which males and females interact in a seasonal environment,The American naturalist,,mating behavior population growth and the operational sex ratio a periodic two sex model approach
recruitment of bay anchovy anchoa mitchilli in chesapeake is related to variability in hydrological conditions and to abundance and spatial distribution of spawning stock biomass ssb midwater trawl surveys conducted for six years over the entire km length of the bay provided information on anchovy ssb annual spatial patterns of recruitment and their relationships to variability in the estuarine environment ssb of anchovy varied sixfold in it alone explained little variability in young of the year yoy recruitment level in october which varied ninefold recruitments were low in and and x but higher in to x during the recruitment process the yoy population migrated upbay before a subsequent fall winter downbay migration the extent of the downbay migration by maturing recruits was greatest in years of high freshwater input to the bay mean dissolved oxygen do was more important than freshwater inpu t in controlling distribution of ssb and shifts in ssb location between april may prespawning and june august spawning periods recruitments of bay anchovy were higher when mean do was lowest in the downbay region during the spawning season it is hypothesized that anchovy recruitment level is inversely related to mean do concentration because low do is associated with high plankton productivity in chesapeake bay additionally low do conditions may confine most bay anchovy spawners to the downbay region where production of larvae and juveniles is enhanced a modified ricker stock recruitment model indicated density compensatory recruitment with respect to ssb and demonstrated the importance of spring summer do levels and spatial distribution of ssb as controllers of bay anchovy recruitment,Fishery Bulletin,,recruitment and spawning stock biomass distribution of bay anchovy anchoa mitchilli in chesapeake bay
the mangrove channels of bahia magdalena mexico are important developmental areas for juvenile green or black turtles chelonia mydas but incidental bycatch and illegal hunting threaten population persistence we studied size distribution condition index ci growth rates and mortality of black turtles in estero banderitas the largest mangrove channel in bahia magdalena to supply information for the development of effective conservation strategies a total of black turtles including recaptures were caught in entanglement nets between july and july average yearly catch per unit of effort cpue unit m of net fishing for h dropped during the study from to about of all turtles were considered juveniles average size was cm turtles were significantly smaller at the head of estero banderitas than in the central part of the estero and in the open bay indicating size based habitat segregation average growth rate was cm year and declined with increasing size growth was seasonal and three times higher in summer cm month than in winter cm month body ci was also significantly higher during the summer months a seasonalized von bertalanffy growth function vbgf was used to model growth for the size range studied cm scl with the parameters l cm scl k year t c and t s growth data indicate that black turtles may spend up to years in bahia magdalena before they reach maturity at about cm scl the total mortality estimate z from the length converted catch curve was corresponding to a yearly survival probability of,Marine Biology,,population ecology of the green black turtle chelonia mydas in bah a magdalena mexico
during the last centuries the breeding range of the great snipe gallinago media has declined dramatically in the western part of its distribution to examine present population dynamics in the scandinavian mountains we collected and analysed a year time series of counts of great snipe males at leks in central norway the population showed large annual fluctuations in the number of males displaying at lek sites range males at the peak of the mating season but no overall trend we detected presence of direct density dependent mechanisms regulating this population inclusion of the density dependent term in a ricker type model significantly improved the fit with observed data evaluated with parametric bootstrap likelihood ratio tests and akaike s information criterion for small sample size an analysis of a number of a priori likely environmental covariates suggests that the population dynamics were affected by conditions influencing reproduction and survival of offspring during the summer but not by conditions influencing survival at the wintering grounds in africa this is in contrast to many altricial birds breeding in the northern hemisphere and supports the idea that population dynamics of migratory nidifugous birds are more influenced by conditions during reproduction inclusion of these external factors into our model improved the detectability of density dependence this illustrates that allowing for external effects may increase statistical power of density dependence tests and thus be of particular importance in relatively short time series in our best model of the population dynamics two likely density independent offspring survival covariates explained of the variance in great snipe numbers predation pressure estimated by willow grouse reproductive success and food availability estimated by the amount of precipitation in june whereas density dependence explained demographic stochasticity and unidentified environmental stochasticity may account for the remaining,Journal of Animal Ecology,,population fluctuations and regulation in great snipe a time series analysis
we studied responses of stoats and least weasels to fluctuating vole abundances during seven win ters in western finland density indices of mustelids were derived from snow tracking diet composition from scat samples and vole abundances from snap trapping pr dation rate was estimated by the ratio of voles to mustelids and by the vole kill rate by predators density of predator percentage of voles in the diet we tested the following four predictions of the hypothesis that small mustelids cause the low phase of the microtine cycle the densities of predators should lag well be hind the prey abundances as time lags tend to have destabilizing effects the densities of stoats fluctuated in accordance with the vole abundances whereas the spring densities of least weasels tracked the vole abundances with a half year lag and the autumn densities with a year lag predators should not shift to alternative prey with declining vole densities the yearly proportion of microtus voles the staple prey in the diet of stoats varied widely range and was positively cor related with the winter abundance of these voles in contrast the same proportion in the food of least weasels was independent of the vole abundance the ratio of voles to small mustelids should be smallest in poor vole years and largest in good ones this was also observed vole densities from autumn to spring should decrease more in those winters when vole kill rates are high than when they are low the data on least weasels agreed with this prediction our results from least weasels were con sistent with the predictions of the hypothesis but stoats behaved like semi generalist predators accordingly declines and lows in the microtine cycle may be due to least weasel pr dation but other extrinsic factors may also contribute to crashes,Oecologia,,responses of stoats and least weasels to fluctuating food abundances is the low phase of the vole cycle due to mustelid predation
the predation of tengmalm s owls in the breeding season was studied during in western finland the yearly number of breeding pairs range and non breeding males in the study area km was positively related to the number of available microtus m agrestis and m epiroticus and clethrionomys glareolus the mean number of fledglings produced per pair was also positively correlated with the numbers of voles the owls were able to track without time lags the population fluctuations of their microtine prey due to the high degree of mobility vole supply dependent adult and juvenile survival large reproductive potential and early maturity the density of microtus voles was the most important factor determining the diet composition of breeding owls the functional curve to the changing numbers of microtus spp was very close to linear and did not level off at the high vole densities this indicated a constant predation rate without satiety when voles peaked the predation impact on microtines was positively dependent on vole densities and suggests that the owls dampen microtine cycles the following factors seemed to promote the dampening impact rapid numerical and functional responses to changes in vole densities owl populations only slightly limited by territoriality and spatial heterogeneity of the study area,Oikos,,predation of tengmalms owls numerical responses functional responses and dampening impact on population fluctuations of microtines
