Abstract,Authors,Date_downloaded,Journal,PMID,Title,Year
"In Europe, Ixodes ricinus is the most important vector of tick-borne zoonotic bacteria. It transmits spirochaetes from the Borrelia burgdorferi sensu lato complex, Anaplasma phagocytophilum and Rickettsia spp. Although spatial differences in the prevalence of tick-borne pathogens have been intensively studied, seasonal (within-year) fluctuations in the prevalence of these pathogens within sites are often overlooked. We analyzed the occurrence and seasonal dynamics of Ixodes ricinus in an urban forest in Bratislava, Slovakia. Furthemore, we examined temporal trends in the community structure of B. burgdorferi s.l., A. phagocytophilum and Rickettsia spp. in questing and bird-feeding ticks. The total prevalence for B. burgdorferi s.l. in questing I. ricinus was 6.8%, involving six genospecies with the dominance of bird-associated B. garinii and B. valaisiana.A. phagocytophilum, R. helvetica and R. monacensis occurred in 5.9%, 5.0% and 0.2% of questing ticks, respectively. In total, 12.5% and 4.4% of bird-feeding I. ricinus ticks carried B. burgdorferi s.l. and R. helvetica. The total prevalence of B. burgdorferi s.l. in our study site was two times lower than the mean prevalence for Europe. In contrast, A. phagocytophilum prevalence was significantly higher compared to those in other habitats of Slovakia. Our results imply that tick propagation and the transmission, suppression and seasonal dynamics of tick-borne pathogens at the study site were primarily shaped by abundance and temporal population fluctuations in ruminant and bird hosts.","M Chvostáč, E Špitalská, R Václav, T Vaculová, L Minichová, M Derdáková",2018-09-03,International journal of environmental research and public health,29762516,"Seasonal Patterns in the Prevalence and Diversity of Tick-Borne Borrelia burgdorferi Sensu Lato, Anaplasma phagocytophilum and Rickettsia spp. in an Urban Temperate Forest in South Western Slovakia.",2018
"A universal turnaround has been detected in many countries of the World from shrinking to expanding forests. The forest area of western Europe expanded already in the 19th century. Such early trends of forest resources cannot be associated with the rapid rise of atmospheric carbon dioxide nor with the anthropogenic climate change, which have taken place since the mid 20th century. Modern, most recent spatial patterns of forest expansions and contractions do not correlate with the geography of climate trends nor with dry versus moist areas. Instead, the forest resources trends of nations correlate positively with UNDP Human Development Index. This indicates that forest resources of nations have improved along with progress in human well-being. Highly developed countries apply modern agricultural methods on good farmlands and abandon marginal lands, which become available for forest expansion. Developed countries invest in sustainable programs of forest management and nature protection. Our findings are significant for predicting the future of the terrestrial carbon sink. They suggest that the large sink of carbon recently observed in forests of the World will persist, if the well-being of people continues to improve. However, despite the positive trends in domestic forests, developed nations increasingly outsource their biomass needs abroad through international trade, and all nations rely on unsustainable energy use and wasteful patterns of material consumption.","PE Kauppi, V Sandström, A Lipponen",2018-09-03,PloS one,29758029,Forest resources of nations in relation to human well-being.,2018
"One of the major public health challenges in the field of communicable diseases consists of being able to predict where and when a population is at risk of being infected by a pathogen. In the case of vector-borne diseases, such predictions often require strong ecological knowledge of the vector life-cycle and the environmental conditions promoting or preventing its establishment and maintenance. In this study, we analyse how climatic factors influence the abundance and phenology of the Lyme borreliosis vector Ixodes ricinus in a Swiss temperate forest, based on a long-term monthly observation over a period of 15 years (2000 and 2014).","G Hauser, O Rais, F Morán Cadenas, Y Gonseth, M Bouzelboudjen, L Gern",2018-09-03,Parasites & vectors,29739424,Influence of climatic factors on Ixodes ricinus nymph abundance and phenology over a long-term monthly observation in Switzerland (2000-2014).,2018
"A new Land Use Regression model was built to develop pan-European 100 m resolution maps of NO2 concentrations. The model was built using NO2 concentrations from routine monitoring stations available in the Airbase database as dependent variable. Predictor variables included land use, road traffic proxies, population density, climatic and topographical variables, and distance to sea. In order to capture international and inter regional disparities not accounted for with the mentioned predictor variables, additional proxies of NO2 concentrations, like levels of activity intensity and NOx emissions for specific sectors, were also included. The model was built using Random Forest techniques. Model performance was relatively good given the EU-wide scale (R>2> = 0.53). Output predictions of annual average concentrations of NO2 were in line with other existing models in terms of spatial distribution and values of concentration. The model was validated for year 2015, comparing model predictions derived from updated values of independent variables, with concentrations in monitoring stations for that year. The algorithm was then used to model future concentrations up to the year 2030, considering different emission scenarios as well as changes in land use, population distribution and economic factors assuming the most likely socio-economic trends. Levels of exposure were derived from maps of concentration. The model proved to be a useful tool for the ex-ante evaluation of specific air pollution mitigation measures, and more broadly, for impact assessment of EU policies on territorial development.","P Vizcaino, C Lavalle",2018-09-03,"Environmental pollution (Barking, Essex : 1987)",29734075,Development of European NO2 Land Use Regression Model for present and future exposure assessment: Implications for policy analysis.,2018
"To examine the reproduction fitness coefficients and individual-level fitness of Toona ciliata var. pubescens, their sexual reproduction and natural regeneration were investigated during 2006-2016, with four natural populations in Jiulianshan National Reserve as test objects. The results showed that there were only 2-10 trees for the natural populations of T. ciliata var. pubescens with a small initial number of fruiting plants (3-9 trees), which were from the initial fruiting plants or their first/second generation. The sexual reproduction of these isolated populations were significantly different, and their seed production capacities tended to decline over time. With the maturing of communities, soil seed banks and seed germinations were extremely poor, and the number of trees that could be growing to mature stage was nearly zero. The optimum maturity age of T. ciliata var. pubescens was about 40 a, and the fitness coefficients (2.0-2.8) rapidly increased in early development stage, but then was sharply reduced (0.3-0.5), and then gradually dropped to almost 0. There were significant differences in the fitness at individual level (0-14 tree·cm>-2>) among different populations, but their values were low (close to zero). Based on the existing reproduction rate, the actual values of sexual reproduction and regeneration fitness were much lower than the predicted ones. Due to the low level of genetic fitness, the sexual reproductive ability of different populations all showed decreasing trends. The natural sexual regeneration ability tended to decline, while the fitness of T. ciliata var. pubescens further decreased. All those factors suggested higher investment risks. Therefore, the systems of sexual reproduction became unbalanced and deteriorating. We proposed that more studies, including breeding mating, pollination, seed setting, and genetic diversity evaluation, are needed. Moreover, we should provide suitable forest environment through cleaning up litter in the fruiting stage and applying appropriate thinning during the transition period from seedling to young tree growth.","HL Huang, L Zhang, LM Jia, YL Liang, JH Cai",2018-09-03,Ying yong sheng tai xue bao = The journal of applied ecology,29726217,[Fitness of sexual reproduction of Toona ciliata var. pubescens natural populations and their sexual reproduction and regeneration].,2018
"We present a range-wide assessment of sympatric western lowland gorillas Gorilla gorilla gorilla and central chimpanzees Pan troglodytes troglodytes using the largest survey data set ever assembled for these taxa: 59 sites in five countries surveyed between 2003 and 2013, totaling 61,000 person-days of fieldwork. We used spatial modeling to investigate major drivers of great ape distribution and population trends. We predicted density across each taxon's geographic range, allowing us to estimate overall abundance: 361,900 gorillas and 128,700 chimpanzees in Western Equatorial Africa-substantially higher than previous estimates. These two subspecies represent close to 99% of all gorillas and one-third of all chimpanzees. Annual population decline of gorillas was estimated at 2.7%, maintaining them as Critically Endangered on the International Union for Conservation of Nature and Natural Resources (IUCN) Red List. We quantified the threats to each taxon, of which the three greatest were poaching, disease, and habitat degradation. Gorillas and chimpanzees are found at higher densities where forest is intact, wildlife laws are enforced, human influence is low, and disease impacts have been low. Strategic use of the results of these analyses could conserve the majority of gorillas and chimpanzees. With around 80% of both subspecies occurring outside protected areas, their conservation requires reinforcement of anti-poaching efforts both inside and outside protected areas (particularly where habitat quality is high and human impact is low), diligent disease control measures (including training, advocacy, and research into Ebola virus disease), and the preservation of high-quality habitat through integrated land-use planning and implementation of best practices by the extractive and agricultural industries.","S Strindberg, F Maisels, EA Williamson, S Blake, EJ Stokes, R Aba'a, G Abitsi, A Agbor, RD Ambahe, PC Bakabana, M Bechem, A Berlemont, B Bokoto de Semboli, PR Boundja, N Bout, T Breuer, G Campbell, P De Wachter, M Ella Akou, F Esono Mba, ATC Feistner, B Fosso, R Fotso, D Greer, C Inkamba-Nkulu, CF Iyenguet, KJ Jeffery, M Kokangoye, HS Kühl, S Latour, B Madzoke, C Makoumbou, GF Malanda, R Malonga, V Mbolo, DB Morgan, P Motsaba, G Moukala, BS Mowawa, M Murai, C Ndzai, T Nishihara, Z Nzooh, L Pintea, A Pokempner, HJ Rainey, T Rayden, H Ruffler, CM Sanz, A Todd, H Vanleeuwe, A Vosper, Y Warren, DS Wilkie",2018-09-03,Science advances,29707637,"Guns, germs, and trees determine density and distribution of gorillas and chimpanzees in Western Equatorial Africa.",2018
"Increasing temperatures associated with climate change may generate phenological mismatches that disrupt previously synchronous trophic interactions. Most work on mismatch has focused on temporal trends, whereas spatial variation in the degree of trophic synchrony has largely been neglected, even though the degree to which mismatch varies in space has implications for meso-scale population dynamics and evolution. Here we quantify latitudinal trends in phenological mismatch, using phenological data on an oak-caterpillar-bird system from across the UK. Increasing latitude delays phenology of all species, but more so for oak, resulting in a shorter interval between leaf emergence and peak caterpillar biomass at northern locations. Asynchrony found between peak caterpillar biomass and peak nestling demand of blue tits, great tits and pied flycatchers increases in earlier (warm) springs. There is no evidence of spatial variation in the timing of peak nestling demand relative to peak caterpillar biomass for any species. Phenological mismatch alone is thus unlikely to explain spatial variation in population trends. Given projections of continued spring warming, we predict that temperate forest birds will become increasingly mismatched with peak caterpillar timing. Latitudinal invariance in the direction of mismatch may act as a double-edged sword that presents no opportunities for spatial buffering from the effects of mismatch on population size, but generates spatially consistent directional selection on timing, which could facilitate rapid evolutionary change.","MD Burgess, KW Smith, KL Evans, D Leech, JW Pearce-Higgins, CJ Branston, K Briggs, JR Clark, CR du Feu, K Lewthwaite, RG Nager, BC Sheldon, JA Smith, RC Whytock, SG Willis, AB Phillimore",2018-09-03,Nature ecology & evolution,29697227,Tritrophic phenological match-mismatch in space and time.,2018
"The incidence of multiple myeloma is characterized by a steep increase with advancing age. Dramatic improvements in survival have been reported in clinical trials; however, elderly patients are generally underrepresented in these. The aims of this study are to review patterns of incidence and survival in multiple myeloma in the general population. We searched PubMed for population-based studies on trends in incidence and survival published between January 1, 2000 and June 30, 2017 and based on regional or national cancer registries and report the following results of the review. The age-adjusted incidence of multiple myeloma has increased during the second half of the twentieth century in some countries but remained stable in areas with high case ascertainment and access to universal medical care. The crude incidence is increasing globally due to an aging population. Survival rates have improved, and 5-year relative survival rates are now around 50% and over 60% in patients 65-70 years or younger. Preliminary data suggest a 3-fold increase in the prevalence of multiple myeloma. We conclude that the number of multiple myeloma patients is increasing in the general population due to (i) aging populations and (ii) more patients living longer due to modern drugs.","I Turesson, M Bjorkholm, CH Blimark, S Kristinsson, R Velez, O Landgren",2018-09-03,European journal of haematology,29686235,"Rapidly changing myeloma epidemiology in the general population: Increased incidence, older patients, and longer survival.",2018
"Phenological responses to climate change (e.g., earlier leaf-out or egg hatch date) are now well documented and clearly linked to rising temperatures in recent decades. Such shifts in the phenologies of interacting species may lead to shifts in their synchrony, with cascading community and ecosystem consequences. To date, single-system studies have provided no clear picture, either finding synchrony shifts may be extremely prevalent [Mayor SJ, et al. (2017) Sci Rep 7:1902] or relatively uncommon [Iler AM, et al. (2013) Glob Chang Biol 19:2348-2359], suggesting that shifts toward asynchrony may be infrequent. A meta-analytic approach would provide insights into global trends and how they are linked to climate change. We compared phenological shifts among pairwise species interactions (e.g., predator-prey) using published long-term time-series data of phenological events from aquatic and terrestrial ecosystems across four continents since 1951 to determine whether recent climate change has led to overall shifts in synchrony. We show that the relative timing of key life cycle events of interacting species has changed significantly over the past 35 years. Further, by comparing the period before major climate change (pre-1980s) and after, we show that estimated changes in phenology and synchrony are greater in recent decades. However, there has been no consistent trend in the direction of these changes. Our findings show that there have been shifts in the timing of interacting species in recent decades; the next challenges are to improve our ability to predict the direction of change and understand the full consequences for communities and ecosystems.","HM Kharouba, J Ehrlén, A Gelman, K Bolmgren, JM Allen, SE Travers, EM Wolkovich",2018-09-03,Proceedings of the National Academy of Sciences of the United States of America,29676004,Global shifts in the phenological synchrony of species interactions over recent decades.,2018
"Public lands are typically established in recognition of their unique ecological value, yet both ecological and social values of public lands change over time, along with human distribution and land use. These transformations are evident even in developed countries with long histories of public land management, such as the United States. The 20th Century saw dramatic changes in the American population, in distribution and in racial and ethnic diversity, leading to new challenges and new roles for public lands. Our goal with this paper is to review changing demographics and implications for terrestrial protected areas in the U.S. We overview the fundamentals of population change and data, review past trends in population change and housing growth and their impacts on public lands, and then analyze the most recent decade of demographic change (2000-2010) relative to public lands. Discussions of demographic change and public lands commonly focus on the rural West, but we show that the South is also experiencing substantial change in rural areas with public lands, including Hispanic population growth. We identify those places, rural and urban, where demographic change (2000-2010), including diversification and housing growth, coincide with public lands. Understanding the current trends and long-term demographic context for recent changes in populations can help land managers and conservation scientists mitigate the effects of residential development near public lands, serve a more diverse population, and anticipate future population changes.","MH Mockrin, SI Stewart, MS Matonis, KM Johnson, RB Hammer, VC Radeloff",2018-09-03,Journal of environmental management,29666247,Sprawling and diverse: The changing U.S. population and implications for public lands in the 21st Century.,2018
"The boreal biome represents approximately one third of the world's forested area and plays an important role in global biogeochemical and energy cycles. Numerous studies in boreal Alaska have concluded that growth of black and white spruce is declining as a result of temperature-induced drought stress. The combined evidence of declining spruce growth and changes in the fire regime that favor establishment of deciduous tree species has led some investigators to suggest the region may be transitioning from dominance by spruce to dominance by deciduous forests and/or grasslands. Although spruce growth trends have been extensively investigated, few studies have evaluated long-term radial growth trends of the dominant deciduous species (Alaska paper birch and trembling aspen) and their sensitivity to moisture availability. We used a large and spatially extensive sample of tree cores from interior Alaska to compare long-term growth trends among contrasting tree species (white and black spruce vs. birch and aspen). All species showed a growth peak in the mid-1940s, although growth following the peak varied strongly across species. Following an initial decline from the peak, growth of white spruce showed little evidence of a trend, while black spruce and birch growth showed slight growth declines from ~1970 to present. Aspen growth was much more variable than the other species and showed a steep decline from ~1970 to present. Growth of birch, black and white spruce was sensitive to moisture availability throughout most of the tree-ring chronologies, as evidenced by negative correlations with air temperature and positive correlations with precipitation. However, a positive correlation between previous July precipitation and aspen growth disappeared in recent decades, corresponding with a rise in the population of the aspen leaf miner (Phyllocnistis populiella), an herbivorous moth, which may have driven growth to a level not seen since the early 20th century. Our results provide important historical context for recent growth and raise questions regarding competitive interactions among the dominant tree species and exchanges of carbon and energy in the warming climate of interior Alaska.","SMP Cahoon, PF Sullivan, AH Brownlee, RR Pattison, HE Andersen, K Legner, TN Hollingsworth",2018-09-03,Ecology,29571096,Contrasting drivers and trends of coniferous and deciduous tree growth in interior Alaska.,2018
"Unique responses to climate change can occur across intraspecific levels, resulting in individualistic adaptation or movement patterns among populations within a given species. Thus, the need to model potential responses among genetically distinct populations within a species is increasingly recognized. However, predictive models of future distributions are regularly fit at the species level, often because intraspecific variation is unknown or is identified only within limited sample locations. In this study, we considered the role of intraspecific variation to shape the geographic distribution of ponderosa pine (Pinus ponderosa), an ecologically and economically important tree species in North America. Morphological and genetic variation across the distribution of ponderosa pine suggest the need to model intraspecific populations: the two varieties (var. ponderosa and var. scopulorum) and several haplotype groups within each variety have been shown to occupy unique climatic niches, suggesting populations have distinct evolutionary lineages adapted to different environmental conditions. We utilized a recently-available, geographically-widespread dataset of intraspecific variation (haplotypes) for ponderosa pine and a recently-devised lineage distance modeling approach to derive additional, likely intraspecific occurrence locations. We confirmed the relative uniqueness of each haplotype-climate relationship using a niche-overlap analysis, and developed ecological niche models (ENMs) to project the distribution for two varieties and eight haplotypes under future climate forecasts. Future projections of haplotype niche distributions generally revealed greater potential range loss than predicted for the varieties. This difference may reflect intraspecific responses of distinct evolutionary lineages. However, directional trends are generally consistent across intraspecific levels, and include a loss of distributional area and an upward shift in elevation. Our results demonstrate the utility in modeling intraspecific response to changing climate and they inform management and conservation strategies, by identifying haplotypes and geographic areas that may be most at risk, or most secure, under projected climate change.","KC Maguire, DJ Shinneman, KM Potter, VD Hipkins",2018-09-03,Systematic biology,29569245,Intraspecific niche models for ponderosa pine (Pinus ponderosa) suggest potential variability in population-level response to climate change.,2018
