,Abstract,Date_downloaded,Journal,PMID,Title
64526,"Exposure to adverse environmental conditions during early development can shape life-history traits and have lasting effects on physiological function in later life. Although findings within the biomedical literature have shown that environmentally induced elevations in glucocorticoids (GCs) during critical developmental windows can cause persistent carry-over effects (i.e., developmental programming), little is known about whether such effects of GCs can be generalized to wildlife species. Using wood frogs as a study species, we conducted an experiment with a split-plot design to assess the short-term and the long-term physiological consequences of availability of food, hydroperiod length (i.e., pond drying), and the interaction between these two environmental conditions. In outdoor experimental ponds, we reared tadpoles in chronically high or low-food conditions, and tadpoles from each pond experienced either high water until metamorphosis or a reduction in water volume during late developmental stages (after Gosner stage 38). After metamorphosis, animals were housed individually and fed ad libitum for 10 weeks, and growth rate, fat content, and resting and acute stress-induced GC levels were measured. We found that tadpoles experiencing low availability of food and reduced water volume had elevated GC levels, reduced mass, and body condition as they approached metamorphosis. At 10 weeks after metamorphosis, we found that these two conditions also had persistent interactive effects on post-metamorphic allocation of resources to growth, energy storage, and responsiveness of GCs to a novel stressor. Of individuals that experienced reduced water volume, only those that experienced high food as tadpoles were able to catch up to individuals that did not experience reduced water volume in terms of body mass, femur length, and body condition, and they allocated more resources to fat storage. By contrast, 10-week old frogs with low-food and that experienced low water volume and low-food levels as tadpoles allocated fewer resources to mass-specific growth, stored less fat, and exhibited blunted GC response to a novel stressor relative to those that did not experience water-reduction. Our findings demonstrate that environmental conditions experienced prior to and during important developmental transitions shape resource allocation and the ability to physiologically respond to future stressors in juvenile and potentially adult animals. These results suggest that chronic and acute environmental stressors experienced during early life stages can have cumulative and interactive effects that need to be considered when modeling the ecological and evolutionary consequences of environmental change on populations. ",2018-07-20,Integrative and comparative biology,23922274.0,Environmental conditions experienced during the tadpole stage alter post-metamorphic glucocorticoid response to stress in an amphibian.
90060,"Bioaccumulation models predict internal concentrations of hydrophobic chemicals by incorporating key gain/loss processes reflecting the ecology of the exposed species and the characteristics of the chemical. Here, we propose a new methodology that uses ecological data and the principle of mass balance in food webs to estimate bioaccumulation in food webs. To this end, we combine linear inverse models (LIMs) that estimate food web flows based on mass balance with a mechanistic bioaccumulation model (OMEGA). In a case study we show that uncertainty ranges on bioaccumulation predictions were on average estimated a factor of 4 lower by LIM-OMEGA than by an OMEGA application that does not consider mass balance within food webs, most notably for chemicals with log Kow > 5, reflecting an increasing importance of uptake through food ingestion for those chemicals. Ranges of internal concentrations predicted by LIM-OMEGA were smaller in enclosures with fish, as strong predation pressure from the latter on mesozooplankton constrains food web flows and thus bioaccumulation.",2018-07-20,Environmental science & technology,19452926.0,Incorporating ecological data and associated uncertainty in bioaccumulation modeling: methodology development and case study.
23083,"Evolutionary radiations on continents are less well-understood and appreciated than those occurring on islands. The extent of ecological influence on species divergence can be evaluated to determine whether a radiation was ultimately the outcome of divergent natural selection or else arose mainly by nonecological divergence. Here, we used phylogenetic comparative methods to test distinct hypotheses corresponding to adaptive and nonadaptive evolutionary scenarios for the morphological evolution of sigmodontine rodents. Results showed that ecological variables (diet and life-mode) explain little of the shape and size variation of sigmodontine skulls and mandibles. A Brownian model with varying rates for insectivory versus all other diets was the most likely evolutionary model. The insectivorous sigmodontines have a faster rate of morphological evolution than mice feeding on other diets, possibly due to stronger selection for features that aid insectivory. We also demonstrate that rapid early-lineage diversification is not accompanied by high morphological divergence among subclades, contrasting with island results. The geographic size of continents permits spatial segregation to a greater extent than on islands, allowing for allopatric distributions and escape from interspecific competition. We suggest that continental radiations of rodents are likely to produce a pattern of high species diversification coupled with a low degree of phenotypic specialization.",2018-07-20,Evolution; international journal of organic evolution,28025847.0,The ecology of a continental evolutionary radiation: Is the radiation of sigmodontine rodents adaptive?
39646,"Application of nitrogen fertilizer has altered terrestrial ecosystems. Ammonia is nitrified by ammonia and nitrite-oxidizing microorganisms, converting ammonia to highly mobile nitrate, contributing to the loss of nitrogen, soil nutrients and production of detrimental nitrogen oxides. Mitigating these costs is of critical importance to a growing bioenergy industry. To resolve the impact of management on nitrifying populations, amplicon sequencing of markers associated with ammonia and nitrite-oxidizing taxa (ammonia monooxygenase-amoA, nitrite oxidoreductase-nxrB, respectively) was conducted from long-term managed and nearby native soils in Eastern Washington, USA. Native nitrifier population structure was altered profoundly by management. The native ammonia-oxidizing archaeal community (comprised primarily by Nitrososphaera sister subclusters 1.1 and 2) was displaced by populations of Nitrosopumilus, Nitrosotalea and different assemblages of Nitrososphaera (subcluster 1.1, and unassociated lineages of Nitrososphaera). A displacement of ammonia-oxidizing bacterial taxa was associated with management, with native groups of Nitrosospira (cluster 2 related, cluster 3A.2) displaced by Nitrosospira clusters 8B and 3A.1. A shift in nitrite-oxidizing bacteria (NOB) was correlated with management, but distribution patterns could not be linked exclusively to management. Dominant nxrB sequences displayed only distant relationships to other NOB isolates and environmental clones.",2018-07-20,Environmental microbiology,26526405.0,Agricultural land usage transforms nitrifier population ecology.
70461,"During recent years, numerous novel 'insect flaviviruses' have been discovered in natural mosquito populations. In a previous study we described the presence of flavivirus DNA sequences integrated in Aedes albopictus (Asian tiger mosquito) populations from Northern Italy in 2007.",2018-07-20,Parasites & vectors,23043958.0,Detection of a new insect flavivirus and isolation of Aedes flavivirus in Northern Italy.
41269,"Fire behavior of plant mixtures includes a complex set of processes for which the interactive contributions of its drivers, such as plant identity and moisture, have not yet been unraveled fully. Plant flammability parameters of species mixtures can show substantial deviations of fire properties from those expected based on the component species when burnt alone; that is, there are nonadditive mixture effects. Here, we investigated how fuel moisture content affects nonadditive effects in fire behavior. We hypothesized that both the magnitude and variance of nonadditivity in flammability parameters are greater in moist than in dry fuel beds. We conducted a series of experimental burns in monocultures and 2-species mixtures with two ericaceous dwarf shrubs and two bryophyte species from temperate fire-prone heathlands. For a set of fire behavior parameters, we found that magnitude and variability of nonadditive effects are, on average, respectively 5.8 and 1.8 times larger in moist (30% MC) species mixtures compared to dry (10% MC) mixed fuel beds. In general, the moist mixtures caused negative nonadditive effects, but due to the larger variability these mixtures occasionally caused large positive nonadditive effects, while this did not occur in dry mixtures. Thus, at moister conditions, mixtures occasionally pass the moisture threshold for ignition and fire spread, which the monospecific fuel beds are unable to pass. We also show that the magnitude of nonadditivity is highly species dependent. Thus, contrary to common belief, the strong nonadditive effects in mixtures can cause higher fire occurrence at moister conditions. This new integration of surface fuel moisture and species interactions will help us to better understand fire behavior in the complexity of natural ecosystems. ",2018-07-20,Ecology and evolution,26380709.0,Fuel moisture content enhances nonadditive effects of plant mixtures on flammability and fire behavior.
26701,"A comprehensive influenza virus monitoring study of wild birds was carried out at important flyway resting places and wintering sites in Kazakhstan over eight years. More than 3200 birds belonging to 155 species were sampled. Nearly three-fourths of the birds belonged to the orders Anseriformes and Charadriiformes. In total, 118 hemagglutinating agents were isolated, and 95 of them were identified as influenza A viruses. The influenza viruses comprised eight different subtypes with a high prevalence of H13 and H3 viruses and also included low-pathogenic H5 viruses. The vast majority of the H13 viruses were isolated from members of the family Laridae, whereas the H3 viruses mostly originated from members of the family Anatidae, both in concordance with other monitoring studies. All virus isolates were recovered from cloacal swabs or fecal samples only. The influenza viruses were identified mainly in wetlands north of the Caspian Sea. These findings should be integrated in the design of further wild-bird-monitoring activities.",2018-07-20,Archives of virology,27695951.0,Monitoring of influenza A viruses in wild bird populations in Kazakhstan in 2002-2009.
93432,"Marine biology and biological oceanography are two disciplinary subfields that have long struggled with their definitions. Should marine biology simply be considered a part of biology that takes place in the marine environment or is it a distinct entity, with conceptual problems and methodological approaches all its own? Similarly, biological oceanography could be seen as a necessary adjunct to physical and chemical oceanography or it could be defined more as an extension of biology into the marine realm. In the United States, these issues were directly addressed from the mid 1950s through the mid 1960s in a series of events that shed light on how marine biologists came to a working definition of their field that provided a broad methodological tent for practitioners and, at the same time, allied the field to oceanography during a period in which exploration of uncharted areas drew considerable funding from the post-WWII federal agencies charged with keeping American science at the forefront.",2018-07-20,History and philosophy of the life sciences,18822664.0,What is marine biology?: Defining a science in the United States in the mid 20th century.
68271,"Polymorphisms in noncoding regions of the vasopressin 1a receptor gene (Avpr1a) are associated with a variety of socioemotional characteristics in humans, chimpanzees, and voles, and may impact behavior through a site-specific variation in gene expression. The socially monogamous prairie vole offers a unique opportunity to study such neurobiological control of individual differences in complex behavior. Vasopressin 1a receptor (V1aR) signaling is necessary for the formation of the pair bond in males, and prairie voles exhibit greater V1aR binding in the reward-processing ventral pallidum than do asocial voles of the same genus. Diversity in social behavior within prairie voles has been correlated to natural variation in neuropeptide receptor expression in specific brain regions. Here we use RNA interference to examine the causal relationship between intraspecific variation in V1aR and behavioral outcomes, by approximating the degree of naturalistic variation in V1aR expression. Juvenile male prairie voles were injected with viral vectors expressing shRNA sequences targeting Avpr1a mRNA into the ventral pallidum. Down-regulation of pallidal V1aR density resulted in a significant impairment in the preference for a mated female partner and a reduction in anxiety-like behavior in adulthood. No effect on alloparenting was detected. These data demonstrate that within-species naturalistic-like variation in V1aR expression has a profound effect on individual differences in social attachment and emotionality. RNA interference may prove to be a useful technique to unite the fields of behavioral ecology and neurogenetics to perform ethologically relevant studies of the control of individual variation and offer insight into the evolutionary mechanisms leading to behavioral diversity.",2018-07-20,Hormones and behavior,23370363.0,Variation in vasopressin receptor (Avpr1a) expression creates diversity in behaviors related to monogamy in prairie voles.
63029,"Sacbrood virus (SBV) is the causal agent of a disease of honey bee larvae, resulting in failure to pupate and causing death. The typical clinical symptom of SBV is an accumulation of SBV-rich fluid in swollen sub-cuticular pouches, forming the characteristic fluid-filled sac that gives its name to the disease. Outbreaks of the disease have been reported in different countries, affecting the development of the brood and causing losses in honey bee colonies. Today, few data are available on the SBV viral load in the case of overt disease in larvae, or for the behavioural changes of SBV-infected adult bees. A two-step real-time RT-PCR assay, based on TaqMan(®) technology using a fluorescent probe (FAM-TAMRA) was therefore developed to quantify Sacbrood virus in larvae, pupae and adult bees from symptomatic apiaries. This assay was first validated according to the recent XP-U47-600 standard issued by the French Standards Institute, where the reliability and the repeatability of the results and the performance of the assay were confirmed. The performance of the qPCR assay was validated over the 6 log range of the standard curve (i.e. from 10(2) to 10(8) copies per well) with a measurement uncertainty evaluated at 0.11log10. The detection and quantitation limits were established respectively at 50 copies and 100 copies of SBV genome, for a template volume of 5μl of cDNA. The RT-qPCR assay was applied during a French SBV outbreak in 2012 where larvae with typical SBV signs were collected, along with individuals without clinical signs. The SBV quantitation revealed that, in symptomatic larvae, the virus load was significantly higher than in samples without clinical signs. Combining quantitation with clinical data, a threshold of SBV viral load related to an overt disease was proposed (10(10) SBV genome copies per individual). ",2018-07-20,Journal of virological methods,24121133.0,Development and validation of a real-time two-step RT-qPCR TaqMan(®) assay for quantitation of Sacbrood virus (SBV) and its application to a field survey of symptomatic honey bee colonies.
7252,"Identifying and understanding the mechanisms that shape barriers to dispersal and resulting biogeographic boundaries has been a longstanding, yet challenging, goal in ecology, evolution and biogeography. Characterized by stable, adjacent ranges, without any intervening physical barriers, and limited, if any, range overlap in a narrow contact zone, parapatric species are an interesting system for studying biogeographic boundaries. The geographic ranges of two parapatric frog species, Feirana quadranus and F. taihangnica, meet in a contact zone within the Qinling Mountains, an important watershed for East Asia. To identify possible ecological determinants of the parapatric range boundaries for two closely related frog species, we quantified the extent of their niche differentiation in both geographical and environmental space combining ecological niche models with an ordination technique. We tested two alternative null hypotheses (sharp environmental gradients versus a ribbon of unsuitable habitat dividing two highly suitable regions) for biogeographic boundaries, against the null expectation that environmental variation across a given boundary is no greater than expected by chance.",2018-07-20,BMC ecology,29391060.0,Inferring ecological explanations for biogeographic boundaries of parapatric Asian mountain frogs.
95314,"Understanding the rates and causes of mortality in wild chimpanzee populations has important implications for a variety of fields, including wildlife conservation and human evolution. Because chimpanzees are long-lived, accurate mortality data requires very long-term studies. Here, we analyze 47 years of data on the Kasekela community in Gombe National Park. Community size fluctuated between 38 and 60, containing 60 individuals in 2006. From records on 220 chimpanzees and 130 deaths, we found that the most important cause of mortality in the Kasekela community was illness (58% of deaths with known cause), followed by intraspecific aggression (20% of deaths with known cause). Previous studies at other sites also found that illness was the primary cause of mortality and that some epidemic disease could be traced to humans. As at other study sites, most deaths due to illness occurred during epidemics, and the most common category of disease was respiratory. Intraspecific lethal aggression occurred within the community, including the killing of infants by both males and females, and among adult males during the course of dominance-related aggression. Aggression between communities resulted in the deaths of at least five adult males and two adult females in the Kasekela and Kahama communities. The frequency of intercommunity violence appears to vary considerably among sites and over time. Intercommunity lethal aggression involving the Kasekela community was observed most frequently during two periods. Other less common causes of death included injury, loss of mother, maternal disability, and poaching.",2018-07-20,American journal of primatology,18506732.0,"Causes of death in the Kasekela chimpanzees of Gombe National Park, Tanzania."
69354,"Recent analyses suggest that a few major shifts in diversification rate may be enough to explain most of the disparity in diversity among vertebrate lineages. At least one significant increase in diversification rate appears to have occurred within the birds; however, several nested lineages within birds have been identified as hyperdiverse by different studies. A clade containing the finches and relatives (within the avian order Passeriformes), including a large radiation endemic to the New World that comprises ~8% of all bird species, may be the true driver of this rate increase. Understanding the patterns and processes of diversification of this diverse lineage may go a long way toward explaining the apparently rapid diversification rates of both passerines and of birds as a whole. We present the first multilocus phylogenetic analyses of this endemic New World radiation of finch relatives that include sampling of all recognized genera, a relaxed molecular clock analysis of its divergence history, and an analysis of its broad-scale diversification patterns. These analyses recovered 5 major lineages traditionally recognized as avian families, but identified an additional 10 relatively ancient lineages worthy of recognition at the family level. Time-calibrated diversification analyses suggested that at least 3 of the 15 family-level lineages were significantly species poor given the entire group's background diversification rate, whereas at least one-the tanagers of family Thraupidae-appeared significantly more diverse. Lack of an age-diversity relationship within this clade suggests that, due to rapid initial speciation, it may have experienced density-dependent ecological limits on its overall diversity.",2018-07-20,Systematic biology,23229136.0,Going to extremes: contrasting rates of diversification in a recent radiation of new world passerine birds.
114562,"The bacterial community composition of a linuron-degrading enrichment culture and the role of the individual strains in linuron degradation have been determined by a combination of methods, such as denaturing gradient gel electrophoresis of the total 16S rRNA gene pool, isolation and identification of strains, and biodegradation assays. Three strains, Variovorax sp. strain WDL1, Delftia acidovorans WDL34, and Pseudomonas sp. strain WDL5, were isolated directly from the linuron-degrading culture. In addition, subculture of this enrichment culture on potential intermediates in the degradation pathway of linuron (i.e., N,O-dimethylhydroxylamine and 3-chloroaniline) resulted in the isolation of, respectively, Hyphomicrobium sulfonivorans WDL6 and Comamonas testosteroni WDL7. Of these five strains, only Variovorax sp. strain WDL1 was able to use linuron as the sole source of C, N, and energy. WDL1 first converted linuron to 3,4-dichloroaniline (3,4-DCA), which transiently accumulated in the medium but was subsequently degraded. To the best of our knowledge, this is the first report of a strain that degrades linuron further than the aromatic intermediates. Interestingly, the rate of linuron degradation by strain WDL1 was lower than that for the consortium, but was clearly increased when WDL1 was coinoculated with each of the other four strains. D. acidovorans WDL34 and C. testosteroni WDL7 were found to be responsible for degradation of the intermediate 3,4-DCA, and H. sulfonivorans WDL6 was the only strain able to degrade N,O-dimethylhydroxylamine. The role of Pseudomonas sp. strain WDL5 needs to be further elucidated. The degradation of linuron can thus be performed by a single isolate, Variovorax sp. strain WDL1, but is stimulated by a synergistic interaction with the other strains isolated from the same linuron-degrading culture.",2018-07-20,Applied and environmental microbiology,12620840.0,Synergistic degradation of linuron by a bacterial consortium and isolation of a single linuron-degrading variovorax strain.
53824,"A detailed spatial and temporal assessment of urban NH3 levels and potential emission sources was made with passive samplers in six major Spanish cities (Barcelona, Madrid, A Coruña, Huelva, Santa Cruz de Tenerife and Valencia). Measurements were conducted during two different periods (winter-autumn and spring-summer) in each city. Barcelona showed the clearest spatial pattern, with the highest concentrations in the old city centre, an area characterised by a high population density and a dense urban architecture. The variability in NH3 concentrations did not follow a common seasonal pattern across the different cities. The relationship of urban NH3 with SO2 and NOX allowed concluding on the causes responsible for the variations in NH3 levels between measurement periods observed in Barcelona, Huelva and Madrid. However, the factors governing the variations in A Coruña, Valencia and Santa Cruz de Tenerife are still not fully understood. This study identified a broad variability in NH3 concentrations at the city-scale, and it confirms that NH3 sources in Spanish urban environments are vehicular traffic, biological sources (e.g. garbage containers), wastewater treatment plants, solid waste treatment plants and industry. The importance of NH3 monitoring in urban environments relies on its role as a precursor of secondary inorganic species and therefore PMX. Further research should be addressed in order to establish criteria to develop and implement mitigation strategies for cities, and to include urban NH3 sources in the emission inventories. ",2018-07-20,Chemosphere,25194477.0,Urban NH3 levels and sources in six major Spanish cities.
74053,"Few species worldwide have attracted as much attention in relation to conservation and sustainable management as Pacific salmon. Most populations have suffered significant reductions, many have disappeared, and even entire evolutionary significant units (ESUs) are believed to have been lost. Until now, no 'smoking gun' in terms of direct genetic evidence of the loss of a salmon ESU has been produced. In this issue of Molecular Ecology, Iwamoto et al. (2012) use microsatellite analysis of historical scale samples of Columbia River sockeye salmon (Oncorhynchus nerka) from 1924 (Fig. 1) to ask the pertinent question: Do the historical samples contain salmon from extirpated populations or ESUs? They identified four genetic groups in the historical samples of which two were almost genetically identical to contemporary ESUs in the river, one showed genetic relationship with a third ESU, but one group was not related to any of the contemporary populations. In association with ecological data, the genetic results suggest that an early migrating Columbia River headwater sockeye salmon ESU has been extirpated. The study has significant importance for conservation and reestablishment of sockeye populations in the Columbia River, but also underpins the general significance of shifting baselines in conservation biology, and how to assess loss of genetic biodiversity. The results clearly illustrate the huge and versatile potential of using historical DNA in population and conservation genetics. Because of the extraordinarily plentiful historical samples and rapid advances in fish genomics, fishes are likely to spearhead future studies of temporal ecological and population genomics in non-model organisms. [Figure: see text].",2018-07-20,Molecular ecology,22443424.0,The memory remains: application of historical DNA for scaling biodiversity loss.
