Journal,Title,Abstract,Date Added,Date Trained,PMID,Questionable_inclusion,Reason
Biotropica,"Resource partitioning in sympatric Cynopterus bats in lowland tropical rain forest, Thailand","Diet and habitat use of the closely related and size-overlapping sympatric Cynopterus brachyotis and C. sphinx were established in lowland dry evergreen forest, Thailand, betweenMarch 1998 andMarch 2000. Feces fromnetted bats were analyzed, and the recapture rate determined. Although both species share a set of food plants, and fruits from early successional forest contribute about half of their diet, C. brachyotis, the smaller of the two species, ate a significantly greater proportion of fruits from early successional forest than C. sphinx. The latter ate a significantly greater proportion of fruit species in larger size classes.More C. brachyotis were captured in early successional forest in almost every month, while C. sphinx is more common in old-growth forest.However, the capture rate of C. sphinx increased in early successional forest in the mid-dry season when its preferred fruits become available. The recapture rate of C. brachyotis in early successional forest was significantly higher than that of C. sphinx, and the reverse situation was observed in old-growth forest.Male C. sphinx had a significantly higher recapture rate in early successional forest than females. Fruit size and habitat use are the major determinants of resource partitioning between these size-overlapping congeners.",18/07/2017 11:12,,,,
Brazilian journal of biology = Revista brasleira de biologia,"Small mammal populations of an agroecosystem in the Atlantic Forest domain, southeastern Brazil.","This study reports 2 years of the population dynamics and reproduction of a small mammal community using the removal method. The study was conducted in a rural area of the Atlantic Forest, in Sumidouro, Rio de Janeiro State, Brazil. The population sizes, age structure and reproduction were studied for the four most common species in the study area. The overall diversity was 1.67 and ranged between 0.8 to 1.67. The species richness was 13 considering the whole study. The most abundant species were the rodents Nectomys squamipes (n = 133), Akodon cursor (n = 74), Oligoryzomys nigripes (n = 25) and the marsupials Didelphis aurita (n = 58) and Philander frenatus (n = 50). Seven other rodents were captured once: Necromys lasiurus, Akodon montensis, Sooretamys angouya, Oecomys catherine, Oxymycterus judex, Euryzygomatomys spinosus and Trinomys iheringi. There were higher peaks for diversity and species richness during the winter (dry) months, probably due to higher food availability. The marsupials had a seasonal reproduction with highest population sizes at the end of the rainy seasons. Nectomys squamipes reproduced mostly during rainy periods. Akodon cursor reproduced predominantly in the winter with the highest population peaks occurring during this season. The analysis of the population dynamics of the rodent species indicated that no species behaved as an agricultural pest, probably due to the heterogeneous landscape of high rotativity of vegetable cultivation. Rodent populations were more susceptible to the removal procedure than marsupial ones.",18/07/2017 11:12,,,,
Bat Research News,The UK's National Bat Monitoring Programme (NBMP),"The UK Bat Monitoring Programme began in 1997 and is run by the Bat Conservation Trust with the Joint Nature Conservancy Council the main governmental funder. Summer colony, field and hibernation surveys form the main monitoring methods. Heterodyne/frequency division detectors were introduced onto field surveys in 2002 allowing a more objective assessment of species identification. Power statistics demonstrate a 90\\\\% confidence in meeting RUCN 'Alert' targets for population declines based on present annual data collection levels for most species/surveys. Population indices are constructed for each species/survey. The programme delivers c. 11,000 hours of volunteer effort throughout the UK annually and volunteer management is identified as critical to the success of the programme. Volunteer turnover requires constant recruitment to maintain present survey levels. In 2002 the pilot 'Sunrise Survey', requiring no equipment/previous bat experience for participation, opened the programme to novice surveyors. Workshops are run throughout the UK to increase existing surveyor effectiveness, especially on detector-based field surveys.",18/07/2017 11:12,,,,
Journal of Mammalogy,Sea Otter Population Declines in the Aleutian Archipelago,"Sea otter (Enhydra lutris) populations were exploited to near extinction and began to re- cover after the cessation of commercial hunting in 1911. Remnant colonies of sea otters in the Aleutian archipelago were among the first to recover; they continued to increase through the 1980s but declined abruptly during the 1990s. We conducted an aerial survey of the Aleutian archipelago in 2000 and compared results with similar surveys conducted in 1965 and 1992. The number of sea otters counted decreased by 75\\\\% between 1965 and 2000; 88\\\\% for islands at equilibrial density in 1965. The population decline likely began in the mid-1980s and declined at a rate of 17.5\\\\%/year in the 1990s. The minimal population estimate was 8,742 sea otters in 2000. The population declined to a uniformly low density in the archipelago, suggesting a common and geographically widespread cause. These data are in general agreement with the hypothesis of increased predation on sea otters. These data chronicle one of the most widespread and precipitous population declines for a mammalian carnivore in recorded history.",18/07/2017 11:12,,,,
Ecological Applications,Photographic mark \\u2013 recapture analysis of local dynamics within an open population of dolphins,"Identifying demographic changes is important for understanding population dynamics. However, this requires long-term studies of definable populations of distinct individuals, which can be particularly challenging when studying mobile cetaceans in the marine environment. We collected photo-identification data from 19 years (1992\\u20132010) to assess the dynamics of a population of bottlenose dolphins (Tursiops truncatus) restricted to the shallow (,7 m) waters of Little Bahama Bank, northern Bahamas. This population was known to range beyond our study area, so we adopted a Bayesian mixture modeling approach to mark\\u2013recapture to identify clusters of individuals that used the area to different extents, and we specifically estimated trends in survival, recruitment, and abundance of a \\u2018\\u2018resident\\u2019\\u2019 population with high probabilities of identification. There was a high probability ( p 1\\u20444 0.97 ) of a long-term decrease in the size of this resident population from a maximum of 47 dolphins (95\\\\% highest posterior density intervals, HPDI 1\\u20444 29\\u201361) in 1996 to a minimum of just 24 dolphins (95\\\\% HPDI 1\\u20444 14\\u201337) in 2009, a decline of 49\\\\% (95\\\\% HPDI 1\\u204445\\\\% to 75\\\\%). This was driven by low per capita recruitment (average ;0.02) that could not compensate for relatively low apparent survival rates (average ;0.94). Notably, there was a significant increase in apparent mortality (;5 apparent mortalities vs. ;2 on average) in 1999 when two intense hurricanes passed over the study area, with a high probability ( p 1\\u20444 0.83) of a drop below the average survival probability (;0.91 in 1999; ;0.94, on average). As such, our mark\\u2013 recapture approach enabled us to make useful inference about local dynamics within an open population of bottlenose dolphins; this should be applicable to other studies challenged by sampling highly mobile individuals with heterogeneous space use.",18/07/2017 11:12,,,,
Journal for Nature Conservation,"Effectiveness of European Atlanto-Mediterranean MPAs: Do they accomplish the expected effects on populations, communities and ecosystems?","The success of MPAs in conserving fishing resources and protecting marine biodiversity relies strongly on how well they meet their planned (or implicit) management goals. From a review of empirical studies aiming at assessing the ecological effects of Mediterranean and Macaronesian MPAs, we conclude that establishing an MPA is successful for (i) increasing the abundance/biomass, (ii) increasing the proportion of larger/older individuals, and (iii) enhancing the fecundity of commercially harvested populations; also, MPAs demonstrated to be effective for (iv) augmenting local fishery yields through biomass exportation from the protected area, and (v) inducing shifts in fish assemblage structure by increasing the dominance of large predator species. However, the attraction for tourism and diving due to ecological benefits of protection can cause damages likely to reverse some of the MPA effects. Other expected effects are more subject to uncertainty, and hence need more research, such as (vi) causing density-dependent changes in life history traits and (vii) protecting the recruitment of commercially important species, (viii) protecting marine biodiversity (including genetic diversity), (ix) causing ecosystem-wide effects such as trophic cascades, and (x) increasing community and ecosystem stability, thus promoting resilience and faster recovery from disturbance. Meta-analysis of data arising from these case studies are used to establish the overall effect of MPAs, and its relationship to MPA features, such as size of no-take area or time since protection. Based on the review and the meta-analyses, specific recommendations are provided for MPA management, regarding the establishment of goals and objectives, site selection, MPA design and zoning, planning, and monitoring. Finally, a series of recommendations for MPA research are offered to drive future research in MPA issues in the Mediterranean and Macaronesia.",18/07/2017 11:12,,,,
Journal of Applied Ecology,Sea otter population dynamics and the Exxon Valdez oil spill: Disentangling the confounding effects,"1. Oil that spilled after the grounding of the Exxon Valdez in 1989 killed large numbers of sea otters in western Prince William Sound, Alaska, USA. However, our boat-based counts of sea otters during 1990\\u201396 at oiled sites were as high or higher than boat-based counts in the same area in the early 1980s. 2. Another study reported a significant decline in sea otter numbers after the spill, but our reanalysis of that data produced results very similar to ours. Counts of otters were higher than pre-spill counts in the oiled area; the only detectable decline was in the northern part of the sound, outside the area of oiling. 3. We suggest that otter numbers in the western sound may have been increasing during the late 1980s, masking the loss due to the spill. Direct evidence for such an increase is lacking because no counts were conducted during this period. However, for several years after the spill pup production was higher than normal, which, if characteristic of the period immediately pre-spill, could have spurred a population increase. 4. Heightened pup production may have been caused by increased food supplies: after the spill, otters obtained more and larger clams per dive and spent less time feeding per day than in the early 1980s. 5. We postulate that in the early 1980s clams were still recovering from the uplift caused by the 1964 earthquake, which resulted in massive clam mortality and habitat change in the western sound. Lingering effects of previous catastrophic events, like the earthquake and even 19th-century fur harvests, have hampered attempts to assess the impacts of the oil spill on sea otter population dynamics. The effects of uncontrolled and unreplicated environmental incidents, even major disasters, may be difficult to assess because of con- founding factors.",18/07/2017 11:12,,,,
Wildlife Biology in Practice,"Current Status Of the Iberian Lynx (Lynx pardinus) in Eastern Sierra Morena, Southern Spain","The distribution range of the largest Iberian lynx (Lynx pardinus) population of Eastern Sierra Morena was assessed between 1999 and 2006. The past distribution was evaluated using field interviews, the present range was determined by sign searching (scats) in 5x5 km and 1x1 km UTM quadrats, and the annual population size was estimated by camera-trapping. Our results indicate that lynx distribution has been limited to granite areas, and since the middle of the 20th century lynx occupation was detected in only 17 5x5 km UTM quadrats. An important decline in lynx numbers has been registered since the early 1990s, resulting in only 11 UTM 5x5 km occupied quadrats between 2001 and 2002, with two subpopulations separated by a 5 km distance occupying 3 and 8 quadrats each. Considering 1x1 km UTM quadrats, the distribution range increased from 125 km2 in 2002 to 203 km2 in 2006. Also, between 2002 and 2006 the number of female territories increased from 19 to 31. The population size was assessed since 2004, increasing from 84 detected individuals (32 adults) to 135 individuals in 2006 (43 adults). The positive dynamics observed during the study was partially related to the development of a major conservation program. The lynx distribution was correlated with rabbit distribution and abundance, therefore conservation measures must be based on rabbit management in order to recover habitat carrying capacity since the most important Iberian lynx population is still too small.",18/07/2017 11:12,,,,
Miscellania Zoologica,"Density estimation, family group size and recruitment in a badger population near Rog?\\u0192\\261w (Central Poland)","During a 16-year period the density of badgers in Central Poland increased from 1.6 individuals per km2 of forest area in 1979 to 2.6 in 1995. This increase was associated with formation of new families. The mean number of young per breeding female was estimated at three, and the annual recruitment of young at 0.68 per adult animal. The average family size was approximately 3.5 (young and adults) or 2.1 (only adults) individuals.",18/07/2017 11:12,,,,
Biology letters,Conservation and conflict between endangered desert fishes.,"Conservation of naturally sympatric endangered species requires unique considerations. While impacts of invasive species garner much attention, interactions between endangered species must also be managed. The endangered Leon Springs pupfish, Cyprinodon bovinus, has suffered a population decline due to decreasing natural habitat. As breeding habitat is lost, C. bovinus is also adversely affected by the sympatric, endangered Pecos gambusia, Gambusia nobilis. Here, we document interactions between these species, finding significantly more G. nobilis accumulated at pupfish spawning events than randomly distributed on breeding grounds in the absence of spawning. As a known egg predator, our results suggest that G. nobilis presence at spawnings may further decrease pupfish numbers while also altering the evolutionary dynamics of C. bovinus breeding tactics. Habitat restoration may decrease Gambusia concentrations or influence C. bovinus breeding behaviour and increase the number of territorial males resulting in viable population sizes for both critically endangered fishes.",18/07/2017 11:12,,,,
Trends in Ecology and Evolution,Populations of small mammals cycle - unless they don't,population dynamics,18/07/2017 11:12,,,,
Journal of Animal Ecology,Predation on competing rodent species: a simple explanation of complex patterns,"1. We extend a predator-prey model previously parameterized for voles and weasels to two prey species, a 'Microrus' (field vole) type which is competitively superior to but more vulnerable to predation than a 'Clethrionomys' (bank vole) type. 2. The model explains four patterns in the dynamics of multispecies rodent assemblages in Fennoscandia: a predictable shift in the relative abundances of different prey species during one multiannual population cycle; long-term (supracyclic) variation in relative prey abundances; an association between the amplitude of population oscillations and the type of the numerically dominant prey species; and increasing rodent species number with increasing latitude, 3. The model results illustrate the complex and often unexpected behaviour of strongly connected multispecies assemblages, of which the Fennoscandian rodent-predator community is a prime example. 4. Since the mid 1980s, rodent oscillations in many, though not all, parts of northern Fennoscandia have become distinctly less regular (non-cyclic), a change which is reflected in the entire animal community linked to the keystone species. the arvicoline rodents, We demonstrate that such long-term changes in the amplitude and regularity of rodent oscillations are not unexpected in multispecies prey-predator assemblages.",18/07/2017 11:12,,,,
The American naturalist,"Mating behavior, population growth, and the operational sex ratio: a periodic two-sex model approach.","We present a new approach to modeling two-sex populations, using periodic, nonlinear two-sex matrix models. The models project the population growth rate, the population structure, and any ratio of interest (e.g., operational sex ratio). The periodic formulation permits inclusion of highly seasonal behavioral events. A periodic product of the seasonal matrices describes annual population dynamics. The model is nonlinear because mating probability depends on the structure of the population. To study how the vital rates influence population growth rate, population structure, and operational sex ratio, we used sensitivity analysis of frequency-dependent nonlinear models. In nonlinear two-sex models the vital rates affect growth rate directly and also indirectly through effects on the population structure. The indirect effects can sometimes overwhelm the direct effects and are revealed only by nonlinear analysis. We find that the sensitivity of the population growth rate to female survival is negative for the emperor penguin, a species with highly seasonal breeding behavior. This result could not occur in linear models because changes in population structure have no effect on per capita reproduction. Our approach is applicable to ecological and evolutionary studies of any species in which males and females interact in a seasonal environment.",18/07/2017 11:12,,,,
