LR_A_coefficients,LR_A_features
0.02025402037242622,about cyc
-0.015513121669685971,about day
-0.015538074384063138,about did
0.0170716021503034,about ecosystem
0.011995352400112132,about eight
0.022632903701020102,about elev
-0.009902786253946406,about emerg
0.0057788601619487906,about eq
0.011427894104660885,about fishery
0.01861954884186592,about fiv
-0.008722155121078271,about fold
-0.015106650589046639,about formid
0.01142309880294107,about four
-0.007846937218713679,about gen
0.00838340103291739,about grey
0.022550923169324593,about ha
0.018138342472823598,about half
-0.05169072540890904,about how
-0.01069008952328203,about hum
0.05129322542404153,about in
0.033685355738269175,about individ
-0.017640848883099736,about inform
0.011336034941625722,about kg
0.030663371646492313,about km
0.010866484586204723,about less
0.011744745642832014,about loc
0.01696371843006566,about long
-0.011888275074218017,about low
-0.015926613223079887,about mech
-0.027404242974385772,about mg
-0.023728860803462832,about mil
-0.024423910885043,about molecul
0.00657553063632287,about moos
0.013375885486182609,about most
-0.015505330761671338,about multipl
-0.02716769036447856,about nat
-0.009906888796565112,about ng
0.012909406546444353,about nin
0.01419348975327078,about numb
0.09049580738838023,about of
-0.018770452957009052,about on
0.011286152512583676,about or
0.0027510576778988403,about pair
0.030549337356732847,about per
-0.035473649939271906,about plant
0.014670562730994995,about pop
0.00838340103291739,about pup
-0.024570831151218858,about reduc
0.015554598215310089,about remain
0.023332672555927542,about round
0.026216863782789326,about se
-0.013473664771816763,about select
0.022254775090373626,about snail
-0.010927388407811697,about som
0.013745930686931765,about southern
0.016383208946119887,about specy
-0.01429660725982775,about spend
0.013146996294391018,about stag
-0.00664885217710776,about ten
-0.04371945589824158,about the
0.013640811641293079,about their
0.0241247936543447,about thi
0.014473063559347401,about third
0.01867018828230047,about three
0.027037904931160768,about to
0.017992982823453026,about ton
0.03258581290039855,about two
-0.012875827551476636,about uncult
0.021172498927388945,about wer
-0.01142648188212133,about wheth
0.011995352400112132,about year
-0.012780188043759563,about μg
-0.06654969836975698,abov
-0.02734919084114673,abov and
-0.01299138604593625,abov blend
0.013390397659859003,abov cm
-0.014245951863024412,abov due
-0.023427881445064063,abov ground
0.014876625897807251,abov hav
-0.009974939646241665,abov ment
0.01804067372634471,abov of
-0.009339526999314922,abov or
-0.012942163724410205,abov period
-0.014503541010013436,abov result
-0.00616925811011303,abov sea
0.011353518831586633,abov shast
-0.010256895224010153,abov the
-0.00869437895805157,abov two
-0.09910090800207673,aboveground
-0.0609851730503449,aboveground biomass
-0.015386564370968069,aboveground light
-0.012913107436701028,aboveground morpholog
-0.020328391016781633,aboveground stand
-0.008443207611394494,abrog
-0.008443207611394494,abrog by
0.07137049009453161,abrolho
0.011718310173712658,abrolho archipelago
0.035154930521137974,abrolho bank
0.017020802652750258,abrolho island
0.011718310173712658,abrolho sev
0.02025402037242622,abrothrix
0.02025402037242622,abrothrix longipil
0.028108128998286044,abrupt
0.011439284496691357,abrupt chang
-0.03302549066287733,abrupt clim
-0.012922492469249765,abrupt crypt
0.03601273377789985,abrupt declin
0.016106958009573256,abrupt disappear
0.010849254163944482,abrupt dur
0.01236274984799644,abrupt pop
0.011378046769568955,abrupt simil
-0.018770452957009052,abrupt transit
-0.06459163404956655,abs
0.03738049198267596,abs at
-0.01155036417932496,abs between
-0.010978002079640338,abs brief
0.023332672555927542,abs conserv
0.03305701533209802,abs dat
0.01652850766604901,abs despit
-0.013985669870157992,abs from
0.016717319388852576,abs in
-0.10988618655176771,abs of
-0.024746554060912227,abs or
0.011427894104660885,abs pri
0.018030387777440413,abs the
-0.02137870170630034,abs thes
-0.02080939269385921,abs veget
-0.009988694563147644,absc
-0.009988694563147644,absc acid
-0.12255739449536862,absolv
-0.0214295237324808,absolv abund
-0.011820974934113295,absolv and
-0.015616772902736916,absolv as
-0.028072589217023942,absolv config
0.01493543722211723,absolv dens
-0.013958922063758764,absolv diverg
0.02417773578596874,absolv fecund
-0.020865595838623584,absolv necess
-0.015646266404374703,absolv no
-0.015118689701218858,absolv or
-0.04535606910365657,absolv photorefract
-0.01494997526377218,absolv temp
-0.04685949905837204,absorb
-0.014223186528946758,absorb any
-0.011917978047763466,absorb chang
-0.01726469317985468,absorb rat
-0.010256895224010153,absorb wat
0.02680466113246351,abstract
0.016035030675611506,abstract habit
0.01236274984799644,abstract thi
0.029759479526397146,abun
0.029759479526397146,abun dant
1.9122966042963112,abund
0.015792125269792553,abund accord
0.03283446740527376,abund across
0.009381647601350396,abund ad
0.009566508805895777,abund adult
0.010608305597670184,abund aft
0.02729678839121383,abund ag
-0.01370443616978768,abund alkal
0.03520174979636192,abund along
-0.012100157044442842,abund although
0.024153515035809692,abund among
0.027962333282442218,abund an
0.430085081220039,abund and
-0.013188030955604486,abund antibiot
0.047914426788576686,abund ar
0.04900844390781815,abund as
0.013262868834728573,abund assum
0.052177582594708734,abund at
0.011577491424274212,abund av
0.016033022129194552,abund bef
0.06016148234637983,abund between
0.06575179471109095,abund biomass
0.015587266964619862,abund blu
0.031920540570665366,abund but
0.0007638504936937744,abund by
0.02150427849699223,abund caus
-0.013871590546793357,abund cel
-0.008672999946088871,abund chalcid
-0.02178151037891074,abund cyprinid
-0.0017527076321105024,abund dat
0.020140342260613443,abund declin
0.03144448649326246,abund dens
0.007228790999346002,abund despit
0.013262868834728573,abund detect
0.012669458808707427,abund determin
0.013262868834728573,abund did
-0.004329603058491236,abund distribut
0.00823053457997089,abund dolphin
0.023747644882030784,abund dur
-0.007684693649151401,abund eith
0.0156472575226266,abund enough
0.12597325437847412,abund estim
0.014668674738630167,abund evid
-0.010620037389192505,abund express
0.009514870951221544,abund fecund
0.019107299188022557,abund fish
-0.02080939269385921,abund fishpond
0.07236335700816048,abund for
-0.003132745815731012,abund from
0.018711911530870942,abund fut
0.007487712876213204,abund giv
0.017527462373434347,abund grassland
0.01817046628259598,abund group
-0.020480119840261834,abund grow
0.01874562667760623,abund habit
0.011577491424274212,abund had
0.046827372969046745,abund has
0.011577491424274212,abund hav
-0.00765987662278704,abund howev
0.2755769740552732,abund in
0.008672707968144316,abund increas
0.056481514919052976,abund ind
0.01707680966767885,abund indee
0.020442531078417422,abund index
0.02025402037242622,abund inform
-0.0214295237324808,abund init
0.009975797366354703,abund is
-0.009070349365466369,abund isol
0.01603920961388244,abund key
0.015138652314220492,abund km
0.010608305597670184,abund level
0.009849940555833438,abund lid
-0.018992780250216043,abund limit
0.013375885486182609,abund mad
0.012669458808707427,abund mean
0.017448880273829206,abund meas
-0.020480119840261834,abund metapop
0.008672707968144316,abund model
0.009381647601350396,abund moist
-0.022060288289343827,abund morpholog
-0.02080939269385921,abund mosquito
0.011149688945897743,abund most
0.01282634556325062,abund mov
0.020935289029092023,abund nat
0.018443670515591416,abund neith
0.010381096732843185,abund not
0.00823053457997089,abund obtain
0.03322244405952168,abund occur
0.7103385109328615,abund of
0.025684736335239527,abund on
0.035331429801063574,abund or
0.023269830283765596,abund our
0.009928388913244018,abund outsid
0.028979906959707653,abund ov
0.01419348975327078,abund overal
-0.018153054556386283,abund par
0.027396951153668674,abund part
0.014975685465148212,abund pattern
-0.05433538072895712,abund peak
0.019868538036495593,abund pog
0.008672707968144316,abund post
0.01898835010296384,abund pred
0.012385520860830961,abund prey
0.018630055156754696,abund produc
-0.012100157044442842,abund promot
-0.018992780250216043,abund proport
0.013262868834728573,abund rec
0.013375885486182609,abund record
0.012741978403283416,abund recr
0.003623910083627016,abund rel
0.032286733818052596,abund reproduc
-0.012301847266376042,abund resourc
0.010608305597670184,abund respond
-0.018992780250216043,abund respons
0.014781184011638152,abund seabird
0.018671219990370025,abund seem
0.011499280268639193,abund sex
-0.01005676307291828,abund shoot
0.011998891361373646,abund should
-0.002333876011779449,abund sign
0.007304088865967628,abund simil
0.02454624514545191,abund sint
0.03803194963891325,abund siz
-0.012378556987084007,abund smal
0.0181858775241601,abund spat
0.06720977053624147,abund specy
0.016337272419428516,abund than
0.060213782020641815,abund that
0.10906944001812158,abund the
0.01069619065504611,abund ther
0.012537509049809877,abund theref
0.0021043054419051057,abund thes
0.023037522897138302,abund thi
0.024374816620178118,abund through
0.01892580883687232,abund throughout
0.009277327796132512,abund to
0.01529418241755656,abund tot
0.012364982920721529,abund track
0.05494493507476541,abund trend
0.029989970644748322,abund unfortun
0.05318043564381403,abund us
0.035624855091609,abund vary
-0.015226770679894325,abund vig
0.11720813198692623,abund was
0.013204747658069957,abund we
0.1004312849546824,abund wer
0.01421239182848962,abund when
0.023454287463905266,abund wherea
0.006989004276682901,abund which
0.06987631425838511,abund with
0.03500317494977119,abund within
0.011149688945897743,abund year
-0.026474084608521006,abus
-0.026474084608521006,abus and
-0.12363435435604968,ac
-0.04382118652856781,ac addit
-0.010955296632141953,ac can
-0.010955296632141953,ac disturb
-0.03286588989642586,ac enrich
-0.0214295237324808,ac spp
-0.010955296632141953,ac wat
-0.045094263115479497,acac
-0.015031421038493163,acac specy
-0.015031421038493163,acac tortil
-0.015031421038493163,acac xanthophloe
0.04365780529224511,acad
0.04365780529224511,acad nat
-0.03340985554218582,academ
-0.01747745506214171,academ ghilarov
-0.017918095746123335,academ knowledg
-0.02343403144680064,acanthopagr
-0.02343403144680064,acanthopagr butcher
-0.006448836445594047,acanthopida
-0.006448836445594047,acanthopida acontiothesp
-0.014251629811603769,acanthoxyl
-0.014251629811603769,acanthoxyl geisovi
-0.043988799746435055,acarofaun
-0.043988799746435055,acarofaun in
-0.08527863639381908,acbr
-0.017055727278763817,acbr and
-0.017055727278763817,acbr bas
-0.017055727278763817,acbr her
-0.017055727278763817,acbr most
-0.017055727278763817,acbr thes
-0.029954697433783404,acc
-0.01258499400037695,acc against
-0.038226035764369636,acc and
0.03625988383566323,acc by
-0.010830534960197981,acc capt
-0.015875493429000753,acc could
-0.01142648188212133,acc defin
0.009091722651881622,acc demograph
0.020818991495356483,acc describ
0.030949191428561302,acc determin
-0.0010453148374179185,acc estim
-0.021472205892723452,acc forward
-0.023593336877026826,acc from
0.009026159416612488,acc in
-0.012438733096856872,acc model
0.01240785326440331,acc multipl
0.014157343359819864,acc nest
0.034960872555417986,acc of
0.027467406752570218,acc predict
-0.013958922063758764,acc repres
-0.015520801326737154,acc rev
0.017477788984457215,acc robust
-0.015813060159621747,acc taxonom
-0.014212731580286669,acc thes
0.015357521504191278,acc thi
-0.021939464900966307,acc ver
-0.01510919453006807,acc wer
-0.023593336877026826,acc when
-0.06998504331430641,acceiv
-0.007846937218713679,acceiv and
-0.01429660725982775,acceiv for
-0.01510919453006807,acceiv in
-0.007846937218713679,acceiv less
0.015554598215310089,acceiv nest
-0.015693874437427358,acceiv of
-0.018095424884442414,acceiv or
-0.009874673602752697,acceiv our
-0.013385485845838808,acceiv wel
-0.06325761385238657,accel
-0.015451785279811132,accel adv
-0.009894195528487021,accel is
-0.012922492469249765,accel reproduc
-0.010039593196406748,accel spik
0.00862574914159302,accel storm
-0.02543309188383552,accel the
-0.009894195528487021,accel we
-0.04113094014016212,access
0.02686591960074439,access by
0.0177664891981544,access food
-0.040666178550455005,access gland
-0.015308801728469108,access habit
-0.015342230158323858,access med
-0.009533970540917503,access no
-0.030736695428456404,access of
-0.015673174274075132,access pred
0.05249250090838247,access reg
-0.01161360670812759,access road
-0.01268011508399895,access thi
0.007836007473199964,access to
-0.016200420048252975,access typ
0.049948557791390444,accid
0.00657553063632287,accid and
0.024758813401291716,accid ind
0.02391260734933748,accid pres
0.033345641284792206,accipit
0.025290359721619415,accipit gentil
0.010037160292339429,accipit nis
-0.057374750216318084,acclim
-0.01176294750785356,acclim of
-0.02989995052754436,acclim tank
-0.007707611656966563,acclim to
-0.016334141660078662,acclim via
-0.036280881537229234,accommod
0.00862574914159302,accommod al
-0.01041921075599897,accommod occ
0.015797213574427305,accommod tanz
-0.01041921075599897,accommod the
-0.01041921075599897,accommod whereby
-0.008722155121078271,accommod wid
-0.01680822257577025,accommod willard
-0.005074337153674889,accompany
0.03268467972971595,accompany and
-0.019860266885694176,accompany by
-0.014245951863024412,accompany unpleas
0.0018524341625680682,accompl
0.01726671913649191,accompl the
-0.015304186630556564,accompl via
0.009271359139744998,accord
0.019131092438967903,accord comply
0.010411569042257016,accord contin
0.010476752735626496,accord declin
-0.016422784250446586,accord eight
0.00548551497799619,accord the
0.010418979291182384,accord to
-0.01680822257577025,accord we
-0.011192487595455705,accord with
-0.049996172857079024,account
0.015357521504191278,account follow
-0.035777321864405486,account for
0.006426669938924292,account in
0.03329745876096963,account of
-0.015088291966073874,account reg
0.013565134363147076,account show
-0.018992780250216043,account spec
-0.036638191898152164,account the
-0.032989694664765014,account thi
0.013490113917992593,account what
-0.22109748105682897,accum
-0.008753689704877518,accum and
-0.01778798646894375,accum ar
-0.012112534184381159,accum at
-0.010587366103090372,accum biomass
-0.008447554290293688,accum by
-0.01176294750785356,accum coast
-0.009037384445392817,accum cr
0.016211213944970094,accum curv
-0.015386564370968069,accum evid
0.015294451044050627,accum evolv
-0.02784425461334494,accum fact
-0.013854908055258604,accum fe
-0.022444183348060164,accum for
-0.009037384445392817,accum high
-0.01141058607372485,accum in
0.014969151414070223,accum introduc
-0.015513121669685971,accum larg
-0.01176294750785356,accum mor
-0.009806312234091728,accum new
-0.013392177422353994,accum nitrit
-0.07331459119717718,accum of
-0.01141058607372485,accum phragmites
-0.013392177422353994,accum ratio
-0.01161360670812759,accum rds
0.015288535051751689,accum sedy
-0.010928617470687218,accum som
-0.01144652168287748,accum through
-0.012112534184381159,accum vary
-0.011820974934113295,accum was
-0.01141058607372485,accum with
-0.011096942503168354,aceb
-0.011096942503168354,aceb wer
-0.01220866109340629,acenaphth
-0.01220866109340629,acenaphth and
-0.08086506618774013,acet
-0.021713512855389937,acet allozym
-0.022330205623441395,acet and
-0.012826937954420215,acet aquimavitalin
-0.02398599527430342,acet extract
-0.014503541010013436,acet to
-0.015505088896908615,acetitomacul
-0.015505088896908615,acetitomacul rumin
-0.015505088896908615,acetobacter
-0.015505088896908615,acetobacter woodi
-0.046515266690725844,acetog
-0.015505088896908615,acetog acetog
-0.015505088896908615,acetog bacter
-0.015505088896908615,acetog cel
-0.015505088896908615,acetogenes
-0.015505088896908615,acetogenes is
-0.01916766674550096,acetoin
-0.01916766674550096,acetoin butanediol
-0.03987982380821715,aceton
-0.03987982380821715,aceton butanol
-0.013900494992535907,acetyl
-0.013900494992535907,acetyl glucopyranosyl
-0.009070349365466369,acetyltransferas
-0.009070349365466369,acetyltransferas report
0.02025402037242622,acf
0.02025402037242622,acf pattern
-0.20620291371172073,achiev
-0.018169093534899115,achiev an
-0.02131341307802988,achiev as
0.020228522499729562,achiev bet
-0.05242766916866396,achiev by
-0.018009071046046255,achiev dur
-0.012565320205862504,achiev for
0.013453076529289117,achiev high
-0.015875493429000753,achiev if
-0.024399124185493597,achiev in
-0.01422875496694829,achiev kg
-0.013392177422353994,achiev of
-0.02733681122308856,achiev on
-0.01748189581960342,achiev red
-0.0196392883242456,achiev thes
-0.01916265517258341,achiev thi
-0.01422875496694829,achiev through
-0.023081374193692723,achiev throughout
-0.01678849563667039,achiev via
-0.011311604939641054,achiev with
-0.011491243918648858,achmerov
-0.011491243918648858,achmerov which
-0.01748418874527642,acholeplasm
-0.01748418874527642,acholeplasm spp
-0.5658430206445986,acid
-0.08326510244665086,acid and
-0.009796709251983213,acid apb
-0.02098794993505077,acid bacter
-0.019362560378562224,acid bas
-0.014580807680319392,acid cl
-0.01617453966036963,acid cont
-0.009796709251983213,acid dec
-0.014416411115568104,acid degrad
-0.009871086988799432,acid der
-0.015673174274075132,acid ep
-0.014226063651823223,acid epoxy
-0.009339526999314922,acid extract
-0.00871948067458584,acid fa
-0.013734048458040344,acid fee
-0.013734048458040344,acid from
-0.013900494992535907,acid gly
-0.01416896494795732,acid good
-0.014580807680319392,acid hfpo
-0.028452127303646445,acid hydroperoxid
-0.00875736799912145,acid id
-0.044720828521672924,acid in
-0.015673174274075132,acid limit
-0.00871948067458584,acid linol
-0.01555657023422176,acid methyl
-0.010903940594659461,acid mod
-0.011888275074218017,acid moi
-0.043939291650889056,acid of
-0.00871948067458584,acid ol
-0.029378474884363397,acid on
-0.015673174274075132,acid our
-0.014226063651823223,acid oxid
-0.013900494992535907,acid peptid
-0.01416896494795732,acid perform
-0.014580807680319392,acid pfeca
-0.007483041335683555,acid plfa
0.013580871249523885,acid precipit
-0.02845750993389658,acid pret
-0.019939911904108574,acid produc
-0.014689237442181698,acid ra
-0.009533970540917503,acid ready
-0.019593418503966425,acid residu
-0.035787953275970924,acid sequ
-0.013900494992535907,acid ser
-0.009698600050613626,acid sign
-0.015304186630556564,acid solv
-0.015644006901219313,acid stabl
-0.00871948067458584,acid stearidon
-0.008934852668604318,acid system
-0.01370443616978768,acid teth
-0.027358390991516764,acid the
-0.014226063651823223,acid thes
-0.013734048458040344,acid to
-0.025783535277993833,acid togeth
-0.011759395247334922,acid was
-0.02478562571527469,acid we
-0.010928617470687218,acid wer
-0.05474020346229851,acidophil
-0.03284412207737911,acidophil ethanol
-0.010948040692459705,acidophil fer
-0.010948040692459705,acidophil produc
0.025629692029318717,acinonyx
0.025629692029318717,acinonyx jubat
0.0377326198863713,acipens
0.022707037663173266,acipens medirost
0.01796066408052641,acipens transmontan
-0.019362560378562224,acn
-0.019362560378562224,acn and
-0.01141058607372485,acnt
-0.01141058607372485,acnt and
-0.015369387298302803,aco
-0.007684693649151401,aco but
-0.007684693649151401,aco or
-0.006448836445594047,acontiothesp
-0.006448836445594047,acontiothesp travassos
-0.015308801728469108,acor
-0.015308801728469108,acor calam
0.015491296024438512,acorn
0.019444237861456274,acorn bulb
-0.022476463560018475,acorn each
0.019444237861456274,acorn produc
0.00934566578540102,acoust
0.010777934860229085,acoust and
-0.02256086106143513,acoust emit
0.01593570643280047,acoust monit
-0.013536721536818223,acoust sign
0.018030387777440413,acoust survey
0.015839711050094372,acoust telemetry
-0.012922492469249765,acoust vary
-0.08133235710091001,acp
-0.013555392850151669,acp compl
-0.013555392850151669,acp evolv
-0.013555392850151669,acp is
-0.013555392850151669,acp of
-0.013555392850151669,acp or
-0.013555392850151669,acp thi
0.018320215864113348,acquaint
0.018320215864113348,acquaint and
-0.08372729995789542,acquir
-0.009311580203670978,acquir and
-0.009815715645409452,acquir at
-0.020802082891323796,acquir auth
-0.020560187607436005,acquir bef
0.01849187952067451,acquir body
-0.009815715645409452,acquir by
-0.008872359784636134,acquir de
-0.019362560378562224,acquir decad
-0.011185678737810349,acquir mimet
-0.01758456391974832,acquir new
0.01603920961388244,acquir pattern
-0.00873077024569418,acquir rang
-0.009815715645409452,acquir toxr
-0.04069421187358643,acquisit
-0.032878910743464634,acquisit by
-0.010177882522129108,acquisit specy
0.014582331020774763,acr
0.014582331020774763,acr of
0.010126000276189567,acridoth
0.010126000276189567,acridoth trist
0.0007502719590232264,acrocephal
-0.020719878576089486,acrocephal arundinace
0.03584610480433729,acrocephal sechellens
-0.0142963676641574,acrocephal which
-0.029642393042169382,acropor
-0.029642393042169382,acropor palmat
-0.009885597756404893,acroporid
0.01916925055237076,acroporid cor
-0.029642393042169382,acroporid serratios
-0.2587460561992896,across
-0.013500980356333863,across admin
0.010317671055059088,across afr
-0.012960152816902644,across al
0.037375047465673224,across an
0.024412420820238652,across biogeograph
-0.01916766674550096,across bound
-0.011557034661003744,across broad
-0.012922492469249765,across ca
0.011168878335809996,across carn
-0.016537773204909366,across catch
-0.010177882522129108,across co
-0.019069480742365683,across coast
-0.019488334259506447,across complex
-0.021677399173690094,across degr
-0.014615659503555244,across each
-0.0031712998098432825,across eight
-0.010772765332427598,across eukaryot
-0.011043453782992792,across expery
-0.009224286802860812,across fem
-0.014665069905651048,across genet
-0.008740598840911643,across geograph
0.012669458808707427,across habit
0.009514870951221544,across heterog
-0.011058937131963062,across host
-0.010548589317465187,across interact
0.010317671055059088,across it
0.02229618729096759,across km
-0.01565934398402381,across landscap
-0.00837633429974047,across lif
-0.028713395601348245,across many
-0.03862053812215124,across multipl
0.030371471195347288,across multitud
-0.021097178634930373,across network
0.011998891361373646,across of
0.01556287880593782,across orkney
-0.01972228074159143,across poeciliid
-0.009875245395999275,across pop
-0.014550591692812738,across reg
0.009928388913244018,across reserv
0.021876558266789137,across sampl
-0.029100926630101647,across scal
-0.013026637612716292,across sect
-0.015393969914758365,across sev
-0.037348301738996954,across sit
-0.01188230382788151,across som
-0.011505593313322031,across spat
0.01178181596704359,across spatio
-0.04699358252954038,across specy
-0.010548589317465187,across such
0.02544938441005208,across tanzan
-0.03545689528062477,across tax
-0.040005101660123686,across the
-0.011501473101465732,across three
-0.017528516016314714,across tim
-0.011043453782992792,across tri
-0.015051102322558959,across troph
-0.004425384617139626,across two
-0.02741124061554062,across western
-0.015757951951193047,across work
-0.010012593247271499,across year
0.018292803732647214,acrot
0.018292803732647214,acrot such
-0.24381048944703407,act
-0.01141058607372485,act acnt
0.007546189816688699,act act
0.008991206745972844,act address
-0.010039593196406748,act adipokinet
0.015784613023955032,act afr
-0.05295992342824041,act against
0.012385520860830961,act aim
-0.04606111340064082,act alga
-0.01220866109340629,act alon
-0.018470300646398836,act amino
0.014473884224357109,act an
-0.04294067281658292,act and
-0.007908959646122841,act ar
0.011718310173712658,act around
-0.0023906404486867153,act as
-0.008443207611394494,act assay
-0.05108823847649488,act at
0.018630055156754696,act bact
-0.018467121628909396,act bas
-0.01429660725982775,act bear
0.00862574914159302,act beg
-0.009124015354646199,act biofilm
0.014670562730994995,act bluefin
-0.018153054556386283,act both
0.023766268093070104,act but
-0.02953982933717964,act by
0.024158494602832557,act can
0.0029065120763889685,act car
-0.03286588989642586,act carbon
0.009593391592581086,act caus
0.014157343359819864,act cens
-0.02080939269385921,act certain
-0.008934852668604318,act chel
-0.009458744735410682,act chem
0.01124178402496163,act common
-0.04213266229570344,act compon
-0.01092268941301265,act compound
0.011345724641861073,act compr
-0.018770452957009052,act coupl
0.03532876914162593,act demograph
0.0197974502659954,act devot
-0.004039991438453282,act direct
-0.01092268941301265,act dos
0.018630055156754696,act due
0.010575241131222447,act dur
0.01465035339645459,act effect
-0.00953469170406808,act elicit
-0.015505330761671338,act emerg
0.008939636555915755,act eng
-0.012780188043759563,act enh
0.011353518831586633,act es
0.016988367547160897,act espec
-0.009894195528487021,act exhibit
-0.013500980356333863,act expendit
0.015197386708033443,act exploit
-0.009458744735410682,act expos
-0.02080939269385921,act fish
0.010088668380741876,act for
-0.0101503163023801,act fow
-0.01653870877355488,act fract
0.01804067372634471,act frog
-0.00988368872542357,act furth
-0.010039593196406748,act gq
-0.015200544947558051,act grow
-0.010039593196406748,act gs
0.01419348975327078,act habit
0.0029065120763889685,act harvest
0.023987271104328682,act has
-0.018683302265919098,act hav
-0.0101503163023801,act howev
-0.00895563399122473,act ia
-0.013026637612716292,act if
0.046977826057309956,act in
0.016035030675611506,act includ
-0.007487078776118438,act increas
-0.008443207611394494,act inflam
-0.01453633077253284,act influ
-0.01411358832164116,act inonot
-0.01005676307291828,act interact
0.010411569042257016,act interv
0.018398053491559613,act is
-0.020802082891323796,act lack
-0.0341564380965617,act led
0.010020498151018947,act lek
-0.0341564380965617,act limit
-0.0101503163023801,act loss
0.01095976094014496,act mad
-0.015226770679894325,act man
-0.01220866109340629,act meas
0.016697353517471,act might
-0.013500980356333863,act mor
-0.018467121628909396,act must
-0.012826937954420215,act nat
0.05307924376340313,act nest
0.003185149630413525,act numb
-0.012788211482214581,act occur
-0.2000943102482093,act of
-0.04489501899170997,act on
-0.01205292553846026,act or
0.0013629952767289834,act our
0.009309454841962257,act outlaw
0.0013749388851214527,act ov
0.013390397659859003,act pair
0.017961822440349065,act parakeet
-0.012780188043759563,act paramet
0.020603311855098252,act pattern
0.010615790455976711,act perform
-0.012826937954420215,act phorbol
0.11618378613233385,act plan
-0.010526473696666695,act pot
-0.015986064361091696,act predict
0.02263935242389656,act promot
-0.0341564380965617,act protect
-0.01696933669248943,act protein
-0.01819458199700557,act provid
-0.0228211721474497,act pt
0.0029065120763889685,act quot
0.033069799855227566,act rang
0.008991206745972844,act rel
-0.020719878576089486,act rol
-0.013891686435497297,act root
0.009091722651881622,act shar
-0.014404486910846183,act shed
-0.0008997461451866534,act should
-0.010825438268480685,act sit
0.007546189816688699,act start
-0.014366889897769835,act stat
-0.018470300646398836,act subset
0.028138141265077334,act such
-0.01005676307291828,act suggest
-0.009988694563147644,act suppess
-0.01653870877355488,act synerg
0.013390397659859003,act territ
0.045616131463981115,act that
0.06675876396618653,act the
-0.015505088896908615,act thes
0.02602450948066882,act thi
0.011499280268639193,act threatening
0.022227093653632176,act through
0.021480905513249608,act throughout
-0.027941380382357377,act to
-0.010928617470687218,act tot
-0.013086115324787031,act toward
-0.018470300646398836,act transcrib
-0.009129608616428286,act trap
0.017152601509439938,act trend
-0.010903940594659461,act trp
0.006729234701330797,act turtl
-0.008722155121078271,act two
-0.02023689042848371,act us
-0.03264705962856283,act was
-0.004364703350547702,act we
0.008918433408595824,act wer
-0.03899152323646646,act which
0.015900190618434194,act wil
-0.010039593196406748,act within
0.021480905513249608,act year
-0.011501473101465732,actiniar
-0.011501473101465732,actiniar us
-0.011501473101465732,actinioide
-0.011501473101465732,actinioide metridioide
-0.061157405318061894,actinobacter
-0.03470761062924951,actinobacter and
-0.010948040692459705,actinobacter bas
