"","Search","Title","Abstract","UT","SE_index","p","Relevance"
"12","desert","Desert grassland canopy arthropod species richness: temporal patterns and effects of intense, short-duration livestock grazing","Arthropods living in the canopies of two woody shrub species (a sub-shrub (Gutierrezia sarothrae) and a large shrub (Prosopis glandulosa)) and perennial grasses plus associated herbaceous species, were sampled on 18, 0.5 hectare plots in a Chihuahuan Desert grassland for five consecutive years. Mesquite shrubs were removed from nine plots, six plots were grazed by yearling cattle in August and six plots were grazed in February for the last 3 years of the 5 year study. Arthropod species richness ranged between 154 and 353 on grasses, from 120 to 266 on G. sarothrae, and from 69 to 116 on P. glandulosa. There was a significant relationship between the number of families of insects on grass and G. sarothrae and growing season rainfall but species richness was not a function of growing season rainfall on any of the plants. Several of the arthropod families that were the most species rich in this grassland were found on all of the plants sampled, i.e. Salticid spiders, Bruchid and Curculionid beetles, Cicadellid and Psyllid homopterans, and ants (Formicidae). There were more species rich families that were shared by grasses and the sub-shrub G. sarothrae than with mesquite. The absence of a relationship between growing season rainfall and species richness was attributed to variation in life history characteristics of arthropods and to the non-linear responses of annual and perennial desert grassland plants to rainfall. There were no significant differences in insect family or species richness on any of the plant types as a result of removal of mesquite (P. glandulosa) from selected plots. Intense, short duration (24 h) grazing by livestock during in late summer resulted in reduced species richness in the grass-herb vegetation layer but had no effect on insect species richness on snakeweed or mesquite shrubs. Livestock grazing in winter had no effect on insect species richness on any of the vegetation sampled. (C) 2004 Elsevier Ltd. All rights reserved.","WOS:000226455200007",154,0.844008763,1
"13","desert","Complex responses within a desert bee guild (Hymenoptera : Apiformes) to urban habitat fragmentation","Urbanization within the Tucson Basin of Arizona during the past 5 years has fragmented the original desert scrub into patches of different sizes and ages. These remnant patches and the surrounding desert are dominated by Larrea tridentata (creosote bush), a long-lived shrub whose flowers are visited by > 120 native bee species across its range. Twenty-one of these bee species restrict their pollen foraging to L. tridentata. To evaluate the response of this bee fauna to fragmentation, we compared species incidence and abundance patterns for the bee guild visiting L. tridentata at 59 habitat fragments of known size (0.002-5 ha) and age (up to 70 years), and in adjacent desert. The 62 bee species caught during this study responded to fragmentation heterogeneously and not in direct relation to their abundance or incidence in undisturbed desert. Few species found outside the city were entirely absent from urban fragments. Species of ground-nesting L. tridentata specialists were underrepresented in smaller fragments and less abundant in the smaller and older fragments. In contrast, cavity-nesting bees (including one L. tridentata specialist) were overrepresented in the habitat fragments., probably due to enhanced nesting opportunities available in the urban matrix. Small-bodied bee species were no more likely than larger bodied species to be absent from the smaller fragments. The introduced European honey bee, Apis mellifera, was a minor faunal element at > 90% of the fragments and exerted little if any influence on the response of native bee species to fragmentation. Overall, bee response to urban habitat fragmentation was best predicted by ecological traits associated with nesting and dietary breadth. Had species been treated as individual units in the analyses, or pooled together into one analysis, these response patterns may not have been apparent. Pollination interactions with this floral host are probably not adversely affected in this system because of its longevity and ability to attract diverse pollinators but will demand careful further study to understand.","WOS:000237052200017",280,0.84372996,1
"14","desert","National assessment of forest fragmentation in India: Landscape indices as measures of the effects of fragmentation and forest cover change","Forest fragmentation is considered as one of the major conservation issue. The purpose of this study is to contribute to the understanding of the national assessment of spatial patterns of forest fragmentation and influence of deforestation on fragmentation in the Indian forests during three decade interval (1975-2005). Mapping of forest cover was carried out based on Landsat MSS and IRS P6 AWiFS data using hybrid classification techniques on 1:250,000 scale. The present study considered biogeographic zones as a major stratum for national level assessment. The forest fragmentation was analysed based on landscape indices which allow quantification and categorisation of complex forest landscapes and depict landscape composition, structure and scenario of fragmentation. The analysis revealed that in all biogeographic zones, more than 90% of total number of forest fragments consists of patches having area less than 1 km(2). At national level the mean forest patch size stands at 187 ha. The total core area was highest for Islands (87.4%) followed by Eastern Himalayas (82.5%), Deccan (78.9%), Deserts (76.4%) and Eastern Ghats (76%). The temporal analysis shows that the loss of Indian forest area as 5.8% during 1975-2005. The annual rate of deforestation has been computed as 0.20% at national level. The decreased mean patch size, increased edge density and increased number of patches from 1975 to 2005 indicates ongoing fragmentation in biogeographic zones. The very high fragmentation in Trans Himalayas is contributed mostly by the natural factors while in other biogeographic zones, increased fragmentation is due to deforestation. (C) 2013 Elsevier B.V. All rights reserved.","WOS:000326239700057",613,0.841098587,0
"15","desert","Composition, structure and diversify of the cerro El Aguila, Michoacan, Mexico","This study describes composition, structure and diversity of vegetation in the Cerro El Aguila, Michoacan. Five plant communities were recognized and for each one all woody individuals >= 10 cm DBH were tallied in sixteen 400 m(2) circular plots, whereas individuals between 2.5 and 9.9 cm DBH were measured in a 100 m(2) circular subplot centered within each larger plot. A total of 46 species, 33 genera and 21 families were recorded. The tropical deciduous forest and Quercus deserticola forest had low values of mean plant height (< 5 m) and basal area (17.8 and 26 m(2)/ha, respectively), but these communities showed the higher density. Forests dominated by Q. rugosa and Quercus-Pinus had the lowest density but the highest mean height (> 11 m) and basal area (> 40 m(2)/ha). Diversity was greater in the tropical deciduous forest (S= 23 and alpha= 5.4, respectively) and lower in the oak-pine forest (S= 13 and alpha= 2.71). All communities displayed different dominant species and high beta diversity. Our results suggest that composition and structure could be affected by altitude and human activities. Nevertheless, the Cerro El Aguila still has well conservation areas, mainly temperate forests located toward summit zone and we recommend their inclusion in a near future within the state reserve system.","WOS:000295913300012",715,0.837754165,0
"16","desert","Variation in arthropod communities in response to urbanization: Seven years of arthropod monitoring in a desert city","Continuous monitoring is essential to understand dynamics of biological communities in response to urbanization, and to provide guidance in landscape planning for conserving urban biodiversity. Arthropods serve this purpose because they are abundant and diverse in urban areas, and relatively easy to collect. Over seven years, in the Central Arizona Phoenix area, arthropod communities in three urban habitat categories were collected and compared to arthropods in natural desert using pitfall traps and non-parametric analyses. First, we tested for differences in arthropod composition, abundances, and diversity across habitats and years. Second, we examined how conclusions about arthropod diversity vary with level of taxonomic resolution. We found that arthropod community composition varied among the four habitats at all taxonomic levels tested. In particular, urban mesic habitats had generally lower diversity than natural desert habitats, although with some exceptions. In contrast, mesic habitats had higher arthropod abundance than all habitats, and fluctuations in abundance were completely independent from changes in precipitation. Taxonomic shortcuts gave overall good impressions of community differences, but finer taxonomic resolutions on certain groups of arthropods revealed distinctly different responses to urbanization (e.g., higher beetle and ant diversity in the urban habitats). Urban areas have great potential for arthropod diversity, but community composition and dynamics are notably different from natural habitats. Institutions, local governments and homeowners can make an impact in arthropod conservation by choice of landscaping, and we recommend that remnants of natural habitats within cities receive further attention in urban planning. (C) 2011 Elsevier B.V. All rights reserved.","WOS:000297231800011",98,0.836533649,1
"17","desert","Effects of urban land use on pollinator (Hymenoptera : Apoidea) communities in a desert metropolis","We compared the species richness and abundance of pollinator (Hymenoptera: Apoidea) communities in two seasons (September 1998 and April 1999) among four types of urban land use in the Phoenix, Arizona, USA, metropolitan area (xeriscaped residential yards, mesiscaped residential yards, urban desert-remnant parks, and natural desert parks on the fringe of the metropolitan area). Richness and abundance of bees were generally lower in residential areas than in desert areas, with desert areas on the fringe of the metro area possessing the highest diversity of all sites. Residential yards that utilized xeric landscaping had a more diverse bee community (with proportionally more rare species) than did mesic (turf grass) yards, particularly in late summer (September). Although bee community structure was apparently unaffected by the density of local habitat features (native and exotic trees, shrubs, cacti, and herbaceous plants in addition to human-built structures), the types of habitat features do appear to influence the number and types of bees present in an area. These results suggest that urban development can be designed to promote the conservation of bees. Specifically, preservation of desert and greater use of xeric landscaping rather than mesiscaping may help preserve this ecologically and economically vital group of organisms.","WOS:000171075800003",399,0.835961528,1
"18","desert","Ant biodiversity in semiarid landscape mosaics: The consequences of grazing vs. natural heterogeneity","The conservation of biodiversity in landscape mosaics requires an understanding of the impacts of human land use within mosaic elements and an evaluation of the biological uniqueness of different elements. We address these issues by examining patterns of ant diversity in three semiarid rangeland landscapes used predominantly for grazing. These landscapes lie along a regional gradient from shortgrass steppe through a transitional zone to desert grassland, along which climate and ant species composition vary. Within each landscape, we compared the effects of grazing and natural variation in soils and vegetation on ant diversity and community composition. Grazing had little effect on ant richness, diversity, or composition at the transitional zone or the desert grassland site, but ungrazed areas at the shortgrass steppe site had a higher overall richness and favored the abundance of some species. Some samples of saltbush (Atriplex canescens) shrubland were similar to ungrazed samples in richness and species composition. In both the transitional zone and the desert grassland, creosotebush (Larrea tridentata)-dominated habitats harbored comparatively species-rich and distinct ant communities. In addition, mesquite (Prosopis glandulosa) coppice dunes at the desert grassland site favored the abundance of several species that were rare across the site. Canonical correspondence analysis revealed that variation in soil strength and texture best explained community variation at the shortgrass steppe site, whereas soil texture and associated differences in shrub density best explained differences in composition at the transitional and desert grassland sites. The characterization of habitats based upon vegetation classification did not adequately reflect environmental variation that was important to ants in shortgrass steppe, but reflected important soil textural variation in the transitional and desert grassland sites. These results suggest that ant conservation in these semiarid rangelands should emphasize patterns of variation in soil properties. The results add to a growing consensus that a variety of variables determined by the responses of several focal taxa may be needed to characterize biodiversity patterns.","WOS:000170209200015",11,0.833663502,1
"19","desert","Soil nematodes associated with different land uses in the Los Tuxtlas Biosphere Reserve, Veracruz, Mexico","Modification of above-ground land use leads to many changes in the below-ground rhizosphere. A study was conducted of soil nematodes and their diversity associated with different land uses in the Biosphere Reserve Los Tuxtlas, Mexico. Three sites were selected to investigate 4 types of land uses: natural forest, secondary forest, pasture, and maize fields. Total abundance of nematodes and estimators based on generic and diversity indices were assessed and compared between the 4 land uses and sites. Fifty-three families and 124 genera of nematodes were identified from the study area. The dominant families were Criconematidae, Hoplolaimidae, Cephalobidae, and Tylenchidae, and the most abundant genera in this study were Helicotylenchus, Discocriconemella, Tylenchus, Steinernema and Mesocriconema. The greatest nematode abundance, generic richness, and diversity were found in natural forest, closely followed by secondary forest. Intensive (largely monocrop) agricultural systems, represented by maize fields and pasture, had low generic richness and significantly less diversity than non-disturbed systems. Most of the estimators and indices were useful in showing the significant effects of different land uses on soil nematodes in Los Tuxtlas, Mexico. This study is the first of its type to be carried out in the Biosphere Reserve Los Tuxtlas, being the first report of soil nematodes that shows the effects of the land use changes that have been made in recent years. (C) 2017 Universidad Nacional Autonoma de Mexico, Instituto de Biologia.","WOS:000399011800014",781,0.832809435,1
"20","desert","Preliminary assessment of arbuscular mycorrhizal fungal diversity and community structure in an urban ecosystem","Arbuscular mycorrhizal fungal (AMF) species richness, composition, spore density and diversity indices were evaluated in the Phoenix metropolitan area, Arizona, USA at 20 sampling sites selected to represent the four predominant land-use types found in the greater urban area: urban-residential, urban non-residential, agriculture and desert. AMF spores were extracted and identified from soil samples and from trap cultures established using soil collected at each site. Data were analyzed according to land use, land-use history, soil chemistry and vegetation characteristics at each site. Current agricultural sites were associated with decreased spore densities and historically agricultural sites with decreased species richness. Overall species composition was similar to that previously reported for the Sonoran desert, but composition at each sampling site was influenced by the vegetation from which samples were collected. Sites with the highest degrees of similarity in AMF species composition were also similar to each other in native plants or land use. Conversely, sites with the lowest similarity in AMF composition were those from which the majority of samples were collected from non-mycorrhizal plants, predominately ectomycorrhizal plants or bare soil. Spores of Glomus microggregatum were most abundant in urban sites, while those of G. eburneum were most abundant in desert and agricultural sites. Further studies are needed to determine the functional implications of shifts in AMF communities in urban ecosystems, including effects on plant primary productivity.","WOS:000186978300004",200,0.831609533,1
"21","desert","Biodiversity of semi-arid Mediterranean grasslands: Impact of grazing and afforestation","Question: What is the impact of grazing and/or afforestation on grassland diversity, species composition and cover parameters? Location: Semi-arid Mediterranean grasslands of Jordan. Methods: Vegetation. litter, bare soil and rock cover were compared among four management types - free grazing and protected from grazing with three levels of tree cover. Species composition. plant cover, species richness and evenness were used to evaluate differences in vegetation among management types. Species composition differences among management types were also investigated. Results: Semi-arid Mediterranean grasslands harbour appreciable levels of plant biodiversity. Grazing did not affect plant diversity. indicating the high resilience against and adaptation to grazing: however. grazing affected species composition and cover parameters. Afforestation seems to protect soil through higher litter cover but its impact on plant biodiversity was negative and markedly affected species composition. Conclusions: Neither protection from grazing or massive afforestation alone are sufficient for conserving biodiversity in this system. A management model is suggested where the landscape should be maintained as a mosaic of four management types: complete protection from grazing, grazing rotation, planting sparse trees in eroded areas and revegetating degraded areas using native, herbaceous and grazing tolerant species.","WOS:000247766700012",83,0.831329363,1
"22","desert","Medium to large-sized mammals in agricultural landscapes of south-eastern Brazil","We determined the patterns of distribution and abundance of medium to large-sized mammals on an agricultural landscape in south-eastern Brazil. Here, we discuss some management recommendations to improve the conservation value of agricultural landscapes. From July 2003 to June 2004 we surveyed 284.4 km transects searching for tracks and visualizations of mammals in the main environments of an agricultural landscape in south-eastern Brazil. We recorded 25 native species, two exotic and six domestic species in the area: 23 species on native forest fragments, 19 on sugarcane plantations, 17 on eucalyptus plantations, and 12 on pasture areas. There were significant differences in species richness and frequency of occurrence among these environments. Pasture areas had the lowest species richness and sugarcane plantations the greatest frequency of occurrence. Some species are associated with open areas, whereas other species are associated with forested habitats. Although a considerable part of the original mammal diversity is still present, the community found is predominantly composed of species able to adapt to environmental alterations. Therefore, to improve the conservation value of agricultural landscapes in south-eastern Brazil, the maintenance of native forest fragments is essential, in addition to mitigation measures of the various agricultural impacts.","WOS:000296765400005",14,0.830579634,1
"23","desert","Structure and organization of rodent assembles of a forest of the Sierra Madre Occidental, Durango, Mexico","Biodiversity of temperate forests in the mountain region called ""Sierra Madre"", at western Mexico, is rich. This zone lies in the Transition Zone, a biogeographical important area of North America characterized by a remarkable local environmental heterogeneity. However, little is known about the taxonomic composition, and organization of the assemblage of native small mammal, and the influence of local ecological factors, particularly from different vegetation types. Therefore, we were interested in documenting the species composition and structure of the small mammal assemblages of this sierra and provide insights into the nesting level of the Community and deviations from a random organization. The study area was a place named ""El Durangueno"" ranch, Durango, Mexico. Three different vegetation types (grassland, and oak-pine and pine-oak forests) were sampled there during every season of 2005 to 2006. During three consecutive nights rodents of each site were captured, recaptured, and taxonomically identified. Results produced 520 individuals (386 captures, 134 recaptures) of 18 small mammal species (14 mice, four squirrels) of different body sizes that represent neartic. neotropical, or shared affinity; endemicity of taxa was found as well as taxa in some extinction risk category. Species richness and eveness were high and the diversity and population levels were moderate. although high density of small mammals highlights oak-pine forest whereas dominance of some species occurs in pine-oak forest perhaps due to disturbance. Spatial pattern of medium-size species was not at random. Assemble of species revealed a non-nested pattern and displayed a log-normal distribution, characterized by four common and widely distributed rodent species (Peromyscus truei, P. maniculatus, Reithrodontomys montanus, and Sigmodon leucotis), and seven of restricted distribution. On the other hand, several species were allocated to different trophic-niche guilds, as revealed by their reported food preferences, that were composed by up to two dominant species by site. In conclusion, the small mammal assemblage of forests of Sierra Madre is distinctive and diverse, is not structured at random and vegetation may be one of the ecological factors that have played an important evolutionary role.","WOS:000274063100007",322,0.828246907,0
"24","desert","Effects of past and present land use on vegetation cover and regeneration in a tropical dryland forest","Brazilian Caatinga is one of the most diverse dryland ecosystem of the world and is threatened by strong land use pressure and poor protection. In this study, we investigate the effects of past and present land use on plant community richness and structure. We used satellite information to identify 55 Caatinga forest plots with and without past vegetation clearing. We also quantified current land use, i.e. grazing by domestic animals, and selective logging. Caatinga vegetation structure, measured as vegetation cover, vegetation height, basal area and woody plant density, as well as recruitment, measured as woody plant seedling density and species richness, were negatively affected by both past and current land use. Past clear-cut not only had strong effects on most vegetation measures, but also increased current grazing which further negatively affected vegetation structure. Selective logging had little measurable effects but increased recruitment in plots previously clear-cut. Increasing time since the last clear-cut increased negative effects on vegetation, presumably because of a prolonged negative effect of grazing. Our results suggest that grazing needs to be prevented in areas degraded by clear-cut to allow vegetation restoration through natural succession and avoid further degradation and desertification. (C) 2016 Elsevier Ltd. All rights reserved.","WOS:000377927600003",1,0.827979202,1
"25","desert","Do live fences help conserve butterfly diversity in agricultural landscapes?","Do live fences help conserve butterfly diversity in agricultural landscapes? In Central America, natural forests have been transformed into agriculture production areas, generating forest fragmentation, desertification, erosion and loss of biodiversity, among other concerns. Different tree cover compositions are kept on these agricultural landscapes, including scattered trees in pastures, live fences, fragments of secondary forests, and riparian forests. These can help in biodiversity conservation because they generate shelter, feeding and reproduction areas, among others. We studied the composition, richness and abundance of diurnal butterflies on two types of live fences in a landscape where pastures are predominant in Costa Rica's Central Pacific Region. Transects (120x5m) were observed for an hour (two days/habitat) in five multi-strata fences (with several plant species, strata and canopy width) and five simple fences (with smaller and pruned trees). A total of 2 782 butterflies were observed (75 species). The most abundant species were Anartia fatima, Eurema daria, Eurema nise, Hermeuptychia hermes, Junonia evarete and Phoebis philea. Multi-strata fences had more species and can help maintain 56% of the total species observed in secondary and riparian forests. This type of live fence can play an important role in butterfly conservation in livestock areas, and its benefits are influenced by the manner in which farmers manage their land. Rev. Biol. Trop. 58 (1): 447-463. Epub 2010 March 01.","WOS:000276859100032",8,0.827400844,0
