"","Search","Title","Abstract","DOI","EID","SE_index","p","Relevance"
"12","amphib_neotropic","The effects of amphibian population declines on the structure and function of neotropical stream ecosystems","Amphibians can be important consumers in both aquatic and terrestrial habitats and may represent an important energetic link between the two, particularly in the tropics, where amphibian species richness and abundance are high. In the past 20 years, amphibian populations have declined dramatically around the world; numbers have decreased catastrophically in protected upland sites throughout the neotropics, usually resulting in the disappearance of over 75% of amphibians at a given site, particularly those species that breed in streams. Most studies of amphibian declines have focused on identifying causes and documenting changes in adult abundance, rather than on their ecological consequences. Here, we review evidence for the potential ecological effects of catastrophic amphibian declines, focusing on neotropical highland streams, where impacts will likely be greatest. Evidence to date suggests that amphibian declines will have large-scale and lasting ecosystem-level effects, including changes in algal community structure and primary production, altered organic matter dynamics, changes in other consumers such as aquatic insects and riparian predators, and reduced energy transfers between streams and riparian habitats. Furthermore, because of habitat and functional differences between larvae and adults in most amphibians, the loss of a single species is akin to losing two species. © The Ecological Society of America.","10.1890/1540-9295(2006)004[0027:TEOAPD]2.0.CO;2","2-s2.0-32444435569",22,0.675905069,0
"13","amphib_neotropic","Dynamics of the terrestrial amphibian assemblage in a flooded riparian forest fragment in a Neotropical region in the south of Brazil","The aim of this study was to analyze the richness, abundance and composition of the terrestrial amphibian assemblage in a flooded riparian forest fragment in a Neotropical region in the south of Brazil over a year (2002-2003). A total of 1,265 terrestrial amphibians were captured, representing 12 species and six families. Leiuperidae represented 41.7 and 56.3% of the total number of species and individuals captured, respectively. The amphibian richness and abundance were higher in the Spring-Summer than in the Autumn-Winter period, and these attributes did not change after the flood events. However, the floods homogeneously distributed the amphibian species over the fragment. Our study documented the terrestrial amphibian's use in a riparian forest fragment associated to a floodplain system in the south of Brazil, showing the importance of these habitats as possible dispersal corridors among nearby wetlands.","10.1590/S1519-69842008000400010","2-s2.0-59949093987",29,0.675826821,0
"14","amphib_neotropic","In search of critically endangered species: The current situation of two tiny salamander species in the neotropical mountains of mexico","Worldwide, one in every three species of amphibian is endangered, 39 species have gone extinct in the last 500 years and another 130 species are suspected to have gone extinct in recent decades. Of the amphibians, salamanders have the highest portion of their species in one of the risk categories, even higher than the frogs. To date there have been few studies that have used recent field data to examine the status of populations of endangered salamanders. In this study we evaluate the current situation of two tiny salamanders, Parvimolge townsendi and Thorius pennatulus, both of which are distributed at intermediate elevations in the mountains of the northern Neotropics and are considered to be critically endangered; the first has been proposed as possibly extinct. By carrying out exhaustive surveys in both historical and potentially suitable sites for these two species, we evaluated their abundance and the characteristics of their habitats, and we estimated their potential geographic distribution. We visited 22 sites, investing 672 person-hours of sampling effort in the surveys, and found 201 P. townsendi salamanders in 11 sites and only 13 T. pennatulus salamanders in 5 sites. Both species were preferentially found in cloud forest fragments that were well conserved or only moderately transformed, and some of the salamanders were found in shade coffee plantations. The potential distribution area of both species is markedly fragmented and we estimate that it has decreased by more than 48%. The results of this study highlight the importance of carrying out exhaustive, systematic field surveys to obtain accurate information about the current situation of critically endangered species, and help us better understand the crisis that amphibians are facing worldwide. © 2012 Sandoval-Comte et al.","10.1371/journal.pone.0034023","2-s2.0-84859242633",15,0.665617123,0
"15","amphib_neotropic","Integrating life-history traits and amphibian upland habitat use in a Neotropical hotspot","Effective management of semi-aquatic animals requires detailed information on upland habitat use around aquatic habitats. Quantifying the amount of habitats needed to sustain local animals' populations is a crucial criterion when setting protective buffers to water bodies, especially for amphibians, which depend on these upland habitats for breeding and development. Differences in upland habitat use can emerge among amphibian species with distinct life-history traits, including reproductive-strategy (pond-breeding vs. non-pond breeding anurans), life-stage (adults vs. juveniles), and sex (males vs. females). To date there has been no quantitative study of upland habitat use in the Neotropics, which can provide a baseline for quantifying the amount of upland forested habitats needed to sustain local amphibian populations. We monitored three ponds for over two sampling year using drift fences with pitfall traps to investigate how reproductive-strategy, life-stage, and sex affect anuran upland habitat use in a forest remnant in the Atlantic Forest hotspot. We found no differences in upland habitat use between adult and juvenile anurans. However, we found that although the species richness of pond-breeding and non-pond breeding anurans was similar near wetlands, there was greater abundance of pond-breeding compared to non-pond breeding anurans. We also found a strong difference between the sexes in pond-breeding anurans, with males remaining closer to wetlands than females. Thus, the sex ratio of amphibian populations can be strongly skewed toward males if only small protective terrestrial buffers (50-m) are enforced during land development. Our findings also point to the inadequacy of current Brazilian policies to protect small wetlands and the fauna that depend on them. We recommend that policymakers adjust regulatory criteria to set hierarchical protective buffers around wetlands allowing different levels of land-use intervention. © 2015 Elsevier Masson SAS.","10.1016/j.actao.2015.09.009","2-s2.0-84942862520",23,0.652108897,1
"16","amphib_neotropic","Amphibian diversity and threatened species in a severely transformed neotropical Region in Mexico","Many regions around the world concentrate a large number of highly endangered species that have very restricted distributions. The mountainous region of central Veracruz, Mexico, is considered a priority area for amphibian conservation because of its high level of endemism and the number of threatened species. The original tropical montane cloud forest in the region has been dramatically reduced and fragmented and is now mainly confined to ravines and hillsides. We evaluated the current situation of amphibian diversity in the cloud forest fragments of this region by analyzing species richness and abundance, comparing assemblage structure and species composition, examining the distribution and abundance of threatened species, and identifying the local and landscape variables associated with the observed amphibian diversity. From June to October 2012 we sampled ten forest fragments, investing 944 person-hours of sampling effort. A total of 895 amphibians belonging to 16 species were recorded. Notable differences in species richness, abundance, and assemblage structure between forest fragments were observed. Species composition between pairs of fragments differed by an average of 53%, with the majority (58%) resulting from species replacement and the rest (42%) explained by differences in species richness. Half of the species detected are under threat of extinction according to the International Union for Conservation of Nature, and although their distribution and abundance varied markedly, there were also ubiquitous and abundant species, along with rare species of restricted distribution. The evident heterogeneity of the ten study sites indicates that to conserve amphibians in a mountainous region such as this one it is necessary to protect groups of fragments which represent the variability of the system. Both individually and together cloud forest fragments are very important to conservation because each remnant is inhabited by several threatened species, some of them at imminent risk of extinction. © 2015 Meza-Parral, Pineda.","10.1371/journal.pone.0121652","2-s2.0-84925797523",6,0.649278088,0
"17","amphib_neotropic","Stream invertebrate responses to a catastrophic decline in consumer diversity","Tadpoles are often abundant and diverse consumers in headwater streams in the Neotropics. However, their populations are declining catastrophically in many regions, in part because of a chytrid fungal pathogen. These declines are occurring along a moving disease front in Central America and offer the rare opportunity to quantify the consequences of a sudden, dramatic decline in consumer diversity in a natural system. As part of the Tropical Amphibian Declines in Streams (TADS) project, we examined stream macroinvertebrate assemblage structure and production for 2 y in 4 stream reaches at 2 sites in Panama. One site initially had healthy amphibians but declined during our study (El Cop), and 1 site already had experienced a decline in 1996 (Fortuna). During the 1st y, total macroinvertebrate abundance, biomass, and production were generally similar among sites and showed no consistent patterns between pre- and post-decline streams. However, during the 2nd y, tadpole densities declined precipitously at El Cop, and total macroinvertebrate production was significantly lower in the El Cop streams than in Fortuna streams. Functional structure differed between sites. Abundance, biomass, and production of filterers generally were higher at Fortuna, and shredders generally were higher at El Cop. However, shredder production declined significantly in both El Cop reaches in the 2nd y as tadpoles declined. Nonmetric dimensional scaling (NMDS) based on abundance and production indicated that assemblages differed between sites, and patterns were linked to variations in relative availability of basal resources. Our results indicate that responses of remaining consumers to amphibian declines might not be evident in coarse metrics (e.g., total abundance and biomass), but functional and assemblage structure responses did occur. Ongoing, long-term studies at these sites might reveal further ecological consequences of the functional and taxonomic shifts we observed. © 2010 by The North American Benthological Society.","10.1899/09-102.1","2-s2.0-77955579354",11,0.642634999,0
"18","amphib_neotropic","Non-invasive invaders from the Caribbean: The status of Johnstone's Whistling frog (Eleutherodactylus johnstonei) ten years after its introduction to Western French Guiana","The neotropical frog Eleutherodactylus johnstonei (Anura: Eleutherodactylidae) has been referred to as a highly invasive species on grounds of its wide distribution and is expected to extend its range significantly based on recent climate model assumptions. The frog was introduced to a number of South American mainland localities, including French Guiana. Other species of the genus have become invasive on oceanic islands such as Hawaii where they pose serious biological and economical problems. No data are available on the invasion status of E. johnstonei populations from coastal South America. Here we present the first assessment of the status of a mainland population from French Guiana 10 years after the introduction of the species. We found that the species has not spread significantly within the last ten years and so far does not exhibit a high invasion potential. Frogs were restricted to urban garden habitats showing significantly higher abundance in gardens containing ornamental potted plants. Distribution patterns were best explained by two dispersal-related factors operating at different scales: (1) distance of occupied sites to nearest population indicating short-distance active dispersal using stepping stone habitats, and (2) distance of occupied sites to shore with a distinct bimodal pattern indicating long-distance passive or jump-dispersal, most likely due to the exchange or transfer of ornamental plants. Even though past and current invasion potential can be considered low, we advocate the implementation of a regional monitoring scheme and detailed studies on biotic interactions with native fauna. © 2010 Springer Science+Business Media B.V.","10.1007/s10530-010-9930-5","2-s2.0-79960061662",37,0.627957048,0
"19","amphib_neotropic","Seasonal and geographic variation in the diet of barn owls (Tyto Alba) in temperate agroecosystems of Argentina","We studied the dietary niche of the Barn Owl (Tyto alba) in temperate agroecosystems of central Argentina by describing seasonal and geographic variation in the food habits of this owl in four districts of the Pampean region (Flooding, Inland, Rolling, and Southern Pampas). We identified 21,925 prey items from samples of fresh pellets collected in summer (n = 23) and winter (n = 26). Mammals,' mostly sigmodontine rodents, were the main prey items (91.9%), followed by amphibians (6.5%) and birds (1.6%). Arthropods were also a common prey item (found in 45% of the samples). The consumption of arthropods and amphibians was higher in summer than in winter, indicating that seasonal changes in prey abundances are reflected in the Barn Owl diet. We found no differences in food-niche breadth among the four study districts, but food-niche breadth varied between seasons, being higher during summer. Six rodent species were common to all districts: Calomys spp., Akodon azarae, Oligoryzomys flavescens, Mus musculus, Rattus spp., and Holochilus brasiliensis. Calomys spp. was numerically dominant in 46 of the 49 samples, and together with A. azarae and O. flavescens comprised the bulk of the diet (> 80%). Predation on rodents may reflect population dynamics of the prey species with high predation rates when peaks in abundance of sigmodontine rodents occurred (autumn-winter). © The Neotropical Ornithological Society.",NA,"2-s2.0-83755177886",40,0.619345581,0
"20","amphib_neotropic","Abundance signals of amphibians and reptiles indicate strong edge effects in Neotropical fragmented forest landscapes","Fragmentation and habitat loss contribute considerably to global declines of amphibians and reptiles. However, few studies focus on forest edges, created during the fragmentation process, as proximate drivers of the local demographic structure of populations. Here, we use abundance data of amphibians and reptiles to study their responses to forest edges in nine fragmented forested landscapes of the Neotropics. Species-specific abundance data were collected in plots established at varying distances from their respective nearest forest edge. We tested for edge effects on the abundance of species, and used curve clustering techniques to group species with similar edge responses, i.e. species with either increasing or decreasing abundance from the matrix towards the forest interior. We also grouped species that showed no change in abundance with respect to the nearest forest edge and those whose abundance response was unimodal, peaking in either forest habitat or the surrounding matrix habitat. We found that 96% of all amphibians and 90% of all reptiles showed an edge response, with the abundance of 74.5% of amphibians and 57.3% of reptiles decreasing with increasing proximity to forest edges. However, species-specific edge effects were not always consistent, with some species having opposite edge responses when measured in different landscapes. The depth of edge effects exhibited by forest species, i.e. species that increased in abundance in the forest interior, extended up to one kilometre away from forest edges. We show that the median edge effect on forest species extends to 250 m within the forest interior, indicating that tropical forest patches with a mean diameter < 500 m (minimum area ≈ 78 ha) are unsuitable for half of forest-dependent species considered in this study. © 2016 Elsevier Ltd","10.1016/j.biocon.2016.06.011","2-s2.0-84976330785",3,0.614293309,0
"21","amphib_neotropic","Parameters from the community of leaf-litter frogs from Estação Ecológica Estadual Paraíso, Guapimirim, Rio de Janeiro State, southeastern Brazil","We studied the leaf-litter frog community of Estação Ecológica Estadual Paraíso, in Guapimirim, Rio de Janeiro State, southeastern Brazil. Herein we combined three sampling methods (large plots, visual encounter surveys and pit-fall traps) to present data on species composition, richness, relative abundance and densities. The local assemblage of frogs associated to the leaf-litter was composed by 14 species, belonging to nine families. Haddadus binotatus, a direct-developing frog, was the most abundant species in the community. The estimated density of the local leaflitter frog assemblage based on plot sampling was 4.3 frogs/100 m 2. Haddadus binotatus had the highest density (1.1 ind/100 m 2). Frogs were predominantly found at night. Thoropa miliaris had the largest values of SVL (39.0 ± 10.3 mm), whereas the smallest species were Euparkerella brasiliensis (16.7 ± 2.2 mm) and E. cochranae (16.0 ± 2.7 mm). Rhinella ornata had the highest mean body mass (12.1 ± 7.5 g), and E. cochranae the lowest (0.4 ± 0.2 g). The overall frog mass was 938.6 g/ha. Our data support that higher densities of leaf-litter frogs tend to occur in the Neotropical region compared to the OldWorld tropics, tending to be higher in Central America than in South America.","10.1590/S0001-37652011005000036","2-s2.0-82955225067",32,0.579840266,0
"22","amphib_neotropic","Neotropical tadpoles influence stream benthos: Evidence for the ecological consequences of decline in amphibian populations","1. Few studies have assessed the role of tadpoles in tropical streams, although they are often abundant and conspicuous components of these systems. Moreover, amphibian populations are declining around the globe, particularly stream-dwelling species in tropical uplands, and the ecological consequences of these losses are not understood. 2. We chose a stream in the central Panamanian highlands, which has an intact fauna of stream-breeding anurans, to examine the ecological consequences of amphibian losses. This site differs dramatically from sites in nearby western Panama and Costa Rica where anuran diversity and abundance have declined greatly in the last two decades. 3. We used an underwater electric field to create tadpole exclosures in runs, so that we could evaluate their influence on sediment dynamics and the abundance and community structure of algae and aquatic insects. Tadpoles reduced total sediments and both organic and inorganic fractions on substrata. Tadpoles also reduced algal abundance on substrata by approximately 50% and decreased algal biovolume. Gut content analyses showed that tadpoles consumed algae and sediments and we could see that algae and sediments were also displaced through bioturbation. 4. Atelopus zeteki, Rana warszewitschii, and Hyla spp. were the dominant larval anurans responsible for the effects observed. Visual surveys indicated that the densities of these taxa ranged from 23 (R. warszewitschii and Hyla spp. combined) to 43 m-2 (A. zeteki) in runs. 5. The abundance of baetid mayflies was lower in tadpole exclosures compared with controls, and this was attributed to tadpoles facilitating mayfly feeding by removing sediments and exposing underlying periphyton. 6. Tadpoles affect the abundance and diversity of basal resources and other primary consumers, and thus influence food web dynamics and energy flow in these tropical streams. Catastrophic decline in stream-breeding anuran populations will influence the structure and function of neotropical stream ecosystems.","10.1111/j.1365-2427.2004.01184.x","2-s2.0-1442265052",20,0.553673727,0
"23","amphib_neotropic","Variation in Abundance and Efficacy of Tadpole Predators in a Neotropical Pond Community","Variation in predation risk plays an important role in shaping prey behavior, morphology, life history, population dynamics, and community structure in freshwater systems. Anuran larvae are important prey in freshwater communities and spatiotemporal variation in risk can arise from changes in the number and identity of predators; however, our understanding of variation in abundance, identity, and foraging rates for natural predator assemblages in tropical pond communities is limited. We surveyed ponds near Gamboa, Panama in 2004 and 2010 to estimate variation in predator communities of tadpoles over space and time.We also conducted short-term predation trials with the 10 most common predators using hatchling tadpoles of two widespread Neotropical frog species, Red-Eyed Treefrogs (Agalychnis callidryas) and Pantless Treefrogs (Dendropsophus ebraccatus). Predator abundance varied nearly threefold across ponds within a single year and as much as 19-fold within a pond across years. Dominant taxa also varied, with backswimmers (Notonectidae), poeciliid fish, or libellulid dragonfly naiads being the most common depending upon pond and year. Predation trials revealed that prey-specific predation rates differed among predator taxa. Some presumed predators did not consume hatchlings, whereas others consumed >90% of prey. The smaller D. ebraccatus hatchlings generally experienced higher predation rates; however, large invertebrate predators like aeshnid dragonfly naiads, giant water bugs, and fishing spiders consumed more A. callidryas. These results suggest that strong but variable larval-stage risk may be an important selective factor shaping tadpole communities and phenotypes in Neotropical ponds. © 2016 Society for the Study of Amphibians and Reptiles.","10.1670/14-111","2-s2.0-84959866101",13,0.540339602,1
