,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_std_mod,Timespan_std_mod,Relevance_ranked_mod,Timespan_ranked_mod,Scopus_index,Present_in_training_docs
16,2-s2.0-0036767802,18,18,"Seymour N.R., Miller A.G., Garbary D.J.",7004355861;24454270600;6701509225;,Decline of Canada geese (Branta canadensis) and common goldeneye (Bucephala clangula) associated with a collapse of eelgrass (Zostera marina) in a Nova Scotia estuary,2002,Helgoland Marine Research,10.1007/s101520100075,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036767802&doi=10.1007%2fs101520100075&partnerID=40&md5=4f170137621d9c469f322d798880ae77,"Mean numbers of migrant Canada geese (Branta canadensis) in Antigonish Harbour in the southern Gulf of St. Lawrence (Canada) during October to December were similar (approx. 450-500 birds) for the period 1998-2000. Similarly, during this period, geese used two foraging sites. However, in 2001, the average number of birds decreased by half and the primary foraging sites were used only rarely. This coincided with a decline of about 95% in the biomass of roots and rhizomes of eelgrass (Zostera marina) that occurred between October 2000 and 2001. Eelgrass is the principal food of geese in this estuary. In addition, there was a reduction of around 50% in the numbers of common goldeneye (Bucephala clangula), which feed on invertebrates associated with eelgrass. Lower than usual weekly abundances of geese and goldeneye are probably the result of an unusually short residence time in the estuary, rather than a decline in the total number of visiting migrants. We attribute these changes in the distribution and abundance of geese and goldeneyes to the dramatic decline in eelgrass.",Article,Scopus,0.777297244,1,1,NA,10,5,1,10,1,5,19,NA
41,2-s2.0-7944238714,10,10,"Castège I., Hémery G., Roux N., D’elbée J., Lalanne Y., D’amico F., Mouchès C.",6504005779;55934798100;7003700160;57192035487;7801689043;57192036249;7004216773;,"Changes in abundance and at-sea distribution of seabirds in the Bay of Biscay prior to, and following the “Erika” oil spill",2004,Aquatic Living Resources,10.1051/alr:2004038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-7944238714&doi=10.1051%2falr%3a2004038&partnerID=40&md5=8415c7d438cc513d6f16bdd285edffa9,"We investigated the impact of the “Erika” oil spill in the Bay of Biscay (France) on seabird populations. Relative abundance and spatial distribution at sea between 1980-1999 and 2000-2002 periods were compared. This study took place in a standardized monitoring at sea carried out with Coast Guard vessels following the line transect method. This work rests on 107 551 standardized counts of one minute before “Erika” and 23 449 after the oil spill. There was not a simple correlation between the number of individuals found oiled and the numerical variation of the populations at sea during the two years following the accident. The guillemot Uria aalge, the most frequently collected species in the north of the Bay of Biscay, showed no decrease in at sea abundance during the two years following the pollution. Conversely, some species found in small numbers on the coast (e.g. divers Gavia sp., razorbill Alca torda, common scoter Melanitta nigra) decreased significantly at sea (20 to 80%). Overall, marine bird populations declined significantly in the northern sector of the Bay of Biscay (48°32' to 46°58' north) and increased in the southern sector (45°13' to 43°15' north), whereas decreases and increases occurred in the central sector (46°57' to 45°14' north). Changes in the spatial distribution of the species after the “Erika” oil spill occurred through disappearance or retraction (Bay of Vilaine, Houat-Hoedic archipelago), or through displacement and reinforcement (Gouf of Capbreton). Overall, this suggests a redistribution of the populations within the Bay of Biscay, depending on the level of injuries to the ecosystems caused by the pollution. © EDP Sciences, IFREMER, IRD 2004.",Article,Scopus,0.770535243,1,1,NA,10,5,1,5,1,5,11,NA
9,2-s2.0-0034468254,49,49,"Garcia Esponda C.M., Coria N.R., Montalti D.",6507804419;6603887685;6603581738;,"Breeding birds at halfmoon island, South Shetland Islands, Antarctica, 1995/96",2000,Marine Ornithology,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034468254&partnerID=40&md5=8b8da5ac397cbd991e05dc5ac80302e4,"During the summer breeding season of 1995/96, we obtained information on the distribution and abundance of breeding seabirds on Halfmoon Island, South Shetland Islands, Antarctica. Ten breeding species were counted: Chinstrap Penguins Pygoscelis antarctica (3342 pairs), Pintado or Cape Petrels Daption capense (8), Wilson's Storm Petrels Oceanites oceanicus (377), Black-bellied Storm Petrels Fregetta tropica (7), Antarctic Cormorants Phalacrocorax atriceps bransfieldensis (29), Subantarctic Skuas Catharacta antarctica (3), South Polar Skuas C. maccormicki (103), Kelp Gulls Larus dominicanus (39), Antarctic Terns Sterna vittata (125) and Greater Sheathbills Chionis alba (11). We present information on population size and distribution for each breeding species, with comments on putative factors related to changes recorded.",Article,Scopus,0.765991237,NA,1,Reclassified following another search,NA,5,,,1,5,50,0
36,2-s2.0-67349234507,37,37,"Ibarra J.T., Fasola L., MacDonald D.W., Rozzi R., Bonacic C.",34768532100;23984781400;7401463172;6603366211;6602362559;,"Invasive american mink mustela vison in wetlands of the cape horn biosphere reserve, southern Chile: What are they eating?",2009,ORYX,10.1017/S0030605308099997,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349234507&doi=10.1017%2fS0030605308099997&partnerID=40&md5=82357687530a990e3f827df89a5b4b6f,"The impact of alien American mink on the native fauna of oceanic islands has been demonstrated in a number of locations. In the sub-Antarctic Cape Horn Biosphere Reserve of southern Chile the species is currently expanding in an area where the native fauna evolved in the absence of terrestrial predators. To evaluate any emerging problems we therefore investigated seasonal variation in prey use by mink on Navarino Island within the Reserve. We identified undigested remains in 414 scats collected from the shores of 27 ponds over JanuaryNovember 2006. Diet consisted mainly of mammals and birds. Mammals, including both native and exotic rodents, were the predominant prey in all seasons but birds were of equal importance during the summer (when birds breed and their abundance and diversity increases on the island). Exotic rodents were the only identifiable mammalian prey item during winter. Native wetland birds constituted a substantial proportion of mink diet, and greater than that reported in other areas. Many birds breeding on Navarino Island are ground-nesting, a strategy that evolved in the absence of native mammalian predators. Considering the international importance of this region, our results emphasize the need for an assessment of the impact of mink predation on the populations of native prey. © Fauna & Flora International 2009.",Article,Scopus,0.761818988,NA,0,NA,NA,5,,,0,5,38,NA
53,2-s2.0-84925661732,28,28,"Green D.B., Klages N.T.W., Crawford R.J.M., Coetzee J.C., Dyer B.M., Rishworth G.M., Pistorius P.A.",55961952800;6701489821;7402584631;7102043783;7006602012;56168648400;7006186946;,Dietary change in Cape gannets reflects distributional and demographic shifts in two South African commercial fish stocks,2015,ICES Journal of Marine Science,10.1093/icesjms/fsu203,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925661732&doi=10.1093%2ficesjms%2ffsu203&partnerID=40&md5=de6236598b1a1d0ae3a4a49c73c38e74,"Seabirds are upper trophic level predators, and are often highly sensitive to changes in the availability of their prey. Altered prey assemblages resulting from fluctuations in oceanographic conditions may be mirrored by shifts in seabird diet. Long-term studies of dietary change in seabirds therefore provide valuable insight into the nature of environmental shifts within the systems in which they forage. In recent decades, the Agulhas region in South Africa has undergone significant oceanographic change related to warming and intensification of the Agulhas current. Concurrent with this change, the population ofCape gannets Morus capensis at Bird Island, Algoa Bay, has grownrapidly, probably as a result of an increased availability of its dominant prey items, sardine Sardinops sagax and anchovy Engraulis encrasicolus.Using one of the longest andmost complete time-series available on diet of a seabird (spanning 34 years), we tested for changes in composition and the abundance of dominant prey species of this population. These observed changeswere also comparedwith acoustic survey estimates of their biomass, and annual catch data. Since 1979, the prey composition has remained similar, but the dietary contribution of sardine and anchovy, which fluctuated inversely to each other, increased over the study period. These shifts seemto be reflective of fluctuations in the stock size of sardine and anchovy. Conversely, a third species, saury Scomberesox saurus, dominant in the non-breedingdiet of the 1980s, decreased significantly in dietary abundance over the following two decades. It is likely that dietary shifts of Cape gannets at Bird Island were related to climate-mediated oceanographic change. The implications of such changes are discussed. © International Council for the Exploration of the Sea 2014. All rights reserved.",Article,Scopus,0.756822619,NA,1,NA,NA,10,1,15,1,5,29,NA
34,2-s2.0-55949132378,23,23,Khan R.A.,7201674037;,"Influence of environmental changes in the north-western Atlantic Ocean on a parasite, Echinorhynchus gadi (Acanthocephala) of Atlantic cod (Gadus morhua) occurring off coastal Labrador, Canada",2008,Journal of Helminthology,10.1017/S0022149X0897615X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-55949132378&doi=10.1017%2fS0022149X0897615X&partnerID=40&md5=d49c4a7a0030498099062146338f0f1f,"A study was conducted to determine the influence of environmental change on an endoparasite, Echinorhynchus gadi (Acanthocephala) of Atlantic cod (Gadus morhua) over a 30-year period off the coast of Labrador in the north-western Atlantic, North Atlantic Fisheries Organization subareas 2J-3K. Cod, once an abundant fish species that had been commercially exploited for many decades, declined precipitously during the mid-1980s onwards. This decline was attributed to climatic changes that affected the entire food chain from zooplankton to fish, sea birds and marine mammals. A monitoring programme was introduced, sampling cod by otter trawling using research vessels. The fish, after capture, were frozen at - 20°C, subsequently thawed and the digestive tract removed and examined for the parasite in 2006. Data from samples taken in 1976, 1980-81, 1986, 1990, 2000 and 2003 were compared statistically with those collected in 2006. The results indicate a decline in the prevalence and mean abundance of E. gadi in 1986 with a minimum in 2000 but increasing gradually in 2003 and 2006. These changes were coincident initially with a decline of oceanic temperature and the entire food web, including capelin (Mallotus villosus), a preferred prey of cod and primary source of E. gadi. The increase in prevalence and mean abundance of the parasite in 2006 were associated with an increase of oceanic temperature and the return of small schools of capelin to offshore areas. Cod older than 4 years harboured a greater abundance of E. gadi than younger fish, while no difference was observed between the sexes. The results suggest that the abundance of E. gadi can be useful as a bioindicator of environmental changes in the north-western Atlantic. © 2008 Cambridge University Press.",Article,Scopus,0.754835992,1,1,"?? abundance trends mentioned, not clear if focus but corrected unranked class to 1",15,10,1,15,1,10,24,NA
4,2-s2.0-0030618891,54,54,Thiollay J.-M.,7003455952;,Distribution and abundance patterns of bird community and raptor populations in the Andaman archipelago,1997,Ecography,10.1111/j.1600-0587.1997.tb00348.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030618891&doi=10.1111%2fj.1600-0587.1997.tb00348.x&partnerID=40&md5=0f9d40c9bb2371ae5ee859439a25159c,"A qualitative survey of tile terrestrial bird community (sixty-five species) and a quantitative analysis of the five-diurnal raptor assemblage were carried out on 33 islands of the oceanic Andaman archipelago in the Bay of Bengal. Among seven geographical parameters island area was the main determinant of species richness for both the whole bird community and each category of species associated with four habitat types. Species richness decreased most markedly with island size in the smallest islands and in open habitat species. The rarest forest species were the most extinction prone with decreasing island size. Specific habitat selection was the most prominent ecological correlate of inter island species distribution. Observed species distribution patterns did not fit the random species placement or equiprobable occurrence hypotheses. Raptors were primarily forest species, two of them restricted to forest interior, two more tolerant of fragmentation and one naturally associated with mangroves. Unexpectedly, the two rarest and most area sensitive raptors were the two smallest species with a strong active flight, whereas the most abundant and widespread species was the most forest interior and endemic taxon. Both raptor species richness, species frequency of occurrence and abundance indices decreased with island area, which was consistently tile most significant determinant of every species' occurrence and abundance. There was a significant correlation between abundance or frequency of occurrence of every raptor species and the proportion of their preferred habitat type. No relationship was found between habitat niche breadth or local abundance of any species and their distribution range among islands. The hypothesis of random composition of species assemblages on islands was not supported because of species specific habitat selection. Any evidence of interspecific competitive exclusion was limited to the striking habitat segregation of the two congeneric serpent eagles. A metapopulation structure was suggested by small population distribution patterns, observed sea crossing and tile circumstances of an apparent extinction.",Article,Scopus,0.754064106,NA,0,NA,NA,10,,,0,10,55,NA
52,2-s2.0-84921879043,2,2,"Branco J.O., Fracasso H.A.A., Pérez J.A.A., Rodrigues-Filho J.L.",14057465100;24824661300;56333712600;54419169600;,An assessment of oceanic seabird abundance and distribution off the southern Brazilian coast using observations obtained during deep-water fishing operations [Uma avaliação da abundância de aves marinhas oceânicas e distribuição do Sudeste e Sul do Brasil a partir de observações durante operações de pesca em águas profundas],2014,Brazilian Journal of Biology,10.1590/1519-6984.13612,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921879043&doi=10.1590%2f1519-6984.13612&partnerID=40&md5=0bd8b23252e1bd062155a1c4731e00d7,"The use of discarded fish over baited hooks used in longline fishery, and fish caught in gillnets, as a food source for gulls, albatrosses and petrels has been intensively studied in northern and southern oceans. This study describes the occurrence and abundance of seabirds observed from 20 foreign vessels which operated during the period between July 2001 and May 2005, off the southeastern and southern Brazilian coast. A total of 353,557 seabirds were observed; comprising eight families and 28 species. The most abundant species was Procellaria conspicillata followed by Daption capense, Puffinus gravis, Thalassarche melanophrys and Oceanites oceanicus. Ten species of seabirds (392 individual birds) were incidentally captured in gillnets; and 122 birds (9 species) by longline hooks, with P. gravis, D. capense and Procellaria aequinoctialis having the largest capture rates. © 2014, Instituto Internacional de Ecologia. All right reserved.",Article,Scopus,0.750409555,1,1,NA,5,10,1,5,1,10,3,NA
61,2-s2.0-84994680283,9,9,"Robinson W.D., Robinson T.R.",7402826343;7402679108;,"Avian abundances on yap, federated states of Micronesia, after typhoon sudall",2016,Pacific Science,10.2984/70.4.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994680283&doi=10.2984%2f70.4.3&partnerID=40&md5=e6229d91c8f3f5e3816d278951923645,"Typhoons can add to chronic threats such as incremental habitat loss and pressure from feral predators to jeopardize the unique biodiversity of Pacific Ocean islands. Typhoon Sudall severely damaged Yap, Federated States of Micronesia, in April 2004. To establish an initial assessment of consequences of the typhoon for the avian community on this poorly studied island, we surveyed birds along line transects in mangroves, savannah, and forest on Yap during the last week of August 2004. We found all expected 22 resident species in abundances whose rank order was very similar to results from surveys in the early 1980s. Most-common species were White Tern, Plain White-eye, Micronesian Starling, Micronesian Myzomela, and Yap Monarch. All five species were common in all three major habitats, mangroves, upland forest, and savannah, although terns nested primarily in forests. Least commonly encountered resident species were Common Cicadabird, Micronesian Pigeon, and White-throated Ground-Dove. We found one to six individuals of each of those species. We also encountered 27 species of migratory birds, including the first record for Yap of Greater Scaup. Populations of birds appeared to be about 50% lower across all resident species than estimates from 1983-1984, suggesting the possibility that Typhoon Sudall caused widespread mortality. However, other possible explanations for reduced abundances exist, which we review briefly. A long-term monitoring plan is needed to track population dynamics of birds on Yap. © 2016 by University of Hawai'i Press.",Article,Scopus,0.742851037,1,1,different methods?,5,10,1,5,1,10,10,NA
54,2-s2.0-84926505057,12,12,"Martínez-Curci N.S., Isacch J.P., Azpiroz A.B.",56584502000;6603320533;14035284400;,"Shorebird seasonal abundance and habitat-use patterns in punta rasa, samborombón bay, Argentina",2015,Waterbirds,10.1675/063.038.0109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926505057&doi=10.1675%2f063.038.0109&partnerID=40&md5=f98720e4298deef9a597f56900e5c090,"Shorebird assemblage composition and habitat-use patterns were characterized at Punta Rasa during the austral summer, autumn and winter. Compared to other sites within the region, this area showed high species richness, reflected by a total of 22 species recorded within a relatively short time frame. Differences in assemblage structure were driven by the use of estuarine mudflats and oceanic sandy beaches as feeding habitats. During low tide, more species used estuarine environments, achieving the highest total densities. Abundance patterns and assemblage composition also changed seasonally. Maximum total abundance occurred during the austral summer, and minimum total abundance during the austral winter. During the austral summer, the assemblage was dominated by Nearctic migrants such as American Golden-Plover (Pluvialis dominica), Hudsonian Godwit (Limosa haemastica) and White-rumped Sandpiper (Calidris fuscicollis). In addition, Two-banded Plover (Charadrius falklandicus) and American Oystercatcher (Haematopus palliatus) were abundant during the austral autumn. The Red Knot (Calidris canutus), a shorebird that dominated the austral autumn assemblage 25 years ago, was recorded in relatively small numbers during this study, probably reflecting the global population trend of a subspecies of the Red Knot (C. c. rufa) in the past two decades. During the austral winter, resident birds largely dominated the assemblage. However, it is noteworthy that some individuals of nine Nearctic migrant species remained in the area. In the case of the endangered Red Knot, Punta Rasa is, along with Lagoa do Peixe in Brazil, one of the sites in South America with the highest known abundances during the austral winter. .",Article,Scopus,0.739160613,1,1,NA,10,10,1,10,1,10,13,NA
26,2-s2.0-23044491433,1,1,Tavares R.,26531995800;,"Abundance and distribution of sharks in Los Roques Archipelago National Park and other Venezuelan oceanic islands, 1997-1998 [Abundancia y distribución de tiburones en el Parque Nacional Archipiélago de Los Roques y otras islas oceánicas venezolanas, 1997-1998]",2005,Ciencias Marinas,10.7773/cm.v31i2.62,https://www.scopus.com/inward/record.uri?eid=2-s2.0-23044491433&doi=10.7773%2fcm.v31i2.62&partnerID=40&md5=9fae9cb791d4be63b7c6d8ff7cb256b0,"The relative abundance and distribution of sharks caught by the artisanal fishery was determined for the most important offshore islands of Venezuela (Los Roques, Las Aves and La Blanquilla). Data were collected from January 1997 to October 1998, corresponding to 123 fishing days targeting sharks using bottom longline. We also present the results of 10 days of fishing activities targeting tunas and marlins by the same fleet using pelagic longline, in order to determine the importance of the shark bycatch in these fisheries around the offshore islands. A total of 15 shark species representing five families were captured during the study period. The catch composition and CPUE values expressed in weight and number showed that the most abundant species were Carcharhinus perezi and C. falciformis for Los Roques Archipelago and La Blanquilla Island, while C perezi and Ginglymostoma cirratum were more common in Las Aves Archipelago. In Los Roques Archipelago, C perezi and C falciformis were most common during the second half of the year; a similar trend was observed for the rest of the shark species caught by the fishery. A positive relationship was observed between CPUE and fishing depth in the case of C. perezi and C falciformis off Los Roques Archipelago: CPUE by weight increases with depth, while CPUE by number decreases with depth. The main factors that could be determining shark abundance and their spatial-temporal distribution are the characteristics of the ecosystem, depth, and biological characteristics such as birth, mating season and migratory patterns of the species.",Article,Scopus,0.735361317,1,1,NA,5,10,1,5,1,10,2,NA
73,2-s2.0-9444235396,66,66,"Arntz W.E., Tarazona J.",7003410301;7006547278;,"Effects of el niño 1982-83 on benthos, fish and fisheries off the south american pacific coast",1990,Elsevier Oceanography Series,10.1016/S0422-9894(08)70040-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-9444235396&doi=10.1016%2fS0422-9894%2808%2970040-0&partnerID=40&md5=8e216e732521b9b1a5c2aed9d7e3792b,"Biological effects of El Niño (EN) were first detected on the Peruvian coast and have been reported for some of the major events during this century, especially those of 1925-26, 1940-41 and 1972-73. EN 1982-83 exceeded all these earlier events in strength and duration, and was the first to be investigated in more detail, both on a latitudinal gradient and including, for the first time, the benthic subsystem of the Humboldt Current upwelling area off the west coast of South America. Despite the fact that the coverage of the area of major impact (over 4,000 km of coastline) was by no means complete, and that most of the causes and mechanisms behind the observed changes remained unclear due to the lack of experimental (e.g. tolerance) studies, the observational evidence and the fluctuations observed in the landing statistics have contributed a great deal to our understanding of the way in which a major EN event affects the upwelling system as a whole. In the pelagic subsystem, a surface temperature increase of up to 11°C, the effects of which could be traced down to at least 1,000 m depth, led to a tropicalization of the ecosystem, the disruption of the normal food web, and induced changes in species composition and migrations of a large number of fish and invertebrate species populations. This resulted in a general impoverishment of this system. The consequences for some commercially important species, which had already been damaged by former EN events and the impact of overfishing, were severe off Peru and Ecuador although there were certain positive effects due to the inshore migration of various oceanic mackerels and the southward migration of (sub)tropical fish species such as dolphinfish and skipjack tuna. These beneficial effects were, however, only of minor importance for the fisheries, which were not equipped to deal with the new target species. In the benthic subsystem, a factor of major importance, besides the increase in temperature, was the marked increase of dissolved oxygen at the seafloor during and after the event. Despite mass mortalities of many of the cold-water adapted invertebrate species on sandy beaches, shallow soft bottoms and in the rocky intertidal zone, the overall effect on fisheries was rather positive. In the case of commercially exploited shellfish (“mariscos”), this was due to an increased immigration of subtropical species, mostly crustaceans, as well as increases in abundance of some local species more tolerant of warm water such as the Peruvian scallop. This led to an unprecedented boom of some fisheries on the northern and central Peruvian coast. For the demersal fisheries and the artisanal finfish fishery, the immediate effects of EN were detrimental due to a general dispersal and downslope migration of many species, but the long-term effects appeared to have been beneficial: improved feeding conditions at the seafloor and decreased fishing pressure caused a major recruitment success of some species such as Pacific hake, and this may provide increased catches several years after EN. The primary EN effects described in this review apparently induced many secondary effects. The disruption of the pelagic food web caused mortalities and reproductive failures of guano birds and seals; mortalities (including marine algae) and increases in population abundance in shallow water led to temporary changes in species composition and successional processes that remain to be studied in more detail. On the whole, however, recovery of most species occurred rapidly, and relatively few long-term effects have remained, demonstrating the remarkable resilience of the upwelling ecosystem. © 1990, Elsevier B.V. All rights reserved.",Article,Scopus,0.735322968,NA,1,NA,NA,10,,,1,10,67,NA
12,2-s2.0-0034478185,19,19,"Soave G.E., Coria N.R., Montalti D., Curtosi A.",7003769621;6603887685;6603581738;8525548600;,"Breeding flying birds in the region of the fildes Peninsula, King Goerge Island, South Shetland Islands, Antarctica, 1995/96",2000,Marine Ornithology,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034478185&partnerID=40&md5=aaf0a6a91e9e48fd2722c4b72b6ae832,"During the summer breeding season of 1995/96 we obtained information on the abundance and distribution of breeding flying birds on the Fildes Peninsula, King George Island, South Shetland Islands, Antarctica. Nine breeding flying birds were recorded: Pintado or Cape Petrel Daption capense, Southern Giant Petrel Macronectes giganteus, Wilson's Storm Petrel Oceanites oceanicus, Black-bellied Storm Petrel Fregetta tropica, Greater Sheathbill Chionis alba, South Polar Skua Catharacta maccormicki, Subantarctic Skua C. antarctica, Kelp Gull Larus dominicanus and Antarctic Tern Sterna vittata. The data are compared with those reported by others authors. The value of the surveyed area from an environmental view point is considered in light of its importance as a rich feeding area for seabirds and a significant increase in human activities in the area during the last decade.",Article,Scopus,0.733702421,1,1,"Reclassified, followed class in another search",10,15,1,10,1,10,20,0
56,2-s2.0-84931573491,53,53,"Miranda-Urbina D., Thiel M., Luna-Jorquera G.",35484701200;35231340100;6508228436;,Litter and seabirds found across a longitudinal gradient in the South Pacific Ocean,2015,Marine Pollution Bulletin,10.1016/j.marpolbul.2015.05.021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931573491&doi=10.1016%2fj.marpolbul.2015.05.021&partnerID=40&md5=f7d10b62bb6d6fa64295549104a47dbd,"Abundances and composition of marine litter and seabirds were estimated in the central South Pacific (SP) Ocean between the Chilean continental coast and the Easter Island Ecoregion. Litter was dominated by plastics throughout the study area, but the proportion of plastics was higher at sea and on the oceanic islands than in coastal waters and on continental beaches. Litter densities were higher close to the center of the SP subtropical gyre compared to the continental coast. The seabird assemblage was diverse (28 species), and several endemic species were recorded. Seabird abundances were higher in the coastal waters and around Juan Fernández Islands off the continental coast than in the Oceanic and Polynesian sectors. Endangered species breeding on Salas & Gómez Island were observed in the Polynesian sector, which suggests a high potential for negative interactions between seabirds and floating litter, both occurring in high densities in this sector. © 2015 Elsevier Ltd.",Article,Scopus,0.724286397,NA,0,NA,NA,15,,,0,15,54,NA
30,2-s2.0-35448961935,38,38,Trainor C.R.,8534652600;,"Changes in bird species composition on a remote and well-forested Wallacean Island, South-East Asia",2007,Biological Conservation,10.1016/j.biocon.2007.08.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35448961935&doi=10.1016%2fj.biocon.2007.08.022&partnerID=40&md5=e006344631f0f38ae983fa36ec2795b2,"In South-East Asia patterns of forest loss can predict the number of threatened birds. On the oceanic islands of Wallacea, small-scale agriculture, rather than commercial logging, is the main cause of forest loss and conversion, but few studies have directly examined their responses to land use. In 2001, I studied the birds of primary forest and anthropogenic gardens on the well-forested, and remote, Damar Island (198 km2) in the Banda Sea. Furthermore, I examined broad changes to the islands bird fauna by comparing baseline bird lists obtained in the 19th century with 2001 data. The conversion of primary forest to garden resulted in substantial changes in avifaunal composition, and to the abundance of individual bird species, particularly to frugivorous and globally restricted-range species. Of 15 common birds, four were significantly more abundant in primary forest (blue-tailed imperial pigeon Ducula concinna, northern fantail Rhipidura rufiventris, golden whistler Pachycephala pectoralis and red-chested flowerpecker Dicaeum maugei) and one (scaly-breasted honeyeater Lichmera squamata) was more abundant in garden habitat. Incidental observations provided further evidence that many forest specialists (including the island endemic Damar flycatcher Ficedula henrici) rarely, if ever, used garden habitats notwithstanding its relative proximity. The number of resident birds recorded in 2001 (39) was similar to the 1890s (38), but six forest-dependent passerines were extirpated between samples. These losses are associated with the conversion of 25% of the primary forest to modified habitat since the 1890s, but given the sparse species and environmental change data available it is impossible to definitively pinpoint this as the only cause underlying the species losses. This study demonstrates that remote and relatively well-forested islands are not immune to the threatening processes impacting bird populations elsewhere in South-East Asia. © 2007 Elsevier Ltd. All rights reserved.",Article,Scopus,0.712900043,NA,0,NA,NA,15,,,0,15,39,NA
43,2-s2.0-79958852967,59,59,Clucas R.,24775393400;,Long-term population trends of Sooty Shearwater (Puffinus griseus) revealed by hunt success,2011,Ecological Applications,10.1890/09-0813.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958852967&doi=10.1890%2f09-0813.1&partnerID=40&md5=abcbe4dd0e779ef69eac275030472c49,"The annual hunt of Muttonbirds (chicks of the Sooty Shearwater, Puffinus griseus), undertaken by the Rakiura Māori people of southern New Zealand, is economically and socially integral to their cultural identity. Muttonbirders concerned at ensuring that the hunt remains viable for coming generations have provided catch records to help ascertain historic trends in hunt success. Analysis of eight catch diaries for a 67-year period demonstrates considerable consistency across diaries in the variability of hunt success, as measured by annualized mean daily hunt tallies. A conservative estimate of the overall annual decline in hunt success is-1.89% (95% CI:-1.14% to-2.65%). Birders' observations of a changing relationship between chick quality and hunt success was evidenced across diaries. Reduced hunt success from the 1990s indicates that possible adult ""knockdowns"" and/or sustained substantial reductions in breeding proportions have occurred. Chick size has remained constant, suggesting little change in the provisioning environment. Catch per unit effort data, provided by a single diary, confirms a link between variability in annual hunt success and chick abundance. The Pacific Decadal Oscillation (PDO) and the Southern Annular Mode (SAM) are correlated with hunt success and chick size, respectively. Interannual PDO+ (or PDO-) values are correlated with higher (or lower) tallies, whereas SAM+ (or SAM -) values are associated with larger (or smaller) chick size. Uncertainty in the relationship between the breeding Sooty Shearwater population, chick catch, and environmental perturbation in their feeding grounds could be reduced with the inclusion of hunt time in all diary records. Ongoing prolonged decline in a top-trophic-level predator such as the Sooty Shearwater raises serious concern that long-term oceanic changes have been occurring and that long-term sustainability of muttonbirding is in doubt. © 2011 by the Ecological Society of America.",Article,Scopus,0.707019582,NA,1,NA,NA,15,,,1,15,60,NA
