,EID,X__1,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Access Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Scopus_index,Present_in_training_docs
68,2-s2.0-66149100595,10,"Morgan D.K.J., Waas J.R., Innes J.",8638678400;7004659844;7102004870;,An inventory of mammalian pests in a New Zealand city,2009,New Zealand Journal of Zoology,10.1080/03014220909510136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-66149100595&doi=10.1080%2f03014220909510136&partnerID=40&md5=250715df9ecffd08bd7c14574f09ef20,"Urban ecosystems include many habitat types supporting native flora and fauna. These habitats may also sustain populations of introduced mammalian pests, although relatively little is known about the composition or distributions of these species in urban environments. We made a preliminary survey of the distribution and relative abundance of pest mammals across three urban habitat types (gully, amenity park, residential) in Hamilton, New Zealand. Tracking tunnel and WaxTag® surveys showed that: (1) rats (Rattus rattus or R. norvegicus), mice (Mus musculus) and brushtail possums (Tricho‐surus vulpecula) were detected most often and in highest abundances in gullies, were relatively rare in amenity parks, and were not detected in residential areas; (2) hedgehogs (Erinaceus europaeus) were regularly detected in all habitats; and (3) mustelids were not detected in any habitat. Live trapping in areas where rats were detected captured 21 rats, of which 19 were R. rattus. Scat and animal sign surveys found evidence of lagomorphs in amenity parks and gullies but not in residential areas. Cats (Felis catus) were detected in all habitats. These data suggest that important mammalian pests other than cats are either absent (mustelids) or comparatively rare (rats) in urban Hamilton and largely confined to gully habitats. Further research is needed to determine whether detection probabilities of target species vary significantly between the species and habitats we sampled, and to quantify the impact that mammalian pests might have in limiting populations of other animals, especially avifauna. © The Royal Society of New Zealand 2009.",Article,NA,Scopus,0.646581346,0,NA,NA,15,NA,11,NA
61,2-s2.0-58049092708,11,"Bilgmann K., Möller L.M., Harcourt R.G., Gales R., Beheregaray L.B.",15759372200;7102992639;7005654071;7004696738;6701377424;,Common dolphins subject to fisheries impacts in Southern Australia are genetically differentiated: Implications for conservation,2008,Animal Conservation,10.1111/j.1469-1795.2008.00213.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58049092708&doi=10.1111%2fj.1469-1795.2008.00213.x&partnerID=40&md5=c2884158d16cbbb1174f7a02802e20e2,"Interactions between short-beaked common dolphins Delphinus delphis and the fishing industry of South Australia (SA) have lead to serious concerns over the long-term viability of the local dolphin population. Common dolphins are gregarious animals with high vagility and are expected to display limited genetic differentiation over large spatial scales. Here, we investigate population genetic structure of southern Australian common dolphins using mitochondrial DNA control region sequences and seven microsatellite markers. We found unexpected levels of genetic differentiation for short-beaked common dolphins over a distance of ∼1500 km. Although no genetic structure was observed in common dolphins along the coast of SA, we detected marked differentiation between dolphins from SA and south-eastern Tasmania, suggesting a minimum of two genetic populations in southern Australia. We hypothesize that the ephemeral distribution of small pelagic fish enhances movement and dispersal between dolphin groups at a local level. However, clear differences in water temperature, habitat features and fish abundance between SA and Tasmania may contribute to the contemporary isolation observed between dolphin populations. Our findings have important consequences for developing conservation management strategies, because SA has the largest purse-seine fishery by weight in Australia, and substantial numbers of fatal common dolphin interactions have occurred. In 2004/2005 alone, an estimated 1728 common dolphins were encircled and 377 died over a 7-month period. If these impacts lead to a reduction in population size, it is unlikely that dolphins from the adjacent south-eastern Tasmanian population will replace the lost individuals. Recommendations for assessing the impacts of the fishery are presented. The information herein may also have implications for fisheries-marine mammal interactions in coastal and neritic habitats in other areas of the world. Moreover, we demonstrate that a species commonly thought to be wide ranging can show an unexpected degree of genetic differentiation. © Journal compilation © 2008 The Zoological Society of London.",Article,NA,Scopus,0.63289453,0,NA,NA,15,NA,12,NA
62,2-s2.0-58149171746,12,Sweetapple P.J.,6602694467;,Spatial variation in impacts of brushtail possums on two Loranthaceous mistletoe species,2008,New Zealand Journal of Ecology,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149171746&partnerID=40&md5=78f2876aa0909454fd2c9fcbb6d4b4de,"Browsing by introduced brushtail possums is linked to major declines in mistletoe abundance in New Zealand, yet in some areas mistletoes persist, apparently unaffected by the presence of possums. To determine the cause of this spatial variation in impact I investigated the abundance and condition (crown dieback and extent of possum browse cover) of two mistletoes (Alepis flavida, Peraxilla tetrapetala) and abundance and diet of possums in two mountain beech (Nothofagus solandri var. cliffortioides) forests in the central-eastern South Island of New Zealand. Mistletoe is common and there are long-established uncontrolled possum populations in both forests. Mistletoes were abundant (216-1359 per hectare) and important in possum diet (41-59% of total diet), but possum density was low (c. 2 per hectare) in both areas. Possum impacts were slight with low browse frequencies and intensities over much of the study sites. However, impacts were significantly greater at a forest margin, where possum abundance was highest, and at a high-altitude site where mistletoe density was lowest. Mistletoe crown dieback was inversely proportional to intensity of possum browsing. These results suggest that the persistence of abundant mistletoe populations at these sites is due to mistletoe productivity matching or exceeding consumption by possums in these forests of low possum-carrying capacity, rather than low possum preference for the local mistletoe populations. © New Zealand Ecological Society.",Article,NA,Scopus,0.630228114,0,NA,NA,15,NA,13,NA
58,2-s2.0-52949118804,13,"Pavey C.R., Gorman J., Heywood M.",6603801405;26024768200;26024763000;,Dietary overlap between the nocturnal letter-winged kite Elanus scriptus and barn owl Tyto alba during a rodent outbreak in arid Australia,2008,Journal of Arid Environments,10.1016/j.jaridenv.2008.07.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-52949118804&doi=10.1016%2fj.jaridenv.2008.07.013&partnerID=40&md5=4a877f8447ff7968e8be10eaa5f7ff1f,"The letter-winged kite Elanus scriptus is unique in being the only truly nocturnal raptor (Falconiformes). An endemic of arid/semi-arid Australia, the kite is sympatric with the barn owl, Tyto alba, throughout most of its range. Although the letter-winged kite is nocturnal, it seems to possess intermediate degrees of adaptation for nocturnal hunting, whereas the barn owl is specialized for nocturnal activity. We studied sympatric populations of both species during a rodent population outbreak in the north-west Simpson Desert to understand how their different nocturnal adaptations influenced diet and prey selection. The commonest rodents, in order of abundance, were Pseudomys australis (body mass: 40-75 g), P. hermannsburgensis (9-17 g), and Notomys alexis (27-45 g). Rodents dominated the diets of kites (96% of 225 prey items) and owls (98% of 303 prey items). Dietary niche breadth was relatively low for both kites (BA=0.16) and owls (BA=0.13), whereas niche overlap was extremely high (O=0.98). Barn owls exhibited greater prey choice, specifically; they selected the larger P. australis and avoided the small P. hermannsburgensis, whereas kites captured Pseudomys species in proportion to their availability. © 2008 Elsevier Ltd. All rights reserved.",Article,NA,Scopus,0.480726741,1,NA,NA,15,NA,14,NA
63,2-s2.0-58149284188,14,"Lee E., Croft D.B.",7406969153;7101684598;,The effects of an arid-zone road on vertebrates: What are the priorities for management?,2008,Australian Zoologist,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149284188&partnerID=40&md5=82f31ad85a50201662c1d9b2d2087324,"The strategic management of the impacts of roads on vertebrates is hampered by a lack of information on 1) the scale of such impacts in different ecosystems, 2) the responses of populations and communities, and 3) the relative vulnerabilities of various vertebrate groups. We therefore examined the effects of a typical road in an and ecosystem on kangaroo populations and communities, threatened small mammal species (Sminthopsis macroura and Leggadina forresti), and small mammal and lizard communities over two years. We determined which vertebrate populations and communities were negatively affected by the road, thereby informing management priorities for mitigating road effects. The study was conducted along the Silver City Highway on the UNSW Arid Zone Research Station, Fowlers Gap, in north-western New South Wales. We found that the road influenced the spatial distribution of kangaroos relative to the road, particularly those of Macropus rufus, and was associated with increased kangaroo mortality. Further, the road altered the composition of small mammal and lizard communities and reduced the abundance of S. macroura. However, roadkill of kangaroos did not significantly affect the population demographics or community composition of kangaroos. There were no changes in sex ratios (female dominance) which would threaten the sustainability of S. macroura and L. forresti populations near the road. Further, changes in the species composition of small mammal and lizard communities were likely to be localised near the road, rather than altered at larger scales, because the differences in resource availability driving community differences were restricted to a narrow band immediately adjacent to the road. Thus, none of the vertebrate taxa studied were significantly threatened by the presence of the road and its associated vehicle traffic. Even so, we recommend that management efforts focus on reducing the frequency of kangaroo roadkill (the most serious animal and human welfare issue) through encouraging the growth of shrubs and low vegetation unpalatable to kangaroos adjacent to arid-zone roads. Such a management strategy could also have positive flow-on effects for other vertebrate taxa, and could restore the natural integrity of and landscapes near roads.",Article,NA,Scopus,0.542398754,1,NA,NA,15,NA,15,NA
60,2-s2.0-56649114487,15,"Hobday A.J., Minstrell M.L.",6701910294;23480550100;,Distribution and abundance of roadkill on Tasmanian highways: Human management options,2008,Wildlife Research,10.1071/WR08067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56649114487&doi=10.1071%2fWR08067&partnerID=40&md5=6497e15357003bd1c824898cc7f35e2f,"An obvious sign of potential human impact on animal populations is roadkill. In Tasmania, this impact is perceived as relatively greater than in other Australian states, and is often noted by visitors and locals alike, such that calls for management action are common in the popular press. The goal of this three-year study was to assess the frequency and distribution of species killed on Tasmanian roads. Seasonal surveys were completed along five major routes, for a total of 154 trips. Over 15000km of road were surveyed and 5691 individuals in 54 taxa were recorded for an average roadkill density of 0.372km-1. Over 50% of encountered roadkill could be identified to species, with common brushtail possums (Trichosurus vulpecula) and Tasmanian pademelon (Thylogale billardierii) the most common species identified, both in overall numbers and frequency of trips encountered. The 10 most common taxa accounted for 99% of the items observed. The seasonal occurrence, relationship with vehicle speed, and clustering in local hotspots for particular taxa all suggest that mitigation measures, such as vehicle speed reduction in specific areas, may be effective in reducing the number of animals killed. Mitigation measures, however, will not apply equally to all species and, in particular, success will depend on changing human behaviours. © CSIRO 2008.",Article,Open Access,Scopus,0.643521719,?,NA,Roadkill,15,NA,16,NA
59,2-s2.0-53649085556,16,"Hamer D.J., Ward T.M., McGarvey R.",13407890700;7402100144;7003567140;,"Measurement, management and mitigation of operational interactions between the South Australian Sardine Fishery and short-beaked common dolphins (Delphinus delphis)",2008,Biological Conservation,10.1016/j.biocon.2008.08.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-53649085556&doi=10.1016%2fj.biocon.2008.08.024&partnerID=40&md5=7c4baa339fc522ef47702df83accb3c5,"This study arose from recommendations given in response to a legislated ecological assessment of the South Australian Sardine Fishery in 2004, urging it to: (i) attempt to mitigate operational interactions with marine mammals if excessive levels were detected; and (ii) improve the accuracy of their reporting of these events. An initial observer program revealed high rates of encirclement and mortality (1.78 and 0.39 dolphins per net-set, respectively) of short-beaked common dolphins (Delphinus delphis). This equated to an estimate of 1728 encirclements and 377 mortalities across the entire fleet over the same period. The average time taken for fishers to respond to encirclements was 135.93 ± 3.72 min and 21.3% of encircled animals subsequently died. During that time, fishers only reported 3.6% of encirclements and 1.9% of mortalities recorded by observers. A code of practice (CoP) was subsequently introduced aimed at mitigating operational interactions. A second observer program revealed a significant reductions in the observed rates of dolphin encirclement (0.22; down 87.3%) and mortality (0.01; down 97.1%) with an estimate of 169 and eight, respectively. The average time taken for fishers to respond to dolphin encirclements also reduced to 16.33 ± 4.67 min (down 76.9%) and the proportion of encircled animals that subsequently died reduced to 5.0%. Agreement between industry reports and observer records improved, with the fishery reporting 57.9% and 58.9% of the rate of encirclements and mortalities, respectively, recorded by observers. A number of avoidance and release strategies in the CoP may have been responsible for these improvements. In particular, fishers were required to delay or relocate their activities if dolphins were observed prior to fishing and to release encircled dolphins immediately or abort the fishing event if release procedures were unsuccessful. Future improvements to the CoP include: (i) improved response times when an encircled dolphin is detected; (ii) better use of behavioural cues for deciding when to abort a net-set; (iii) ceasing fishing during rough weather; and (iv) continuing to increase reporting accuracy by fishers. It is also recommended that the abundance, movements and boundaries of the common dolphin population in the region be determined, so that the impact of fishing activities on their status can be established. Crown Copyright © 2008.",Article,NA,Scopus,0.700377299,0,NA,"Appears to focus on interventions to reduce dolphin mortality in fishing incidents, not population abundance",15,NA,17,NA
52,2-s2.0-43449115242,17,"Laurance W.F., Laurance S.G., Hilbert D.W.",7006236509;6603682501;7005243624;,Long-term dynamics of a fragmented rainforest mammal assemblage,2008,Conservation Biology,10.1111/j.1523-1739.2008.00981.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-43449115242&doi=10.1111%2fj.1523-1739.2008.00981.x&partnerID=40&md5=961a8e4675771620ca0e0da7819887c8,"Habitat fragmentation is a severe threat to tropical biotas, but its long-term effects are poorly understood. We evaluated longer-term changes in the abundance of larger (>1 kg) mammals in fragmented and intact rainforest and in riparian ""corridors"" in tropical Queensland, with data from 190 spotlighting surveys conducted in 1986-1987 and 2006-2007. In 1986-1987 when most fragments were already 20-50 years old, mammal assemblages differed markedly between fragmented and intact forest. Most vulnerable were lemuroid ringtail possums (Hemibelideus lemuroides), followed by Lumholtz's tree-kangaroos (Dendrolagus lumholtzi) and Herbert River ringtail possums (Pseudocheirus herbertensis). Further changes were evident 20 years later. Mammal species richness fell significantly in fragments, and the abundances of 4 species, coppery brushtail possums (Trichosurus vulpecula johnstoni), green ringtail possums (Pseudochirops archeri), red-legged pademelons (Thylogale stigmatica), and tree-kangaroos, declined significantly. The most surprising finding was that the lemuroid ringtail, a strict rainforest specialist, apparently recolonized one fragment, despite a 99.98% decrease in abundance in fragments and corridors. A combination of factors, including long-term fragmentation effects, shifts in the surrounding matrix vegetation, and recurring cyclone disturbances, appear to underlie these dynamic changes in mammal assemblages.",Article,NA,Scopus,0.658266219,1,NA,corrected to 1,15,NA,18,NA
54,2-s2.0-44949202446,18,"Watts C., Stringer I., Sherley G., Gibbs G., Green C.",7202527415;6603570214;6603417738;35737152900;55696158100;,"History of weta (Orthoptera: Anostostomatidae) translocation in New Zealand: Lessons learned, islands as sanctuaries and the future",2008,Journal of Insect Conservation,10.1007/s10841-008-9154-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-44949202446&doi=10.1007%2fs10841-008-9154-5&partnerID=40&md5=b54d3dad21ac0c81518b1ca9c99cb7b2,"Establishing new populations by transferring founder individuals from source populations has been effective for managing the recovery of many threatened species including some weta (Orthoptera: Anostostomatidae) in New Zealand. These large-bodied flightless insects are ""flagship species"" for insect conservation in New Zealand and many are rare or threatened. The declining abundance of most weta species, particularly giant weta, can be attributed to the introduction of mammalian predators, habitat destruction, and habitat modification by introduced mammalian browsers. New populations of some weta have been established in locations, particularly on islands, where these threats have been eliminated or severely reduced in order to reduce the risk of extinction. Some populations were established to provide food for endemic vertebrates, ecosystem restoration and ready access for the general public. We illustrate how methods for both transferring weta and monitoring them have become more sophisticated by using a series of case studies. Other transfers of weta not included in the case studies are also summarised. We conclude by re-iterating the importance of documenting the transfer and post-release monitoring for all insect transfers, both for biogeographical reasons and to provide information to improve future transfers. © Springer Science+Business Media B.V. 2008.",Article,NA,Scopus,0.592767331,0,NA,Corrected to 0,15,NA,19,NA
55,2-s2.0-45249120385,19,"Pavey C.R., Eldridge S.R., Heywood M.",6603801405;7004645117;26024763000;,Population dynamics and prey selection of native and introduced predators during a rodent outbreak in arid Australia,2008,Journal of Mammalogy,10.1644/07-MAMM-A-168R.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-45249120385&doi=10.1644%2f07-MAMM-A-168R.1&partnerID=40&md5=91ba5f4815f0861c4f6040f0652eb85f,"We examined population dynamics and trophic ecology of a predator-prey system in the Simpson Desert, Australia, consisting of an assemblage of small mammals (body mass < 100 g) and 4 species of predators: the endemic letter-winged kite (Elanus scriptus), a nocturnal-hunting rodent specialist; and 3 introduced mammalian predators (dingo [Canis lupus dingo], European red fox [Vulpes vulpes], and house cat [Felis catus]). This is the 1st comprehensive study of the responses of both the kite and introduced carnivores to a rodent outbreak. The 3.5-year study period included a population outbreak of about 24 months duration involving 3 native rodent species. Mammalian predators and kites exhibited similar population responses. Kites immigrated into the area within 6 months of the outbreak commencing, and remained while rodent abundance was high; however, all birds left the area after rodent populations crashed within a 6-week period. Dingoes and foxes were more abundant than cats and both species increased during the outbreak. All carnivores were resident. The letter-winged kite fed almost entirely on rodents. Rodents were the main prey of the 3 mammalian predators during the outbreak; however, all species had intermediate niche breadths. Dietary overlap between the kite and each carnivore was high during the rodent outbreak. During a nonoutbreak period, predation on rodents by the red fox remained high, whereas that by the dingo declined. We estimated the number of average-sized rodents (body mass 32.65 g) eaten daily by a nonreproducing individual to range from 1 (letter-winged kite) to 6 (red fox). We also estimated that the 3 mammalian predators (combined) captured 11 times as many rodents per day as letter-winged kites. There is considerable potential for food-based competition between the kite and introduced mammalian predators, particularly the red fox and house cat, in arid Australia. © 2008 American Society of Mammalogists.",Article,Open Access,Scopus,0.723016122,1,1,"Measures of population change, however may be mainly driven by immigration/emmigration, added to Relevance_std as 20th paper",NA,15,20,NA
53,2-s2.0-43449136987,20,"Kanowski J., Winter J.W., Catterall C.P.",6603214977;7402683753;7003414327;,"Impacts of Cyclone Larry on arboreal folivorous marsupials endemic to upland rainforests of the Atherton Tableland, Australia",2008,Austral Ecology,10.1111/j.1442-9993.2008.01909.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-43449136987&doi=10.1111%2fj.1442-9993.2008.01909.x&partnerID=40&md5=b99cdcbf0280778fb7deb953ed632127,"Intense cyclones might be expected to adversely affect populations of arboreal mammals, either directly or as a consequence of the destruction of food resources and other key habitat elements. However, such impacts have rarely been quantified. The present study examined the response of five species of arboreal folivorous marsupials to Severe Cyclone Larry at nine sites in upland rainforests of the Atherton Tableland, north-east Australia. Sites were originally surveyed for folivores in 1995-1997, and then resurveyed in 2006, 6-8 months after Cyclone Larry had traversed the region. All sites showed evidence of structural damage to vegetation, but overall damage levels (assessed in terms of canopy cover, damage to trees, basal area of dead trees and volume of woody debris) decreased from east to west across the study region. The detectability of rainforest possums increased after the cyclone. For the most commonly observed species, the proportion of individuals observed >5 m from survey transects was correlated with the amount of structural damage to vegetation. To avoid confounding changes in detectability with changes in abundance, only observations close (<5 m) to transects were used to estimate folivore abundance before and after the cyclone. On this basis, there were no significant differences between pre- and post-cyclone abundance estimates for any folivore species. Further, changes in folivore abundance after the cyclone were not correlated with damage to vegetation across sites. Cyclone Larry does not appear to have caused a catastrophic loss of key habitat resources for marsupial folivores at the sites surveyed. The high degree of folivory practiced by marsupial folivores may help make them resilient to cyclone impacts. These conclusions are more robust for three commonly observed folivore species (Hemibelideus lemuroides, Pseudochirulus herbertensis and Trichosurus vulpecula johnstonii) than for two less frequently encountered species (Pseudochirops archeri and Dendrolagus lumholtzi). © 2008 The Authors.",Article,NA,Scopus,0.614028776,NA,NA,NA,NA,NA,21,0
48,2-s2.0-40149086967,21,Bentley J.M.,23018074800;,"Role of movement, interremnant dispersal and edge effects in determining sensitivity to habitat fragmentation in two forest-dependent rodents",2008,Austral Ecology,10.1111/j.1442-9993.2007.01806.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-40149086967&doi=10.1111%2fj.1442-9993.2007.01806.x&partnerID=40&md5=26c96f3933410713f27300b5f61d022c,"Habitat fragmentation and disturbance affect patterns of habitat use, animal movement and spatial behaviour and might have significant effects upon population dynamics and trends, and ultimately population persistence. Previous studies have suggested that the ability to disperse between remnants and a positive or neutral response to edges should be associated with species capable of persisting in remnant habitat. Using both radiotracking and trapping data, movement patterns, dispersal and response to habitat edges of Rattus fuscipes were examined within forests, corridors, remnants and pastures in south-east Queensland, Australia. Rattus fuscipes has previously been shown to be robust to the effects of habitat fragmentation; however, contrary to expectations, R. fuscipes was found to be sensitive to edges, and no evidence of interremnant dispersal was detected, despite interremnant distances that were substantially smaller than the distances R. fuscipes was found to move in continuous habitat. Using only trapping data, the same factors were examined in relation to Melomys cervinipes, a species sensitive to fragmentation. Melomys cervinipes was found to utilize edge habitat, but no evidence of interremnant dispersal was detected, although the capacity to detect such movement was limited by low abundance in remnants where M. cervinipes was extant, and the species absence from many remnants. Movement patterns, interremnant dispersal capacity, and sensitivity to edges did not prove to be good predictors of these species responses to habitat fragmentation. Alternative explanations, such as population fluctuation and the capacity for rapid population growth in remnants for these two species, and the influence habitat quality has on these parameters should be investigated. © 2008 Ecological Society of Australia.",Article,NA,Scopus,0.581080965,NA,NA,NA,NA,NA,22,NA
46,2-s2.0-38949157734,22,"Norbury G., Heyward R.",6603960402;6508145389;,Predictors of clutch predation of a globally significant avifauna in New Zealand's braided river ecosystems,2008,Animal Conservation,10.1111/j.1469-1795.2007.00142.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38949157734&doi=10.1111%2fj.1469-1795.2007.00142.x&partnerID=40&md5=5287af7fd1c937ad3191fd1b1059b05f,"Predation by introduced mammals is decimating New Zealand's indigenous fauna. Understanding factors that influence this process allows resources for predator control to be applied with maximum effect. This study examines how predation of a secondary prey species (a relatively common but declining native plover, the banded dotterel Charadrius bicinctus) varied with reductions in abundance of a major prey source (rabbits), kill-trapping of predators, nest density and habitat complexity. Banded dotterels mostly nest in open braided riverbeds alongside a number of endemic threatened species. We measured the fate of 753 dotterel clutches exposed to predation by cats, ferrets and hedgehogs. We found key times and places of high predation risk. Immediately after widespread reduction in rabbit populations by rabbit haemorrhagic disease (RHD), clutch predation rates were almost as high (mean, 50%) as those recorded during past rabbit poisoning programmes (mean, 57%). Both rates were significantly higher than the mean predation rate of 22% without rabbit control, suggesting a shift in predator diet immediately after rabbit population declines. Unlike after rabbit poisoning, clutch predation rate remained high in the years after RHD. Other patterns observed included higher clutch predation rate where nest density was lower, suggesting that predation can potentially cause local extinction. Clutch predation was also higher along riverbed margins where vegetation was dense. There was equivocal evidence for an effect of predator kill-trapping on clutch predation rate. Management strategies that could potentially reduce clutch predation risks include focusing predator mitigation measures during periods of rabbit decline, maintaining them for more than one breeding season if the rabbit declines are widespread (e.g. RHD epidemics), and applying greater effort at sites with relatively low nest density and along riverbed margins where predator use is more frequent. © Journal compilation © 2007 The Zoological Society of London.",Article,NA,Scopus,0.73623222,NA,0,NA,NA,15,23,NA
56,2-s2.0-46149083279,23,Abbott I.,7004506235;,Historical perspectives of the ecology of some conspicuous vertebrate species in south-west Western Australia,2008,Conservation Science Western Australia,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-46149083279&partnerID=40&md5=ff72855d452e7c1b9488f35844f0fc28,"This paper, an integration of history, ecology and zoogeography, is based on a comprehensive search for firsthand (eyewitness) information from navigators' and explorers' journals (1658-1875), colonists' accounts (1829-1889) and later settlers' records and oldtimers' recollections (1890-2006). Pertinent data for 37 conspicuous vertebrate species (10 bird, 26 mammal and 1 snake species) were collated, analysed, and integrated with more recent scientific information. Much of the information discovered in colonial records and obtained from interviews with oldtimers has been neglected by zoologists and ecologists. The original distributional limits of many of the species studied were thus clarified and redetermined. Detailed information is also provided on the history of the introduction of 14 mammal species into south-west WA, in order to assess their potential contribution to the extinction of native vertebrate species. The introduction, spread and density in bushland of commensal and livestock species does not correlate with the chronology of declines of native species. Changes in geographical distrbution of species were assessed against an interpretive framework of 29 factors, and based on this analysis, a conceptual model (termed the 'fusion' model) of mammal declines and extinctions in south-west and adjacent parts of WA since European settlement is proposed. The reconstructed sequence of events commenced in the 1880s, with declines being caused by disease (10 species estimated to have become totally extinct in WA and 8 species abruptly reduced in abundance and distribution). Another 12 species subsequently reached near-extinction status, following establishment of the fox in the 1920s. Trapping of some species for their fur and accidental poisoning by rabbit baits contributed to local extinctions but were not finally decisive factors. The conceptual framework adopted, based on detailed examination of the information discovered, recognizes three tiers of relevant factors. Only one or two main factors operate at one time, with some of the remaining factors acting in a subsidiary way, and sometimes concurrently or sequentially. Dominant factors are not necessarily the same for each species. Factors usually affected species adversely. South-west WA, despite being settled by Europeans earlier than most other parts of Australia, experienced a stagnant economy, slow population growth and hence minimal clearance of the original vegetation until the 1890s. The anthropogenic factors identified as significant in the decline and depletion of the native fauna, together with an understanding of their correct sequence of operation, provide a historically appropriate conceptual model that may be applicable elsewhere in Australia. The baseline data and historical accounts provide a resource for specialists working on particular species, and include much new material relating to the pelt industry and pest control activities. © The Government of Western Australia, 2008.",Article,NA,Scopus,0.617665422,NA,NA,NA,NA,NA,24,NA
45,2-s2.0-38649143129,24,"Wilson D.J., Mulvey R.L., Clark R.D.",7410086322;24463419100;55473912600;,Sampling skinks and geckos in artificial cover objects in a dry mixed grassland-shrubland with mammalian predator control,2007,New Zealand Journal of Ecology,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38649143129&partnerID=40&md5=6e7a0bc4fb5f9e83091face00960105c,"Introduced mammalian predators threaten populations ofendemicNew Zealand lizards but their effects on lizard populations have not been quantified on the mainland. We trialled the use of artificial cover objects (ACOs) for sampling small terrestrial lizards (the skinks Ofigosoma maccanni, o. nigriplantare polychroma and o. inconspicuum, and gecko Hoplodactylus maculatus) in three experimental mammal-management treatments: a mammal-proof fence, two sites in an intensive mammal-removal area, and an experimental control site with no mammal removal. These predator control regimes were established in 2005-2006 to protect endangered grand skinks (O. grande) and Otago skinks (O. otagense) at Macraes Flat, North Otago. We (1) counted skinks and geckos found under ACOs on a single day and compared these counts between treatments, and (2) estimated lizard population sizes (N) based on capture-mark-recapture (CNM) of lizards under ACOs in daily and weekly sampling sessions. Our results provide baseline data of the abundance of the small lizard species shortly after implementation of predator management. Single-day counts of skinks were significantly higher inside the mammal fence compared with the experimental control. No consistent differences were found between the other treatments. Significantly more skinks were counted in gully habitats than in ridge habitats. N, counts of skinks from the first day of CMR, and the total number of individuals caught were correlated, but these relationships must be validated with independent data. Few geckos were caught unless ACOs were placed near rock outcrops. Only two skinks but 25% of geckos moved between adjacent ACOs (5-m spacing). The recapture rate of skinks was low; captures declined when ACOs were checked daily but not when they were.checked weekly. Because of potential biases of these methods, we propose to compare counts in ACOs and N based on CMR in ACOs with N based on CNM in pitfall traps with 3-m spacing. © New Zealand Ecological Society.",Article,NA,Scopus,0.658118258,NA,NA,NA,NA,NA,25,NA
42,2-s2.0-34548565636,25,"Wirsing A.J., Heithaus M.R., Dill L.M.",6602170672;6701572403;7006364690;,Fear factor: Do dugongs (Dugong dugon) trade food for safety from tiger sharks (Galeocerdo cuvier)?,2007,Oecologia,10.1007/s00442-007-0802-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548565636&doi=10.1007%2fs00442-007-0802-3&partnerID=40&md5=8dd9e336317453b169cd409d819c6979,"Predators can influence plants indirectly by altering spatial patterns of herbivory, so studies assessing the relationship between perceived predation risk and habitat use by herbivores may improve our understanding of community organization. In marine systems, the effects of predation danger on space use by large herbivores have received little attention, despite the possibility that predator-mediated alterations in patterns of grazing by these animals influence benthic community structure. We evaluated the relationship between habitat use by foraging dugongs (Dugong dugon) and the threat of tiger shark predation in an Australian embayment (Shark Bay) between 1997 and 2004. Dugong densities were quantified in shallow (putatively dangerous) and deep (putatively safe) habitats (seven survey zones allocated to each habitat), and predation hazard was indexed using catch rates of tiger sharks (Galeocerdo cuvier); seagrass volume provided a measure of food biomass within each zone. Overall, dugongs selected shallow habitats, where their food is concentrated. Foragers used shallow and deep habitats in proportion to food availability (input matching) when large tiger sharks were scarce and overused deep habitats when sharks were common. Furthermore, strong synchrony existed between daily measures of shark abundance and the extent to which deep habitats were overused. Thus, dugongs appear to adaptively manage their risk of death by allocating time to safe but impoverished foraging patches in proportion to the likelihood of encountering predators in profitable but more dangerous areas. This apparent food-safety trade-off has important implications for seagrass community structure in Shark Bay, as it may result in marked temporal variability in grazing pressure. © 2007 Springer-Verlag.",Article,NA,Scopus,0.522858779,NA,NA,NA,NA,NA,26,NA
